评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//271177344,荷尓蒙,男,北京,292,473,290000,你问我为什么这么闲 这个故事还要从一只蝙蝠说起 ,35702,2020-01-28 22:11
https://weibo.cn//u/1910928303,兔子食记,女,辽宁,6878,728,309900,发现白岩松每次的问题都一针见血，都是老百姓特别想问的,22632,2020-01-28 22:11
https://weibo.cn//yingkouxinwenge,营口新闻哥,男,辽宁,13524,315,153387,国内捐，海外捐，李兰娟，众捐纷来达通途,19658,2020-01-28 22:11
https://weibo.cn//u/5641399732,阿策Jotaro,男,浙江,29,394,532,回复@Miss不止Ume:我从小就是绍兴人   历任老师都说绍普,0,2020-01-30 09:18
https://weibo.cn//moiella,Miss不止Ume,女,浙江,2229,297,364,回复@阿策WJY:呐你是没感受过被老师操着一口绍普大骂特骂过,1,2020-01-30 09:11
https://weibo.cn//u/6382661127,molidor,女,安徽,64,97,18,3个月后才有疫苗,0,2020-01-30 09:05
https://weibo.cn//u/6528039682,淑怡Angelina,女,山东,2,33,61,回复@布鲁达克:这是逼我在家好好写论文么,0,2020-01-30 09:03
https://weibo.cn//u/5780999700,山島優美子,女,其他,870,774,380,回复@兔看美食:白岩松学长！！,0,2020-01-30 08:26
https://weibo.cn//u/5828223064,念念ree,女,陕西,843,355,123,回复@我名字好记haoji:反正我想表达的就是这种语气就是容易引人误会 不知道大家有什么好吵的,0,2020-01-30 08:14
https://weibo.cn//u/3830071923,一抹微蓝哦,男,其他,327,8,12,回复@王雅典:你搞清楚你的论点，这件事，国外做的好？你只要举例，国外遇到此类病时，能做到你说的那样，,0,2020-01-30 08:09
https://weibo.cn//u/2767123040,弦歌的竹子,女,安徽,1594,161,231,回复@ya_leader:我们这里现在出去都没什么人，除了超市药店蛋糕店基本没什么店开门的。,0,2020-01-30 08:09
https://weibo.cn//u/6611176500,孤单的温柔lovevivi,男,陕西,145,89,47,回复@飞舞的candy:别想那么多，就先在家待着，身体不适，在去医院,0,2020-01-30 07:54
https://weibo.cn//u/7053399752,後來00164,男,其他,2,95,1,我不信,0,2020-01-30 07:52
https://weibo.cn//u/7377611920,2020永远铭记的一年,男,其他,0,7,1,回复@大头可是我真的头大:SARS疫苗到现在也没有    彻底     的研究出来。注意：彻底。（害怕被骂）,0,2020-01-30 07:48
https://weibo.cn//u/7278007694,可爱多草,男,江苏,0,61,39,回复@布鲁达克:有女朋友真好 各种姿势开发,0,2020-01-30 07:28
