评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//cctvxinwen,央视新闻,男,北京,138826,2712,116133680,【,1510,2020-01-27 09:26
https://weibo.cn//cctvxinwen,央视新闻,男,北京,138826,2712,116133680,正在武汉疫区的广东省中医院副院长张忠德接受央视专访。央视新闻,619,2020-01-27 10:19
https://weibo.cn//cctvxinwen,央视新闻,男,北京,138826,2712,116133680,【直播！,276,2020-01-27 11:00
https://weibo.cn//u/7364593717,有事请打电话6868,男,其他,570,71,36,回复@一叶孤舟012001:他们当一天和尚撞一天钟，可以糊弄就糊弄，能混过去，那就混过去，疫情都在全国扩散了，那天晚上还在那里看文艺汇演。,0,2020-01-28 12:04
https://weibo.cn//u/5852599794,F-你的生活,女,北京,96,133,101106,：各位医护人员专家们都辛苦了，但在关注疫情的同时，也请各位多关注关注那些没有感染的其他病患，他们也在等待救治！疫苗专家在研制，其他的医护人员，可不可以请你们把本职工作做好，不要因为疫情，而耽误了其他病人的救治，导致本不该存在的死亡，他们来医院，不是等待死亡的！拜托啦！,0,2020-01-28 12:04
https://weibo.cn//u/5944450566,沙拉汁夏,女,云南,7,37,41,武汉加油,0,2020-01-28 12:04
https://weibo.cn//u/5683553646,辩护词2015,男,北京,4,26,7,回复@SuperChaoLady:别去了,0,2020-01-28 12:04
https://weibo.cn//u/7360890747,烟火人间人间烟火_,女,上海,119,52,17,公共场合大部分人都带口罩了，还是有少数部分没戴，应该来个口罩日，人人都要戴，相信大自然的空气会好很多,0,2020-01-28 12:04
https://weibo.cn//u/2330331423,李小足影视023,女,陕西,3,3,0,回复@央视新闻:Eyxty,0,2020-01-28 12:03
https://weibo.cn//wangbolizhong,你这个叛徒你才是叛徒,男,浙江,935,361,2,[加油][加油],0,2020-01-28 12:01
https://weibo.cn//u/2196535650,君KING臨天下,男,上海,804,431,273,加油,0,2020-01-28 12:00
https://weibo.cn//u/1364399733,浅梦子月,女,江苏,1,120,73,     举报             赞[0]         回复             2020-01-28 12:00:20 来自网页,0,2020-01-28 12:00
https://weibo.cn//u/2988740267,高丽季节,男,河北,27,43,295,恩,0,2020-01-28 12:00
https://weibo.cn//u/7310505598,唯有真滋味不可辜负,男,其他,1120,127,45,加油,0,2020-01-28 11:58
https://weibo.cn//u/6303851187,倔强不屈的贪吃的狐狸,男,上海,93894,5022,670,加油,0,2020-01-28 11:57
https://weibo.cn//138710716,我本路人丁,男,湖北,569,158,140,回复@Chase4爷:一直在岗位上，二十多天没回家了,0,2020-01-28 11:57
https://weibo.cn//u/6403117213,kwzy007,男,辽宁,650,1792,74,🙏🙏🙏,0,2020-01-28 11:57
https://weibo.cn//u/6980555202,我好难过呢,女,其他,3625,1682,175,黄珊真棒,0,2020-01-28 11:57
https://weibo.cn//u/5017958848,坐看云起1525,女,天津,12,64,6,回复@南知·:我就想知道憨批是啥意思呢，北方人,0,2020-01-28 11:54
https://weibo.cn//u/6382007630,cheny有梦想,女,其他,354,202,28,人只有在最脆弱的时候，才能看到那些平时被自己忽略但其实如此珍贵的人或事。这个假期好好陪陪身边人，好好修养身体。平时太多人透支身体，这不能可持续发展，为什么我们就不能想明白劳逸结合才是正确的状态。我们工作时间内努力工作爱岗敬业，工作外的时间陪伴家人，做自己喜欢的事情，过想要的生活,1,2020-01-28 11:53
https://weibo.cn//u/5499584879,没错阿洁就是我,女,山东,1,134,92,回复@剑留其:封晚了 封太晚了,0,2020-01-28 11:48
https://weibo.cn//u/7377781455,baby刘伯伯,女,其他,22,147,1,加油！！！！,0,2020-01-28 11:47
https://weibo.cn//u/5983076988,my独家记忆8,男,山东,4485,611,714,     举报             赞[0]         回复             2020-01-28 11:46:44 来自网页,0,2020-01-28 11:46
https://weibo.cn//u/6354024266,快乐的淡着,男,云南,842,197,303,希望感染的人越来越少，早点结束这场疫情,0,2020-01-28 11:45
https://weibo.cn//u/3925787971,Jenny甜甜,男,北京,1264,1317,23,加油,0,2020-01-28 11:41
https://weibo.cn//u/5177025955,37点二度,男,湖北,3191,4947,18660,加油！[加油][加油][加油],0,2020-01-28 11:38
https://weibo.cn//u/6450122986,香芋紫薯片,女,其他,903,18,27,一切都会好起来了,0,2020-01-28 11:38
https://weibo.cn//u/5325515702,逆丶时针_3,男,湖南,2072,83,107,武汉加油,0,2020-01-28 11:37
https://weibo.cn//cuiyinghao,风行笔录,男,山西,2311,558,744,我想去武汉支援建医院，怎么联系,0,2020-01-28 11:36
