评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/2136227927,玛格丽特的点心,女,北京,256,163,220,河南是武汉的人口流入大省，务工人员多，挨得又近。希望能早点控制住。,15361,2020-01-27 08:26
https://weibo.cn//u/2262690240,7aboobeh-,女,其他,1007,125,1625,河南控制的这么好 居然也开始大规模爆发 ,9561,2020-01-27 08:27
https://weibo.cn//u/5931723705,真的AFK了,男,福建,51,112,71,河南看着多，其实信息透明化是最让人安心的，毕竟不是致死性特别高的疾病；传播性强的疾病，最怕的是漏报瞒报！,9289,2020-01-27 08:28
https://weibo.cn//u/5287667996,青岩慕雪,女,其他,44,55,18,回复@谢谢请叫我小飞龙:我猜也是，虽然形势严峻，但我们不慌[加油],0,2020-01-27 23:38
https://weibo.cn//u/7366659930,六指琴魔鹏鹏,男,上海,20,96,14,携带病原体乱跑的人，心里咋想的？,0,2020-01-27 23:34
https://weibo.cn//u/2528307067,l要改名,女,山东,4245,209,134,郑州的都是哪里的？外面到处在传，也很害怕,0,2020-01-27 23:29
https://weibo.cn//u/5714469699,佩大大要吃肉,女,河南,220,92,24,济源挺住！濮阳挺住！焦作挺住！河南加油！武汉加油！中国加油🇨🇳 ！静待春天，静待樱花🌸盛开！,1,2020-01-27 23:27
https://weibo.cn//u/5924021915,忆梦之梦i,男,其他,116,269,102,回复@7aboobeh-:河南人口多又是湖北的临省,0,2020-01-27 23:27
https://weibo.cn//u/5924021915,忆梦之梦i,男,其他,116,269,102,鹤壁加油！河南加油！,1,2020-01-27 23:25
https://weibo.cn//u/5633159986,80甜豆,男,其他,53,27,7,我的家乡，我的大焦作，挺住，加油！！！,0,2020-01-27 23:22
https://weibo.cn//u/5986249266,南风知我意Dooo,女,上海,1010,69,139,回复@月色不比你温柔:,0,2020-01-27 23:19
https://weibo.cn//u/5401477702,月色不比你温柔,女,海外,108,427,440,回复@南风知我意Dooo:只是想说交通方便的话进驻人口很多，很危险，更好是个什么意思捏,0,2020-01-27 23:18
https://weibo.cn//u/5986249266,南风知我意Dooo,女,上海,1010,69,139,回复@月色不比你温柔:离信阳近那就更好啦~这有什么好争的~,0,2020-01-27 23:15
https://weibo.cn//u/5401477702,月色不比你温柔,女,海外,108,427,440,回复@南风知我意Dooo:看看距离和交通吧,0,2020-01-27 23:14
https://weibo.cn//u/5235200496,韩黏黏的咩咩,男,河南,90,438,128,@plume-翎,0,2020-01-27 23:12
https://weibo.cn//u/6045797144,是justina呀呀,男,其他,334,194,84,回复@长情不过久伴i:开封通许发现一例,0,2020-01-27 23:09
https://weibo.cn//u/6596569195,石烫烫很甜,男,其他,4,171,42,平顶山市5个有三个是我们鲁山的,0,2020-01-27 23:07
https://weibo.cn//u/7055123775,为了遇见你78295,男,其他,1,102,3,濮阳挺住,0,2020-01-27 23:05
https://weibo.cn//u/6075539153,没了A梦的多啦,女,河南,27,103,107,商丘加油,0,2020-01-27 23:02
https://weibo.cn//u/5679029112,overlord928,女,河南,252,163,115,祈祷不要在增加了,0,2020-01-27 22:59
https://weibo.cn//u/6473267015,HUI慧是个小公主哇,女,其他,44,75,19,回复@梨花白洛:濮阳挺住！！！,1,2020-01-27 22:56
https://weibo.cn//u/6451420799,溪溪198006,女,河南,2,29,1,三门峡渑池的农村管的不严，街上该干啥还干啥，口罩也不带，,0,2020-01-27 22:56
https://weibo.cn//520liaosijia,niska7,女,其他,4371,442,776,回复@-_-MissLiu-_-::“你还要怎样”张口就来伤害疫区人民的感情，基本的同理心都不在还在那里瞎比比比。这么多网友教你做人你还不懂那可真是牛比,0,2020-01-27 22:55
https://weibo.cn//lumengyuanyuan,宇宙安琪拉,女,其他,457,236,795,回复@PetalR:我就看看在微博下求助，国家会不会帮这个四线城市。,0,2020-01-27 22:55
