评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5127561189,事已至此喝杯奶茶,女,其他,299,259,292,2020是什么魔幻人间，，，这三天过得好像三年,88002,2020-01-27 07:54
https://weibo.cn//u/5268205743,同我發短訊,男,其他,524,257,426,我的娘看错了看成2744例死亡  我差点没晕过去,51376,2020-01-27 07:54
https://weibo.cn//u/2136227927,玛格丽特的点心,女,北京,256,163,220,每天都是几百个的增加。希望疫苗早日研制出来，希望疫情早点控制住。,26770,2020-01-27 07:53
https://weibo.cn//u/6480761408,十一与夏天,男,其他,4,29,50,回复@李珂旭:你个憨憨,0,2020-01-28 12:05
https://weibo.cn//u/2633823734,有爱mario,男,海外,326,156,65,国家也要重视温州，温州是除了湖北地区最严重城市,0,2020-01-28 12:04
https://weibo.cn//u/7196565491,青烟暖雨,男,河南,2,28,19,回复@疯丫头8乖啊:我知道啊 事实很严峻其实我们心里都清楚 但是楼主这么说我觉得就是个祝福和愿望吧 他应该也知道事情的严重所以语气很激烈 但这一大群人就如此认真的讲啥的好像真的只有他们知道真相 说白了就是没眼力见吧 所以我才讽刺的,0,2020-01-28 12:04
https://weibo.cn//u/5081872999,阿王阿娇eat,女,辽宁,80,185,256,外国人估计恨死我们了,0,2020-01-28 11:59
https://weibo.cn//u/5950085081,云中一颗桃,男,其他,16,159,13,回复@xxyyqqxx:.,0,2020-01-28 11:58
https://weibo.cn//u/6048562718,我一定要留下等你,女,其他,45,135,38,从过年到今天也才四天，从来没觉得四天这么漫长，以前宅四天感觉很轻松，现在每天看新闻心都是揪着的,0,2020-01-28 11:58
https://weibo.cn//u/3967954719,洪培芸,女,其他,122,1154,197,回复@瞅啥在瞅干你:嗷嗷嗷嗷真的太难了村长们能别人家村长的抄抄笔记吗负点责,0,2020-01-28 11:39
https://weibo.cn//u/5649272363,木之于杉,男,江苏,24,95,63,回复@等待爱情的从容自若:哈哈哈，这么大连个商场都没去过，我都有点可怜你了。,0,2020-01-28 11:21
https://weibo.cn//u/6004711289,小娄今天早睡了吗,男,河南,38,250,24491,回复@倾君516:我相信你免疫力很强,0,2020-01-28 11:17
https://weibo.cn//274005536,anne225,女,北京,30872,422,1185,转发微博,0,2020-01-28 11:15
https://weibo.cn//u/6682473965,恝然棣,男,其他,0,122,25,回复@我吃霸王餐要给钱:真相是不存在的！真相是永远不可能的！,0,2020-01-28 11:14
https://weibo.cn//u/1895913525,春天爱刷夜,女,广东,194,123,60389,回复@丿钢铁侠丿:脑子是个好东西，希望你有,0,2020-01-28 11:11
https://weibo.cn//wobuzaishiwode,跑跑大人来勒,女,山东,4324,133,160,回复@事已至此喝杯奶茶:感觉过了三辈子,0,2020-01-28 11:10
https://weibo.cn//u/7377073901,艳35614,男,其他,0,93,1,回复@丿钢铁侠丿:说来说去都是管理不严才会出问题，像拐卖儿童的，贩卖人体器官的，都拉出来枪毙了你看谁还敢挣黑心钱,0,2020-01-28 11:09
https://weibo.cn//u/1555299095,喜猫了咪,女,其他,121760,2619,1214,转发微博,0,2020-01-28 11:06
