评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5642291525,梨子子_,女,云南,2967,702,265,俺们云南深山老林的，中考考射箭高考考打猎，平时都骑着大象去上学，学校小卖部里卖着白粉。俺们一言不合就打架再不行就拔刀，每年还有杀人指标，求求你们别来了,15676,2020-01-27 18:22
https://weibo.cn//121016060,wuli允在是一种信仰,女,云南,29682,236,1180,我们今天把云南的优秀医生送往湖北了，然后疫区开始千里之外给我们输入病毒了,9401,2020-01-27 18:24
https://weibo.cn//u/3064407963,雨中送便当,女,云南,158,167,313,我大云南原本是地广人稀，体质也较好，然而这次信息更新慢，少数民族群众工作也难做。外来人员突然涌入，真是令人担忧啊！,5482,2020-01-27 18:21
https://weibo.cn//u/2733021593,不熬夜的欣欣欣,女,云南,64,270,134,回复@啊啦啊啦吧:我在昆明，加油站上班不放假，戴口罩我也怕的要死。湖北牌照车照样有，社区昨天才宣传，反应慢了不止半拍,0,2020-01-28 14:00
https://weibo.cn//u/5712681057,我的肉嵩啊,女,云南,1821,65,57,我过完今天就断粮了。能配送的也是只有白菜土豆。怕了。,0,2020-01-28 13:59
https://weibo.cn//u/2733021593,不熬夜的欣欣欣,女,云南,64,270,134,回复@吹爆我自己:骂，我都从哭发展到骂人发展到快诅咒了,0,2020-01-28 13:56
https://weibo.cn//u/5821855158,以西_shimoishi,女,其他,2979,973,21,回复@11th-of-January:别说n95了，连普通一次性口罩都么有了，我们只能尽量不出门，但是得出门只能靠冬天戴的布口罩,0,2020-01-28 13:55
https://weibo.cn//u/6884853793,上跳下窜了不得,男,云南,21,19,12,回复@Terry0258:对了，也把登革热贡献出气,0,2020-01-28 13:54
https://weibo.cn//u/6884853793,上跳下窜了不得,男,云南,21,19,12,回复@安之若素10777:有两例是到腾冲旅游的武汉人，还有一例我也查不到是在哪里的,0,2020-01-28 13:51
https://weibo.cn//u/5718363675,苍耳na,女,云南,45,61,66,回复@失梦旧人:哇哇哇我看到你头像了，香粉一起玩吖,0,2020-01-28 13:51
https://weibo.cn//u/6884853793,上跳下窜了不得,男,云南,21,19,12,回复@蹦蹦长安长安:作为云南人我由衷感谢你们当初不来云南逃难，那些确诊的那一个不是来云南逃难的,0,2020-01-28 13:50
https://weibo.cn//u/5601376954,小鹿撞晕_,女,云南,119,523,32,回复@XMM文:你也是瑞丽人啊，我想不通为什么要千里送病毒，人性啊，都一大把年纪了够了还要祸害我们这些小年轻,0,2020-01-28 13:47
https://weibo.cn//u/6884853793,上跳下窜了不得,男,云南,21,19,12,回复@布丁焦糖布丁:我拼命找寻保山三人分别都是在哪里被确诊的，两个是在腾冲，还有一个人是哪里的？可有人传就是板桥镇的，我弟的同学说他的同学放假回家就从是武汉回来的，我们镇啊，天啊！,0,2020-01-28 13:45
https://weibo.cn//u/6537869131,我是依恋呀,女,云南,1,9,2,回复@超甜铝制品:我门的不敢出了,0,2020-01-28 13:44
https://weibo.cn//u/6884853793,上跳下窜了不得,男,云南,21,19,12,保山有三人，我知道有两人是武汉到腾冲旅游的人，可还有一人是哪里的呢？说清楚啊，不清楚指出准确地点怎么预防怎么躲避，说清楚我好锁门，谁也不能出家门。,0,2020-01-28 13:35
https://weibo.cn//u/2148877984,Baek_敏m,女,云南,527,167,454,回复@莲00209:我现在才看见消息,0,2020-01-28 13:35
https://weibo.cn//u/6071295559,那你猜猜GG,女,云南,119,281,29,回复@小星宝o:好的呢,0,2020-01-28 13:30
https://weibo.cn//u/5279457148,佳佳Baby5279457148,女,云南,1,32,29,回复@successs66161:喔喔,0,2020-01-28 13:28
https://weibo.cn//u/2733021593,不熬夜的欣欣欣,女,云南,64,270,134,回复@-兔啊饱:昆明来了119个呢啊我快哭了,0,2020-01-28 13:27
https://weibo.cn//u/6297412351,successs66161,女,海外,2632,667,28,回复@佳佳Baby5279457148:我家这现在封路封到乡镇了，全不让上路,0,2020-01-28 13:25
