评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/6745326095,赵老宽,男,河北,251,34,3726,巴铁没咱们这的医疗条件，顶不住啊,45572,2020-01-27 19:52
https://weibo.cn//u/3412642512,KT阿枭,女,四川,1230,710,308,巴铁dbq,31831,2020-01-27 19:52
https://weibo.cn//u/5739157611,灰白二只兔,女,其他,1181,167,33,为什么哪哪儿都有武汉人？巴铁医疗不发达，祸祸人家干嘛,33410,2020-01-27 19:53
https://weibo.cn//u/2770707954,还是是秘密啊,女,其他,1159,731,203,回复@吃肉不吃瓜:是那个海鲜市场的老板。。。。,0,2020-01-28 18:23
https://weibo.cn//u/3518126392,双王de猫,女,其他,423,131,77,回复@苗苗Wang:可以，你骂了我，所以我怼你啊,0,2020-01-28 18:17
https://weibo.cn//u/5186437871,Sweet丶幽,女,河北,846,103,124,回复@PEA-hydroxytyramine:跑出去的那500W没有武汉人么？跑出去就不是武汉人了？,0,2020-01-28 18:14
https://weibo.cn//u/5828284506,林林lover,女,辽宁,1557,145,146,回复@女神懵智7012:,0,2020-01-28 18:09
https://weibo.cn//u/5999911632,以神的名义杀戮,男,海外,73,192,46,回复@赵老宽呀:我了个去这个大单了,0,2020-01-28 17:58
https://weibo.cn//u/5138666353,PEA-hydroxytyramine,女,其他,9,95,53,回复@钟离汐颜:有些是之前就出去了的啊 这个去中东的真不是什么东西 被抓判刑都可以,0,2020-01-28 17:48
https://weibo.cn//u/5138666353,PEA-hydroxytyramine,女,其他,9,95,53,回复@夜丶凄蒾:我评论的那个兄弟就是说的武汉人对不起全球人啊 城内900万人没对不起任何人噢 要骂就骂跑出去的啊,0,2020-01-28 17:46
https://weibo.cn//u/2842310323,宇宙无敌莓少女,女,北京,1737,187,512,回复@飞扬vikii:他们会说外地人吃的，本地人不吃，吃了也是极个别人，大多数都不吃，我信了,0,2020-01-28 17:34
https://weibo.cn//u/5304305540,Ain芳芳,女,山东,420,379,130,我就纳闷，乱跑啥，越跑越乱了,0,2020-01-28 17:26
https://weibo.cn//u/1948036722,舒芙蕾女士,女,江苏,578,545,184,回复@酱乙QoQ:我日,0,2020-01-28 17:25
https://weibo.cn//u/6630703806,_Koshiro_,女,其他,16,56,4,回复@XuYiYunhahaha:嗯呢没问题，我知道了,0,2020-01-28 17:24
https://weibo.cn//u/2274240975,牧绅士,男,河北,178,376,101,回复@赵老宽呀:在穷地方扩散 真就完蛋了,0,2020-01-28 17:20
https://weibo.cn//u/6178988274,浪友情,女,重庆,76,157,154,回复@赵老宽呀:点莪看 5654 杨倩纤纤玉·指紧紧的攥着王阳的头发，拉扯的王阳生疼，王阳心头一怒，反而更加用力的吸·吮着杨倩的体·液，杨倩两只纤细的玉·腿紧紧的夹·住王阳的脑袋,0,2020-01-28 17:17
https://weibo.cn//u/5033118365,我不管只想变瘦,女,湖南,30,125,123,回复@甜崽不田:我们没吃野味，乖乖在家，凭什么挨骂，地域黑你的时候你什么想法？？？,0,2020-01-28 17:16
https://weibo.cn//u/2955854143,XuYiYunhahaha,女,湖北,215,98,281,回复@_Koshiro_:武汉2019年末908.35万人 流动人口510.30万人 百度百科一点进去就有的数据你是自动忽略了吗 疫后留城900多万人 出500多万人有什么问题,1,2020-01-28 17:11
https://weibo.cn//u/5428612752,果88460,女,浙江,151,383,62,回复@放下我的衣柜:送去太阳里面焚烧吧,0,2020-01-28 17:10
https://weibo.cn//u/2955854143,XuYiYunhahaha,女,湖北,215,98,281,回复@桃之瑤夭_:要是在这事爆起来以后有症状还不注意和别人保持距离 那确实不对 但很大部分都是爆起来以前就出去了他们根本就对疫情的严重性和自身情况不知情这能怪他们？你说的点亮我不造是哪种 如果是近几天知道自己病还不做好隔离那确实是不对 但这种人是很少数 绝大部分省首例患者都是在这件事严重以前就出去了,0,2020-01-28 17:01
https://weibo.cn//u/6141882956,寡人总是饿,男,山东,9,62,2,回复@5独舞:怕死想出国寻求好的医疗条件能理解，去个医疗发达的国家，但是巴铁那个医疗条件去嚯嚯人家干啥？,0,2020-01-28 17:00
https://weibo.cn//u/6200619955,当时很喜欢你,女,其他,28,25,23,回复@是吴大凝呀:我乐意 你是什么东西？你管我 我说你了 ？,0,2020-01-28 16:59
https://weibo.cn//u/6200619955,当时很喜欢你,女,其他,28,25,23,回复@紫色的老萧:滚 懒得累你 你是个什么东西？,0,2020-01-28 16:59
https://weibo.cn//u/3932384503,蒸汽机蒸馒头,女,陕西,373,135,441,回复@格格酱柠檬了:但是你们的省长已经是全国的骄傲了,0,2020-01-28 16:50
https://weibo.cn//u/2101519185,657号鸡胸,女,江苏,291,728,169,回复@Dyingjay:要命,0,2020-01-28 16:47
https://weibo.cn//u/5657056344,-Cmaj7,女,江苏,331,386,205,回复@紫藤葫芦花:真·人类命运共同体,0,2020-01-28 16:43
https://weibo.cn//u/5051829117,李白白百百里,男,海外,636,242,417,回复@YOYO1G:我的妈,0,2020-01-28 16:42
https://weibo.cn//u/6538157735,凯源玺十啵啵,女,宁夏,51,697,110,蝙蝠有啥好吃的，我看着都觉得反胃，你都是咋下的去口的🤨,0,2020-01-28 16:29
https://weibo.cn//u/5780233004,我们家最可爱的是小阿喵啊,女,辽宁,354,410,108,回复@想养一只胖橘的小虎牙:可能是哈哈，但是大可不必带着全部人一起骂,0,2020-01-28 16:25
https://weibo.cn//u/5566775109,玉子emmmm,女,其他,8952,1317,134,回复@flight_晴空:别在意啦，把精力放在其他需要关注的时事上吧，嗯？,0,2020-01-28 16:18
https://weibo.cn//u/5566775109,玉子emmmm,女,其他,8952,1317,134,回复@三猫__:别在意啦，把精力放在其他需要关注的时事吧,0,2020-01-28 16:16
https://weibo.cn//u/1939537805,恩比德一生吹,男,江苏,3831,315,467,到现在还有在喊巴铁的🍔🍔,1,2020-01-28 16:12
https://weibo.cn//u/1954360665,阿绿主食,男,广东,2634,332,373,唉，骂不动了,0,2020-01-28 16:11
