微博id,发布者昵称,发布者性别,发布者地区,发布者关注数,发布者粉丝数,微博正文,发布时间,点赞数,转发数,评论数
Iqh9L46b8,中新法律博主,男,北京,389,300058,中新法律博主:#天眼黑鹰[超话]#【专家：#武汉冠状病毒肺炎新增病例预计增加但总体可治#】专家介绍，#武汉新增17例新型冠状病毒肺炎病例#，随着检测工作进一步开展，预计新增病例还可能继续增加。新型冠状病毒感染的肺炎总体可治。对本次的疫情初步印象是新型冠状病毒的传染力不强，不排除有限人传人的可能，但持续人传人的风险较低。详情↓ http://t.cn/A6vWmpwB ,2020/1/20 1:48,15,13,0
IqgKS2BW1,一看书就犯困的doctor酱,女,其他,320,297,一看书就犯困的doctor酱:17号，离开武汉。内心无比恐慌。骑车骑得喘不上气，只能坐公交车。吓得立马吃了顿好的。然后修养两天。似乎好一点了。然鹅，不敢出去见人，害怕带回病毒。休个两周，确认没事了又得继续去这个病毒窝。。哎。。。动物传人，还是人传人，还是未知。。。注意安全吧。  ,2020/1/20 0:47,1,0,1
IqgIsaTZB,百味视频,男,其他,259,208711,百味视频:#有看有收获# 【武汉新增17例新型冠状病毒肺炎病例  专家：#武汉冠状病毒肺炎新增病例预计增加但总体可治#】专家介绍，#武汉新增17例新型冠状病毒肺炎病例#，随着检测工作进一步开展，预计新增病例还可能继续增加。新型冠状病毒感染的肺炎总体可治。对本次的疫情初步印象是新型冠状病毒的传染力不强，不排除有限人传人的可能，但持续人传人的风险较低。详情↓ http://t.cn/A6vWmpwB ,2020/1/20 0:41,0,1,0
IqgsdsZGP,廉廉1969,男,香港,28,5,廉廉1969:【武漢肺炎】許樹昌憂病毒已在其他省市傳播 本港應做好邊境檢測。許樹昌擔心病毒已在其他省市傳播。武漢今日再多17人確診感染新型冠狀病毒肺炎，泰國及日本近日亦相繼出現確診病例。中大呼吸系統科講座教授許樹昌表示，部分患者沒有到過武漢海鮮市場，相信病毒正在內地其他省市傳播，加上內地春運已開始，預計確診患者數目將陸續上升。許樹昌擔心目前難以「撲滅這場火」，內地當局仍未追查出病毒源頭，加上現時留意的入院病例料只屬冰山一角，相信社區已出現輕微個案。因暫未有其他醫護人員及密切接觸者感染個案，他估計大部分個案來自內地野味市場，在之間流轉再感染人的機會較大，人傳人的機會不算高。許樹昌又指，農曆新年旅遊旺季即將展開，香港目前的防疫措施仍然穩妥，但如果其他省市都出現確診個案，本港口岸都要透過邊境檢測及呈報機制，做好防疫工作，以便及早篩查和隔離發燒病人防止擴散到社區。 ,2020/1/20 0:01,0,0,0
IqgjcDsx1,摩摩擦擦摩擦摩擦,女,海外,224,67,摩摩擦擦摩擦摩擦:有限的人传人，你品，你细品  ,2020/1/19 23:39,2,0,1
IqgcyaVj9,二人的森林,男,天津,334,220,二人的森林:转 // #看点快报# 《武汉新增 1 例死亡，泰国发现第 2 例新型冠状病毒病例，不排除有限的人传人！》 http://t.cn/A6vH64HV  原图 ,2020/1/19 23:22,0,0,0
Iqgaipq14,TAngWindrunner,男,海外,283,334,TAngWindrunner:一个敖丙毒和我说，不和你说了，和一个坚持龙是畜牲的蠢人有什么可说的它大概不知道龙的传人是什么时候才有的词，不知道本土龙各种记载中确实只是厉害的动物主要工作是拉车，不相信自己是猿猴变的而不是冷血爬虫动物，也不知道它的敖丙只是个串串，所以谁蠢 大多数人都被龙的传人这个现代才出现的词汇给忽悠了，更不用说一个动画电影就能忽悠傻了的丙毒了 ,2020/1/19 23:17,4,0,0
Iqgaipq14,TAngWindrunner,男,海外,283,334,TAngWindrunner:一个敖丙毒和我说，不和你说了，和一个坚持龙是畜牲的蠢人有什么可说的它大概不知道龙的传人是什么时候才有的词，不知道本土龙各种记载中确实只是厉害的动物主要工作是拉车，不相信自己是猿猴变的而不是冷血爬虫动物，也不知道它的敖丙只是个串串，所以谁蠢 大多数人都被龙的传人这个现代才出现的词汇给忽悠了，更不用说一个动画电影就能忽悠傻了的丙毒了 ,2020/1/19 23:17,4,0,0
Iqg44bYYW,攀枝花综合广播,女,四川,270,213612,攀枝花综合广播:【#其他城市如何确认肺炎病例#？武汉外地区确诊病例需经三轮确认】1月19日凌晨，武汉市卫健委官网公告，17日，新认定新型冠状病毒感染的肺炎病例17例。除武汉外，为何我国其他省市没有报告病例？据报道，武汉外地区确诊病例需经三轮确认。专家表示，综合判断，新型冠状病毒不排除有限人传人的可能，但持续人传人的风险较低，疫情是可防可控的。（综合）#上海肺炎#http://t.cn/A6vY1UU5 ,2020/1/19 23:02,1,0,0
Iqg2HF6FL,陈文伍,男,香港,2215,158294,陈文伍:#新型冠状病毒传染来源还未找到#【专家称武汉冠状病毒肺炎总体可治】专家介绍，武汉新增17例新型冠状病毒肺炎病例，随着检测工作进一步开展，预计新增病例可能继续增加。新型冠状病毒感染的肺炎总体可治。对本次的疫情初步印象是新型冠状病毒的传染力不强，不排除有限人传人的可能。via 央视新闻 http://t.cn/A6vWmpwB  ,2020/1/19 22:58,14,8,4
Iqg1mCbaV,吉林小黑板,男,吉林,463,650278,吉林小黑板:#武汉机场火车站检测体温#【#其他城市如何确认肺炎病例#？武汉外地区确诊病例需经三轮确认】1月19日凌晨，武汉市卫健委官网公告，17日，新认定新型冠状病毒感染的肺炎病例17例。除武汉外，为何我国其他省市没有报告病例？据报道，武汉外地区确诊病例需经三轮确认。专家表示，综合判断，新型冠状病毒不排除有限人传人的可能，但持续人传人的风险较低，疫情是可防可控的。 via.@新京报动新闻 http://t.cn/A6vYgdEq ,2020/1/19 22:55,2,1,0
Iqg0HfqDr,卍卍佛佛佛卍卍阿弥陀佛卍卍,女,澳门,1359,6541,卍卍佛佛佛卍卍阿弥陀佛卍卍:#苏州爆料#【#专家称武汉冠状病毒肺炎总体可治#】专家介绍，#武汉新增17例新型冠状病毒肺炎病例#，随着检测工作进一步开展，预计新增病例可能继续增加。新型冠状病毒感染的肺炎总体可治。对本次的疫情初步印象是新型冠状病毒的传染力不强，不排除有限人传人的可能，但持续人传人的风险较低。http://t.cn/A6vWmpwB  ,2020/1/19 22:53,8,1,0
IqfWE8k45,宋都微生活,男,河南,31,13833,宋都微生活:武汉市疾病预防控制中心主任：疫情可防可控  新型冠状病毒不排除有限人传人可能#开封朋友圈##开封生活##开封热点# 宋都微生活的微博视频  ,2020/1/19 22:43,1,0,0
IqfPFw8NJ,贵溪发布,男,江西,759,112719,贵溪发布:【武汉市疾病预防控制中心主任李刚：疫情可防可控 新型冠状病毒不排除有限人传人的可能🙏】19日，武汉市疾病预防控制中心主任、主任医师李刚介绍，累计追踪到的763名密切接触者中，已解除医学观察681人，密切接触者中暂未发现相关病例。目前综合判断，对本次的疫情初步印象是新型冠状病毒传染力不强，不排除有限人传人的可能，但持续人传人的风险较低。随着各项防控措施的实施与落实，疫情是可防可控的！http://t.cn/A6vl6Blc ,2020/1/19 22:26,4,1,3
IqfKtFhxd,血玑嘉,男,海外,664,36,血玑嘉:#新型冠状病毒传染来源还未找到#不能完全排除人传人。大家日常还是多注意预防。勤洗手，坚持七步洗手法；注意个人卫生；尽量少去人群拥挤的公共场合；戴口罩😷；多喝水说实话也不用过于恐慌。  ,2020/1/19 22:13,0,0,0
IqfKbpv9C,_Li聪,女,广东,1187,906,_Li聪:#张钰琪[超话]##张钰琪 唱作音乐人# 亲爱的琪迹们，你们谁有龙的传人的音频啊，我之前保存的不见了  ,2020/1/19 22:13,3,0,1
IqfHF5EMs,扭呼噜真烦10x,女,江苏,1117,171,扭呼噜真烦10x:#WayV[超话]#不知道威人过年回不回家啊，现在已经肯定肺炎会人传人了，确诊的病例越来越多，韩国也有病例，春节人流量大疫情防控很困难，就很担心威人的安全 [失望] @威神V_钱锟_KUN  @威神V_TEN_李永钦   @威神V_董思成_WINWIN  @威神V_黄旭熙_LUCAS  @威神V_肖俊_XIAOJUN  @威神V_黄冠亨_HENDERY  @威神V_扬扬_YANGYANG  哥哥弟弟们如果回来过年一定要把口罩捂严实啊！在公司过年也要小心，不要感冒，好好休息！威珍妮们也都小心，去人流密集的地方要保护好自己喔，一定要戴好口罩勤洗手💚 [组图共7张] 原图 ,2020/1/19 22:06,181,2,43
IqfGIi0Zc,万百一,男,北京,1784,2208,万百一:当年非典，最初发源于香港，后来发展到广州，最后到达北京。两个特点是：1、都是发生异地交流人多的地方；2、人传人发生有中国人之间，外国没事。引申：1、为何外国人没事，亚洲其它地区也没事，好象针对中国人一样；2、香港国际大都市，外国传入的概率大，而不是最后引向果子狸。最后也没发现真正的病源，也许国家知道而没有公布，至少我现在仍不知道真正的起源是什么。 ,2020/1/19 22:04,12,10,7
微博id,发布者昵称,发布者性别,发布者地区,发布者关注数,发布者粉丝数,微博正文,发布时间,点赞数,转发数,评论数
Iqh9L46b8,中新法律博主,男,北京,389,300058,中新法律博主:#天眼黑鹰[超话]#【专家：#武汉冠状病毒肺炎新增病例预计增加但总体可治#】专家介绍，#武汉新增17例新型冠状病毒肺炎病例#，随着检测工作进一步开展，预计新增病例还可能继续增加。新型冠状病毒感染的肺炎总体可治。对本次的疫情初步印象是新型冠状病毒的传染力不强，不排除有限人传人的可能，但持续人传人的风险较低。详情↓ http://t.cn/A6vWmpwB ,2020/1/20 1:48,15,13,0
IqgKS2BW1,一看书就犯困的doctor酱,女,其他,320,297,一看书就犯困的doctor酱:17号，离开武汉。内心无比恐慌。骑车骑得喘不上气，只能坐公交车。吓得立马吃了顿好的。然后修养两天。似乎好一点了。然鹅，不敢出去见人，害怕带回病毒。休个两周，确认没事了又得继续去这个病毒窝。。哎。。。动物传人，还是人传人，还是未知。。。注意安全吧。  ,2020/1/20 0:47,1,0,1
IqgIsaTZB,百味视频,男,其他,259,208714,百味视频:#有看有收获# 【武汉新增17例新型冠状病毒肺炎病例  专家：#武汉冠状病毒肺炎新增病例预计增加但总体可治#】专家介绍，#武汉新增17例新型冠状病毒肺炎病例#，随着检测工作进一步开展，预计新增病例还可能继续增加。新型冠状病毒感染的肺炎总体可治。对本次的疫情初步印象是新型冠状病毒的传染力不强，不排除有限人传人的可能，但持续人传人的风险较低。详情↓ http://t.cn/A6vWmpwB ,2020/1/20 0:41,0,1,0
IqgsdsZGP,廉廉1969,男,香港,28,5,廉廉1969:【武漢肺炎】許樹昌憂病毒已在其他省市傳播 本港應做好邊境檢測。許樹昌擔心病毒已在其他省市傳播。武漢今日再多17人確診感染新型冠狀病毒肺炎，泰國及日本近日亦相繼出現確診病例。中大呼吸系統科講座教授許樹昌表示，部分患者沒有到過武漢海鮮市場，相信病毒正在內地其他省市傳播，加上內地春運已開始，預計確診患者數目將陸續上升。許樹昌擔心目前難以「撲滅這場火」，內地當局仍未追查出病毒源頭，加上現時留意的入院病例料只屬冰山一角，相信社區已出現輕微個案。因暫未有其他醫護人員及密切接觸者感染個案，他估計大部分個案來自內地野味市場，在之間流轉再感染人的機會較大，人傳人的機會不算高。許樹昌又指，農曆新年旅遊旺季即將展開，香港目前的防疫措施仍然穩妥，但如果其他省市都出現確診個案，本港口岸都要透過邊境檢測及呈報機制，做好防疫工作，以便及早篩查和隔離發燒病人防止擴散到社區。 ,2020/1/20 0:01,0,0,0
IqgjcDsx1,摩摩擦擦摩擦摩擦,女,海外,224,67,摩摩擦擦摩擦摩擦:有限的人传人，你品，你细品  ,2020/1/19 23:39,2,0,1
IqggCsXg6,蒙哥奶奶,男,北京,69,11900,蒙哥奶奶:武汉冠状肺炎病毒这个周末有了出人意料的变化。先是泰国确诊了2例，接着是日本确诊了1例，另外还有新加坡疑似有2例，这5位当事人的共同点就是近期去过武汉。然后就有人调侃，这次的肺炎病毒比较有觉悟，只出国，不出武汉市。把话说白了就是根据武汉对外的人流量，按概率算，网友们担心有可能已经向省外扩散，只是还没被发现？今天微博上有几个相关话题，但这种重大社会新闻不能信路边社，还是以官方公告为准，武汉又新增了17例确诊病例，一共确诊62例，目前死亡人数2人。到19日晚为止，内地其余城市还未官宣有确诊病例，目前官方的说法是疫情整体可控，不能排除人传人的可能性，但持续人传人的风险较低。我担心的是马上就到春运了，网友们最好在人流大的公共场所戴口罩，未雨绸缪总是没错的。鉴于疫情有了诸多发展，周一生物疫苗板块的股票大概率会受到刺激，根据我的主观感觉，这次的刺激会比第一波要强烈。 ,2020/1/19 23:32,4,0,0
IqgcyaVj9,二人的森林,男,天津,334,220,二人的森林:转 // #看点快报# 《武汉新增 1 例死亡，泰国发现第 2 例新型冠状病毒病例，不排除有限的人传人！》 http://t.cn/A6vH64HV  原图 ,2020/1/19 23:22,0,0,0
Iqg44bYYW,攀枝花综合广播,女,四川,270,213612,攀枝花综合广播:【#其他城市如何确认肺炎病例#？武汉外地区确诊病例需经三轮确认】1月19日凌晨，武汉市卫健委官网公告，17日，新认定新型冠状病毒感染的肺炎病例17例。除武汉外，为何我国其他省市没有报告病例？据报道，武汉外地区确诊病例需经三轮确认。专家表示，综合判断，新型冠状病毒不排除有限人传人的可能，但持续人传人的风险较低，疫情是可防可控的。（综合）#上海肺炎#http://t.cn/A6vY1UU5 ,2020/1/19 23:02,1,0,0
Iqg2HF6FL,陈文伍,男,香港,2215,158294,陈文伍:#新型冠状病毒传染来源还未找到#【专家称武汉冠状病毒肺炎总体可治】专家介绍，武汉新增17例新型冠状病毒肺炎病例，随着检测工作进一步开展，预计新增病例可能继续增加。新型冠状病毒感染的肺炎总体可治。对本次的疫情初步印象是新型冠状病毒的传染力不强，不排除有限人传人的可能。via 央视新闻 http://t.cn/A6vWmpwB  ,2020/1/19 22:58,14,8,4
Iqg1mCbaV,吉林小黑板,男,吉林,463,650278,吉林小黑板:#武汉机场火车站检测体温#【#其他城市如何确认肺炎病例#？武汉外地区确诊病例需经三轮确认】1月19日凌晨，武汉市卫健委官网公告，17日，新认定新型冠状病毒感染的肺炎病例17例。除武汉外，为何我国其他省市没有报告病例？据报道，武汉外地区确诊病例需经三轮确认。专家表示，综合判断，新型冠状病毒不排除有限人传人的可能，但持续人传人的风险较低，疫情是可防可控的。 via.@新京报动新闻 http://t.cn/A6vYgdEq ,2020/1/19 22:55,2,1,0
Iqg0HfqDr,卍卍佛佛佛卍卍阿弥陀佛卍卍,女,澳门,1359,6541,卍卍佛佛佛卍卍阿弥陀佛卍卍:#苏州爆料#【#专家称武汉冠状病毒肺炎总体可治#】专家介绍，#武汉新增17例新型冠状病毒肺炎病例#，随着检测工作进一步开展，预计新增病例可能继续增加。新型冠状病毒感染的肺炎总体可治。对本次的疫情初步印象是新型冠状病毒的传染力不强，不排除有限人传人的可能，但持续人传人的风险较低。http://t.cn/A6vWmpwB  ,2020/1/19 22:53,8,1,0
IqfWE8k45,宋都微生活,男,河南,31,13833,宋都微生活:武汉市疾病预防控制中心主任：疫情可防可控  新型冠状病毒不排除有限人传人可能#开封朋友圈##开封生活##开封热点# 宋都微生活的微博视频  ,2020/1/19 22:43,1,0,0
IqfPFw8NJ,贵溪发布,男,江西,759,112719,贵溪发布:【武汉市疾病预防控制中心主任李刚：疫情可防可控 新型冠状病毒不排除有限人传人的可能🙏】19日，武汉市疾病预防控制中心主任、主任医师李刚介绍，累计追踪到的763名密切接触者中，已解除医学观察681人，密切接触者中暂未发现相关病例。目前综合判断，对本次的疫情初步印象是新型冠状病毒传染力不强，不排除有限人传人的可能，但持续人传人的风险较低。随着各项防控措施的实施与落实，疫情是可防可控的！http://t.cn/A6vl6Blc ,2020/1/19 22:26,4,1,3
IqfKtFhxd,血玑嘉,男,海外,664,36,血玑嘉:#新型冠状病毒传染来源还未找到#不能完全排除人传人。大家日常还是多注意预防。勤洗手，坚持七步洗手法；注意个人卫生；尽量少去人群拥挤的公共场合；戴口罩😷；多喝水说实话也不用过于恐慌。  ,2020/1/19 22:13,0,0,0
IqfKbpv9C,_Li聪,女,广东,1187,906,_Li聪:#张钰琪[超话]##张钰琪 唱作音乐人# 亲爱的琪迹们，你们谁有龙的传人的音频啊，我之前保存的不见了  ,2020/1/19 22:13,3,0,1
