微博id,发布者昵称,发布者性别,发布者地区,发布者关注数,发布者粉丝数,微博正文,发布时间,点赞数,转发数,评论数
IyDb52Fr0,时代风向标栏目组,男,广东,19548,101862,时代风向标栏目组:#央视时代风向标栏目[超话]#【北京通报一起新增美国输入病例：在美3次申请核酸检测被拒[话筒]】3月13日，北京市疫情防控新闻发布会上，北京市疾控中心副主任庞星火通报一起新增美国输入病例：黎某，女，在美3次申请核酸检测被拒，为进一步诊治抵京。目前病例在定点医院隔离治疗，病情稳定。#女子在美核酸检测被拒后抵京确诊# @梨北京 http://t.cn/A6z6UcTA ,2020/3/15 0:34,2,0,3
IyDaV0knB,陈震-潼华振服CEO,男,北京,5950,191591,陈震-潼华振服CEO:#意大利宣布停飞大部分民用航班#【#意大利宣布停飞国内大部分航班#】据美国有线电视新闻网（CNN）报道，意大利民航局13日表示，将暂停该国多个主要机场的所有民用航班，包括罗马钱皮诺机场。这是意大利为控制新冠肺炎疫情蔓延而采取的紧急禁飞措施之一。意大利民航局称，意大利多个城市主要机场的国内航班都将暂停。从当地时间3月16日开始，米兰国际机场所有航班将暂停，罗马菲乌米奇诺机场1号航站楼将在第二天关闭。意大利民航局补充说，此次航班停飞将不影响应急卫生服务或政府公务航班。（海外网）http://t.cn/A6z6JAwT [组图共18张] 原图 ,2020/3/15 0:34,2,0,5
IyDaSjx2n,Koala梦之恋,男,其他,88,19,Koala梦之恋:新型冠状病毒还做出贡献了？帮助我们提前二十年，实现了工业转型肺炎疫情刚爆发的时候，大家还是都很开心的，毕竟，“今天看日历假期还有两天，眼一闭一睁假期就还剩五天”的日子，不是什么时候都有的。然而随着休息的日子越来越多，家里的存粮越来越少，房租越来越贵，公司不发工资甚至发生倒闭现象。大家才意识到，如果这个假期再这么过下去，估计自己就要出大事儿了。￼不只是普通民众，一些在中国有工厂的外国企业也因为不能复工陷入了巨大的麻烦。比如通用的小弟，CTC环球公司就因为这次疫情，导致他们的工厂已经停工一个多月了，带来了无数的损失。最终，CTC做出了一个重大的决定，那就是趁着这个机会对厂房进行改造。直接把所有人工生产线都换成机器人生产线。CTC的CEO马文·塞普表示，他们现在已经实现了中国工厂的高度自动化，今后他们将不再需要雇佣大量人工，只要从中国雇佣少量技术人员，就完全可以实现工厂的运转工作。现在，他们已经向有关部门提供了六十二名技术人员的健康状况，体温状况等数据，只等相关部门批了复工证，他们就可以让这些机器人迅速复工。工作效率之高，甚至超越了以往的人工。￼虽然说这些机器人的价格，比直接雇佣工人的价格贵出来了不少，但是看着这些机器人在生产线上飞一般的工作效率，塞普估计只想说一个字：值。硅谷产业研究机构的执行董事在接受采访的时候表示，现在中国已经有越来越多的工厂，开始进行自动化改造。他们现在开始大量订购机器人，想要用这种方式改造自家的生产线，实现提前复工的愿望。￼中国现在有800多架机器人制造商，说这次疫情对于其他产业来说可能是寒冬，但是对他们来说，简直就是春暖花开。原本被认为至少还需要二十年才能普及开的机器人流水线，因为这次疫情被提前普及了。只能说新冠病毒无意之中，为中国做了一件好事儿。不过这样做也有一个严重的问题，就是当这些工人在发现自己的工作岗位被机器人取代之后，他们应该如何谋生。如果这个问题也能得到妥善的解决，中国就可以光荣地宣告：中国的工业自动化时代到来了。#哔哩哔哩动画##投资# http://t.cn/AigL32XX 显示地图 ,2020/3/15 0:34,2,0,0
IyDaRoTZt,echobaby007,女,河南,767,149,echobaby007:〔衣服到底是为谁买的〕有了儿子后，我经常给他买衣服，常常裤子买了十来条，逛街的时候还不由于自主的又去看童装。最近疫情期间，每个童装店铺都建了自己的小群。秒杀啊，特价啊，划算啊，我囤货的程度已经到了成瘾的地步儿子需要这些衣服呀，今天才4岁的儿子似乎对有多少新衣服丝毫没有兴趣，他心理念念想要的是玩具，好吃的😍。儿子不需要这些衣服，我买这么多永远也不够的衣服是为谁买的？小的时候，我从小学三年级开始就有了爱美的意识，问妈妈要新衣服穿，新鞋子穿，她没有一次痛快的满足过我，每次都是我软磨硬泡或者用好成绩来换取到一件想要的东西。直到现在，她不曾给自己自己的孙子，孙女。外孙买过几件像样的衣服。她自己的衣服都是我从卖女装的表姐那里给她买的，我意识到这个问题后，也慢慢不给她买很多衣服，对不缺钱的她来说，这本来就是她自己需要操心的事。我不用承接这种焦虑。儿子的那么多衣服是我为自己内心没被满足过的小孩买的。她一直都渴望能穿上自己喜欢得新衣服，新鞋子。从来没被满足过，现在的很多很贵的衣服都是我买给成年后的长大的自己。可是那个从来没长大的小孩，住在我的心理。她一直没有被满足过，我一直在为那个小孩不停的买衣服。 ,2020/3/15 0:34,0,0,4
IyHtRcbon,北京市大兴区妇幼保健院,女,北京,69,3474,北京市大兴区妇幼保健院:【与疫情赛跑！#中国专家组意大利开工首日全记录#】中国抗疫医疗专家组12日晚抵达意大利首都罗马，第二天便行程满满。13日上午，与意大利红十字会和医学专家座谈交流；13日中午，与中国驻意大使李军华、意大利外交部长迪马约共同出席新闻发布会，并回答记者提问；13日下午，前往意大利红十字会急救中心。请平安归来！ http://t.cn/A6zSAB0C ,2020/3/15 11:32,2,0,0
IyJ3JmVYW,土豆鳄鱼饼,女,山东,180,145,土豆鳄鱼饼:疫情什么时间可以结束我真的受不了了每次排班都会把我排的满满的真的不想执勤了近一个月的执勤……啊啊啊啊啊啊啊啊啊难受……因为我们年轻、因为我们没有家庭照顾不执勤的时候完成工作执勤的时候觉得自己年纪小在外面冻着真的很累以前还能到十一二点睡觉现在每天晚上十点就睁不开眼了嗓子也上火了每天给住户登记的时候他们都抱怨我们限制他们出行但谁又知道我们不盼着小区里的人可以自由出入 ,2020/3/15 15:33,3,0,2
IyJ3xyel8,甘肃酒泉泉湖高速交警大队,男,甘肃,416,3333,甘肃酒泉泉湖高速交警大队:如果没有“吹哨人”——苏宁控股集团苏宁国际总裁、国际米兰足球俱乐部主席张康阳的炮轰，意甲联盟还有多少球员可能被传染新型冠状病毒肺炎，谁都无法预知。3月初，张康阳在社交媒体上炮轰意甲联盟主席达尔皮诺不把球员健康放在首位而不停地踢球，甚至在全球引起轩然大波。意大利足协主席格拉维纳，旗帜鲜明地站在了达尔皮诺一边。但意大利绝大多数人显然看不懂张康阳的远见，更没有因张康阳的提醒而引起警觉，这也许是意大利为自己的“大意”必须买单的后果。截止到北京时间3月14日晚上23:30分，意大利累计确诊17660人，死亡人数1266人，治愈人数1439人。几乎同一时间，媒体报道称意甲球员已经有9人确诊。但疫情还在继续，没有人能预言疫情的走向。截止当天，意大利是除中国以外，患者最多的国家。做为意大利“吹哨人”，张康阳在社交媒体上发出的言论遭到围攻，但张康阳以德报怨。3月13日，张康阳向米兰当地抗疫机构萨科医院捐款10万欧元；紧接着，苏宁集团宣布向当地国民保障局捐赠30万只口罩及其他医用防护服和消毒用品。不仅是张康阳，整个中国在意大利陷入四面楚歌，全球其他国家无人伸出援手的时候，进行了紧急援助。马云捐赠物资、中国医疗支援组等等第一时间驰援意大利。真正的朋友，不是在你获得成功的时候给你鲜花与掌声，而是在你危难之际伸出援手；真正的朋友，是在危难来之前，不顾个人利益得失而“骂”醒你的人。可惜，意大利足协如同一个装睡的人，即使醒来之后还用自己的傲慢与偏见，甚至用自己的权威面对善意的张康阳。意大利足协的错某种程度上代表着更多意大利人的态度。最初，当武汉发生疫情时，意大利一部分民众用狭隘与偏见公开在社交媒体上侮辱、诋毁中国。在没有廓清疫情来源和病体时，全球都应该积极合作。但意大利人的态度、意大利足协主席的态度，在某种程度上会起到一定的误导作用，这是一件很危险的事情。作为中国著名企业，苏宁参与意大利足球赛事，是给意大利足球重新输血，希望这项赛事在公开、公正、透明的情况下有更好的发展，而不希望意大利足球界用无知无畏甚至一些摆不到台面的动作，人为影响足球运动的发展。苏宁参与国际米兰是希望通过新的机制，让球队形成新的良性内生机制，这对意大利足球绝对是有益的发展。体育无国界，体育人更应该有格局、有高度以及宽广的胸襟，而不能故步自封。意大利人开放自由，更有包容性，但为什么对张康阳不能更多一些包容与理解？更何况，张康阳是为了意大利足球、是为了意大利这个国家能尽早发现、杜绝疫情传播而发出的“呐喊”。现在，有意大利球迷说，事实证明，张是对的。意甲联盟欠张康阳一个道歉，那些诋毁他的人欠张一个道歉。 ,2020/3/15 15:32,0,0,0
IyJ2UfuCE,君灿资讯,男,山西,1299,103727,君灿资讯:#关注山西新型肺炎疫情# 【壶口瀑布恢复开放实名制入园，游客保持1米5拍照】3月14日，山西临汾。黄河壶口瀑布恢复开放，随着气温回升，黄河上游融冰开河速度加快，水量增大，吸引游客的到来。目前，景区实行网络实名制预订售票，游客须全程佩戴口罩，测量体温信息备案，保持1.5米以上间距。#带着微博去山西# http://t.cn/A6zSQT0Z ,2020/3/15 15:31,0,0,0
IyJ2RCaAY,鹤壁新闻网,男,河南,1432,108624,鹤壁新闻网:#豫见疫情防控# 【“武汉感谢你们”！ #武汉居民楼挂横幅答谢河南医生# 医疗队员：这是最好的“奖状”】3月14日，河南赴鄂医疗队在武汉住宿的酒店外拍集体合照时，对面高楼上一户居民打出一大幅字，上面写着“武汉感谢你们”，医疗队员看到后都很激动，纷纷挥手示意，并表示，“这是武汉人民颁发给我们最好的奖状，大家一起努力，一定能早日战胜疫情。”http://t.cn/A6zSIZ5P http://t.cn/R2WxHCK 显示地图 ,2020/3/15 15:31,0,1,0
IyJ2B5NVW,缘起道孚,男,其他,26,1166,缘起道孚:县医院开展“周末卫生大扫除”活动，为恢复综合医疗服务做准备随着我县疫情形势日益向好，道孚县人民医院本部患者也已清零多日了。为尽快恢复县医院综合医疗服务工作，同时响应四川省人民政府办公厅印发《四川省爱国卫生运动“周末卫生大扫除”活动方案》，3月14日，县医院再次号召各科室对办公区域、临床各科室、病区每一个卫生间进行大清扫和大消毒。每一个职工在做好自身防护的同时，三两为伍，采取流水冲洗、扫帚清洁结合分区域聚焦死角盲区和关键部位清洁消杀的方式，经过两个多小时的努力，县医院卫生环境得到了进一步提升。 http://t.cn/RIoa7pt 显示地图 [组图共3张] 原图 ,2020/3/15 15:30,0,0,0
