评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//l530925023,人生剪影,男,广东,184,222,1396,这座城市会恢复，会发出比以往更亮的光芒，给点时间，给点耐心，你会在街上再次跟相识的相遇，会看到街头人们的笑容。,2706,2020-01-29 14:18
https://weibo.cn//271177344,荷尓蒙,男,北京,292,473,290001,清晨醒来，武汉封城， 微博上看到一句回复： “我的城市生病了， 但是我们会治好她， 还是欢迎您以后再来武汉”   鼻子一酸，没忍住…… ,1886,2020-01-29 14:16
https://weibo.cn//u/5271794306,草莓不甜诶_,女,其他,2230,286,148,武汉在我的印象里都是熙熙攘攘人潮拥挤的  哪里见过这么空的武汉,1657,2020-01-29 14:22
https://weibo.cn//u/5692984665,枕头太软了,女,其他,187,67,78,新年快乐 万事顺意,1,2021-01-02 00:37
https://weibo.cn//u/2366371185,想学医的小胖子,女,其他,133,84,30,加油,0,2020-12-07 10:00
https://weibo.cn//u/3209533784,耳听氧气,女,湖北,3079,183,333,刚刚看完在一起的第4集  这几天断断续续的看  真的太好哭了  眼睛都要肿了555听到这首插曲真好听欸就来搜依旧不知道叫啥名字哈哈哈,0,2020-10-08 00:05
https://weibo.cn//missnn521,郭小楠__,女,浙江,417,603,270,今天是是2020年9月4日，我在武汉街道口，再听一次这首歌，还是热泪盈眶。想穿越回去告诉你们，一切都会好的,1,2020-09-04 19:48
https://weibo.cn//darkwhitetear,大手牵小lin,女,山东,5781,392,644,过了这么久，看着竟然比之前更难受,0,2020-08-04 07:43
https://weibo.cn//u/3841026423,珊儿_w_,女,湖北,209,142,64,今天是6月5日，再次留言，武汉，熬过来了,1,2020-06-05 20:15
https://weibo.cn//u/6860583751,忘憂·君,女,香港,26919,1584,93808,     举报             赞[0]         回复             2020-04-12 14:21:35 来自网页,0,2020-04-12 14:21
https://weibo.cn//u/6525408479,_赤豆酒酿,女,其他,84,101,3,     举报             赞[0]         回复             2020-04-10 23:50:53 来自网页,0,2020-04-10 23:50
https://weibo.cn//teresabelongtoluhan,特雷杀KJW,女,北京,1820,460,669,中国可以！,0,2020-04-04 12:46
https://weibo.cn//u/5743372638,中元的中,女,新疆,492,63,45,4.4了,0,2020-04-04 11:27
https://weibo.cn//u/2754905635,爱玮柏爱上未来的你,男,山东,1120,170,116,转发微博,0,2020-04-01 20:28
https://weibo.cn//u/3161446982,-橘喵·甜橘-,女,广东,7112,148,105,武漢加油  一切都會好起來的,0,2020-03-19 08:16
https://weibo.cn//u/2051886807,观山听岳,男,北京,464,340,1078,回复@人生剪影:坚信不移,0,2020-03-13 22:43
https://weibo.cn//u/6248705020,Reloaded_007,女,湖北,10297,381,131, 当时看的我超级感动，昨天我们班团会又放了一遍，又把我感动了,0,2020-03-08 21:48
https://weibo.cn//u/7376911428,陌路的爱情200203,男,其他,2,44,3,武汉加油↖(^ω^)↗   全世界都在为你祈祷  期待你重放华彩的一天,0,2020-03-07 23:11
https://weibo.cn//u/7207117903,很爱啵啵的沐清,女,四川,142,84,8,回复@踏河逐月:加油加油,0,2020-03-05 17:09
https://weibo.cn//u/2276589232,大晶小怪-,女,海外,536,107,539,回复@张小强就要强:欢迎你哦,0,2020-02-25 18:23
https://weibo.cn//luki429,湖南衛視惡人天籟,女,湖南,3616,554,16321,歌好听，词真切，情动人！,1,2020-02-24 01:48
https://weibo.cn//ygg902,Itsyao_,女,海外,975,166,2791,啊…想回武汉了…想去看看建了四年的光谷建好了吗…想吃学校食堂的茄子面卤味串串烤冷面什么都行…想双学位下课在教室门口等yjw一起出去买吃的…想每次出门问问舍友吃什么…想在宿舍一起吃鸡到半夜…想熄灯深夜讲八卦讲到饿的不行下床拿手电筒吃零食…想每次动车经过黄鹤楼时再说一句：有什么好看的…,0,2020-02-22 03:15
https://weibo.cn//u/1862126703,STEVEN8622,男,上海,163,294,151,回复@孙晗今天学习了吗:武汉伢,0,2020-02-21 13:21
https://weibo.cn//u/2480993053,刘老师的小跟班儿,男,北京,22,484,40,我听哭了 武汉加油 中国加油 疫情是冷酷的 中国心是火热的 我爱你中国 加油武汉,0,2020-02-19 22:37
https://weibo.cn//u/5899673978,奇聞異事綠,女,湖南,52,125,97,这是什么歌,0,2020-02-18 15:31
https://weibo.cn//u/7314258166,晚安喽太阳,男,山东,105,164,100,我爱武汉，从我出了华科地铁站时，从我第一次看到真的有轨电车时，从我第一次见到理想的大学氛围和环境时。我发现我这辈子都不会离开她了。爱你，武汉，祝，早日康复。武汉加油！,0,2020-02-18 00:27
https://weibo.cn//sh8123789,慧姐爱美食,女,湖北,3491,4228,2156,回复@W汉文公子W:欢迎回来,0,2020-02-16 22:02
https://weibo.cn//sh8123789,慧姐爱美食,女,湖北,3491,4228,2156,回复@MsLunatic:好像叫段思思，武汉女孩,0,2020-02-16 22:00
https://weibo.cn//u/6485329390,Love雷与天齐,女,其他,1321,311,214,之前我去过很多城市就是还没去过武汉，那一年在大理大学樱花树下，我告诉自己总要看一次武大樱花。国有难当勇往，今天报名未能遂行，下一次一定不告诉妈妈,0,2020-02-15 21:00
https://weibo.cn//xinxin1017,xinxin1017,女,上海,419,470,116,     举报             赞[0]         回复             2020-02-12 01:14:11 来自网页,0,2020-02-12 01:14
https://weibo.cn//u/3597865460,Kurhn陳可儿,女,海外,242,503,704,罗家墩跳楼的老人怎么了。？？？？？能不能说？你们闭着眼睛说全武汉市都是没被排查的百分之一啊？？？我的周围一个人都没来问过！所有的朋友圈！请问百分之九十九怎么排查的？拿人命做政绩？？？,0,2020-02-11 01:20
https://weibo.cn//u/6414838153,Zzzzzzzz_0415,女,湖北,206,432,79,再等等 希望能与医护人员 武汉人民一起去看樱花🌸,0,2020-02-10 11:37
https://weibo.cn//u/7185217891,Zyiiyiiy,女,湖南,6,155,2,回复@踏河逐月:好好的。我超级爱武汉，等他病好了，我还要去看它。,0,2020-02-10 02:56
https://weibo.cn//u/7185217891,Zyiiyiiy,女,湖南,6,155,2,我一直都非常喜欢武汉这座城，它给了我很多美好的憧憬。2019年我用攒下的的零花钱开启了我人生中的第一次旅行，目的地就是武汉，因为很多年前我就告诉自己，我的第一次旅行的地方只能是武汉，我去了。我永远都不会忘记下火车站时的心情，无比的激动。我希望武汉好好的，等你病好了，我还要去看你。,1,2020-02-10 02:54
https://weibo.cn//u/5722189756,好奇心two,女,其他,114,47,16,好漂亮(｡･ω･｡)ﾉ♡,0,2020-02-09 23:34
https://weibo.cn//u/6982398755,郗辰-_-,女,其他,3,515,39,求bgm,0,2020-02-09 13:41
https://weibo.cn//u/2932913711,子在川上赱,男,江西,22,143,76,据说，武汉是全国起得最早的一座城市，早起的武汉人通常都会外出吃早点，武汉人把这叫作“过早”。在“过早”的名义下，武汉人展示出荆扬相会、九省通衢、江汉大都气吞山河的食量。等珞珈山樱花再盛开，我们一起去“过早”啊。武汉加油[加油][加油][加油]！,2,2020-02-08 17:04
https://weibo.cn//u/2572652753,暮色2572652753,女,浙江,999,1126,171,回复@珊珊YOUNG:加油！谢谢你！,0,2020-02-08 14:48
https://weibo.cn//u/2572652753,暮色2572652753,女,浙江,999,1126,171,加油啊！谢谢所有的医护人员作出的贡献！元宵节快乐！,0,2020-02-08 14:34
https://weibo.cn//u/5884990731,月夜巧克力,男,海外,62264,5100,4330,🙏🙏🙏加油我们的武汉！加油中国！     举报             赞[0]         回复             2020-02-08 08:37:38 来自网页,0,2020-02-08 08:37
https://weibo.cn//u/6386082806,lllllllexy,女,江西,73,158,120,年纪大了，听两句就开始流眼泪,0,2020-02-07 20:23
https://weibo.cn//Provence825,1996-08-25,女,湖北,803,596,2514,回复@_一罐可乐啊-:天呐！震惊！,0,2020-02-06 20:08
https://weibo.cn//u/6155321951,_一罐可乐啊-,女,湖北,4,45,46,居然是我们学校的学生拍的,0,2020-02-06 20:07
https://weibo.cn//u/6574248970,孟阳中浣之一日,女,其他,171,164,66,等疫情过去了，我们去武大看樱花吧，等疫情过去了，我们去武汉吃热干面吧，等疫情过去了，我们去武汉吧……武汉加油，我们都在，明天会好的,0,2020-02-06 08:29
https://weibo.cn//u/5774653244,璐潇洒哈哈,女,北京,629,184,104,等我啊武汉，我还想2021去你哪里上大学,0,2020-02-05 00:23
https://weibo.cn//u/3849761105,张江群众,男,上海,1284,333,3897,一座城牵连者一座座城，山川异域、风月同天。愿武汉樱花开时，疫情退去。,0,2020-02-04 17:30
https://weibo.cn//zhaichao,羽隹大人,女,云南,2311,376,1749,一座城。 一个又一个活生生的个体。 ,0,2020-02-04 16:55
https://weibo.cn//u/7385444442,西瓜酱不烦恼,女,江西,68,44,6, 很快就会好起来的，武汉加油！[加油],0,2020-02-04 13:12
https://weibo.cn//u/5727751104,不委屈自己是对自己忠诚,女,湖北,302,127,45,回复@幺鸡南风:祝福❤,0,2020-02-04 10:41
https://weibo.cn//u/5574309588,澄風__,女,甘肃,831,510,327,太多的无辜者受伤……,0,2020-02-04 09:41
