评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/6033414083,·循跡星·,女,其他,20646,462,33179,我们共同的敌人是贩卖野味和吃野味的憨批,59919,2020-01-29 15:53
https://weibo.cn//u/5148720105,Ane_思远哥哥,女,湖北,423,380,1910,希望某些武汉黑子不要在外面继续诽谤攻击外省友军 没有谁应该帮谁 欠谁 人家帮忙应该心怀感恩 人家不帮忙也情有可原 国难当前还添乱  真正的湖北人 武汉人都老老实实在家自行隔离 一群憨批破坏武汉人的形象 我们到处跟人道歉 你们到处很人抬杠！有这个功夫请腾出时间做点实事 当义工 别当键盘侠 ,20906,2020-01-29 16:00
https://weibo.cn//u/2461369630,火龙果泡酸奶,女,其他,6421,1394,536,关键是武汉人得自觉别乱跑 自觉隔离,20911,2020-01-29 15:56
https://weibo.cn//u/1716638843,ChristineSS,女,广东,2734,400,504,回复@二宫爪爪螺蛳粉:@平安武汉  该抓的不抓,0,2020-01-31 11:27
https://weibo.cn//u/1926593270,青菜姐妹花,女,浙江,642,282,1657,官媒整天就知道转起转起！ 全中国都在告急告急，我们浙江也是！ 口罩到处买不到，香港都有800万只！ 欺负我们老实人不会闹呗。,0,2020-01-31 11:25
https://weibo.cn//u/5827934032,芝士炖奶盖,女,浙江,238,800,160,好好管管红十字武汉就成功一半了,0,2020-01-31 11:18
https://weibo.cn//u/3958388738,Wpinging,女,广东,195,146,45,回复@wsh_77:这是风凉话？基本素养好吗？你传染了，满世界跑，满世界闹，背负生命好玩吗？,0,2020-01-31 11:15
https://weibo.cn//u/3221210521,小熊醉酒,女,海外,227,28,12,这个按照饭圈文化是不是叫内涵…,0,2020-01-31 11:12
https://weibo.cn//u/2870775964,顽固自己2020,女,内蒙古,1319,266,129,转个屁，有毛病，多报道深入报道，不要沽名钓誉,0,2020-01-31 11:09
https://weibo.cn//u/3933859788,逃出大气层ing,男,福建,51,132,92,你好，我母亲在三明环卫工作，但是环卫工人在疫情期间正常上班，没有配发任何防护用品就在马路上工作，这是对工人生命安全的极端不负责,0,2020-01-31 11:04
https://weibo.cn//u/2171819151,危机债,男,北京,36381,462,4380,@和你在一起lyn      举报             赞[0]         回复             2020-01-31 10:56:29 来自网页,0,2020-01-31 10:56
https://weibo.cn//u/5124470637,精神病科老中医,男,辽宁,979,272,233,回复@我伦说有上进心的是好姑娘:手抖发错了，湖北,0,2020-01-31 10:51
https://weibo.cn//u/1731225030,瓜小猫,女,云南,569,182,194,回复@不吃零食的末末:也请武汉人自觉。,0,2020-01-31 10:51
https://weibo.cn//u/3106110795,梦回大唐拍小强,男,广东,115,47,29,我这里就是本来0病例的  就是那位大哥连夜逃离  现在弄得一栋楼都得挨个检查,0,2020-01-31 10:48
https://weibo.cn//u/2378933874,蛋黄和素描的小日常,女,陕西,40,59,12,不，我们的共同敌人是贩卖野味，吃野味，出现症状还到处跑的人！,1,2020-01-31 10:46
https://weibo.cn//raincy0602,凉貍子,女,山东,7161,422,856,回复@不吃零食的末末:看看新闻就知道了，到处都是武汉人传染的，有的是无心，有的呢？,0,2020-01-31 10:42
https://weibo.cn//u/6120926273,wy2436,女,其他,55,129,84,回复@还要一起走好久:,0,2020-01-31 10:42
https://weibo.cn//u/6503813851,肖勇善战的小肥侠,女,江苏,776,116,4,敌人还有吃野味的憨批些,0,2020-01-31 10:38
https://weibo.cn//u/1792977737,刘乐芙的麻麻是太阳女神_,女,湖北,6584,844,829,回复@四维神兽皮卡丘:楼里无数地域黑急了前来对号入座,0,2020-01-31 10:34
https://weibo.cn//u/2882509093,安之若素心素如简,女,安徽,92,767,93,我们共同的敌人是满世界跑毒的憨憨,1,2020-01-31 10:28
https://weibo.cn//u/5917120497,本同莫李,女,湖北,741,9,72,回复@不吃零食的末末:有事了什么牛鬼蛇神什么阴暗恶毒的垃圾就都出来了……,0,2020-01-31 10:28
https://weibo.cn//u/2626590737,萧-墨璃,女,重庆,8333,738,2471,回复@Kokukun55:不算共犯，这是阶级敌人，必须消灭的那一类。,0,2020-01-31 10:25
https://weibo.cn//u/5701825799,那我关月亮了ii,女,广东,0,89,102,能不能处理了那些拖沓不负责任的红十字会和慈善会呢？,0,2020-01-31 10:25
https://weibo.cn//u/5498008181,树陈,男,山东,617,26,15,打倒病毒！武汉同胞必胜！,0,2020-01-31 10:18
https://weibo.cn//u/2441044327,留恋浮华,男,河南,1709,1058,130,加油武汉！,0,2020-01-31 10:15
https://weibo.cn//u/3157924830,茂林修竹坚不可摧,女,北京,260,65,22,加油,0,2020-01-31 10:12
https://weibo.cn//u/5132226232,Fiona14058,男,其他,2874,2953,328,h,0,2020-01-31 10:12
https://weibo.cn//u/6083754740,还要一起走好久,女,其他,378,75,49,回复@wy2436:一切都要从一只蝙蝠说起,0,2020-01-31 10:10
https://weibo.cn//pshalie,小冒力,女,其他,461,407,915,回复@喵喵暂时没想好:那就让他们回家，别再回来了，等感染了就知道痛了，有的人就是不见棺材不落泪,0,2020-01-31 10:01
https://weibo.cn//pshalie,小冒力,女,其他,461,407,915,回复@这念念不忘的小时光:微博放出来吧，反正在家闲着也是闲着,0,2020-01-31 10:00
https://weibo.cn//u/5737389789,皇子他姥姥,女,河南,235,364,105, 加油武汉！,0,2020-01-31 09:56
https://weibo.cn//hohoo123,我伦说有上进心的是好姑娘,女,河南,911,807,3993,回复@精神病科老中医:河北省？？？,0,2020-01-31 09:30
https://weibo.cn//u/2438675275,小皮桶的吃货日记,女,湖北,344,390,232,回复@羊阿羊阿洋阿洋-:我作为武汉人对新闻的关注绝对不亚于你，外省感染很多是在武汉工作回老家的，还有在武汉转过车的，很多都不是真正意义上的武汉人，只是在武汉呆过而已，你要喷就去喷他们，张口闭口就“你们武汉人”，你这样不也相当于骂了几百万众志成城抗争疫情的武汉人？这和脑残的地域黑有什么区别？？除非你就是,0,2020-01-31 09:28
https://weibo.cn//hohoo123,我伦说有上进心的是好姑娘,女,河南,911,807,3993,回复@正版宣之:他们现在是努力点亮全球了,0,2020-01-31 09:27
https://weibo.cn//u/2141494092,shallweshallwe_,女,广东,140,92,62,隔离疫情 不隔离爱❤️  加油武汉 加油中国🇨🇳,0,2020-01-31 09:26
https://weibo.cn//u/6421817567,藏一袋星光,女,山东,252,500,432,回复@何祯的可爱喵:我们自始至终说的都是武汉吃野味的好吧?总有些人莫名其妙来自己往上怼，,0,2020-01-31 09:20
https://weibo.cn//u/6421817567,藏一袋星光,女,山东,252,500,432,回复@何祯的可爱喵:是憨憨吗？？我说你吃野味了吗？,0,2020-01-31 09:19
