评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/6001097003,轻舟游在路灯上,女,其他,105,129,11,这太详细了,18446,2020-01-29 19:25
https://weibo.cn//u/6560869244,四分六十秒,女,四川,9370,230,10558,我的天啊，好吓人,11846,2020-01-29 19:24
https://weibo.cn//u/5647946903,最爱最爱土豆土豆君,男,其他,20,61,587,唉 那时候都还不重视 也不能全怪他们,6108,2020-01-29 19:25
https://weibo.cn//u/1678306100,lbcanon,男,北京,23876,2251,1974,唉，19号，仅仅是10天前，赖这家人吗？但那时候没有人被告知到严重性。10天前有几个人戴口罩？没有如果了，只能严防死守没退路了,1,2020-01-30 13:35
https://weibo.cn//WINHELPERSHENZHEN,WINHELPER,男,广东,8377,1559,523,不能自认倒霉，公安机关和检查机关应当按照武汉宣布疫情开始之日起，对这部分仍然肆意流串播毒的事后进行追诉追究责任！！！ //,0,2020-01-30 13:35
https://weibo.cn//u/3235737974,莫莫莫莫问,女,天津,105,29,100,回复@玄载隆容为延:但是注意啊，重点他们是武汉城区回来的，自觉点好吗。,0,2020-01-30 13:34
https://weibo.cn//u/5138678640,仙桃伢-ya,女,山东,147,364,168,回复@今天的风超甜哎:好可怕,0,2020-01-30 13:32
https://weibo.cn//u/3065465655,草原驼鹿,男,河南,37,98,90,如果不是因为肺炎，他们这个自驾路线及游玩地点选择的还挺不错的，都是热门有特色的地点,1,2020-01-30 13:31
https://weibo.cn//u/1977545817,珊珊是个小猴子呀,女,辽宁,10886,110,621,我,0,2020-01-30 13:30
https://weibo.cn//u/2817697537,这是小5啊_,女,山东,1622,894,256,回复@和你去拥抱hh:我算是反应的比较及时的了，即使屯了好多口罩，那时候都还有好多，好多人还说我太紧张了，然后过了一两天我们这就买不到口罩了，身边没多少人屯口罩的。,0,2020-01-30 13:28
https://weibo.cn//u/5750648455,Yvstiny,男,山东,2,26,57,三星炼金,0,2020-01-30 13:26
https://weibo.cn//u/7154194983,雕刻石光199502,男,其他,8,85,47,还来天津古文化街了！22号他们买口罩了！估计得戴口罩，要这样也许还好，,1,2020-01-30 13:26
https://weibo.cn//u/7154194983,雕刻石光199502,男,其他,8,85,47,回复@爱彤蛋蛋的老张:延期三天啊,0,2020-01-30 13:24
https://weibo.cn//u/2054079385,枫云云,女,河北,799,80,308,涉及的人太多了，他们去景点，那哪儿知道都是谁谁,0,2020-01-30 13:22
https://weibo.cn//u/6042021089,和你去拥抱hh,女,河南,106,592,165,回复@Skyee_wu:你们太后知后觉啦，那个时候我爸妈已经被我普及老早就买好了口罩了,0,2020-01-30 13:18
https://weibo.cn//601224088,熙熙smile小虎牙,女,天津,6676,2450,469,这一家子，把天津市区繁华地段全来了一遍，查询起来真是好大的工程。,1,2020-01-30 13:18
https://weibo.cn//u/6140472531,Shirley0220姿,女,海外,267,354,22,汉庭酒店也危险了,0,2020-01-30 13:17
https://weibo.cn//u/6286366311,苟分王者,男,江苏,247,184,110,回复@Swadoooooow:笑死了，照你的说法，别信官方，那你自己活着好啦，啥新闻也别看,0,2020-01-30 13:17
