评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5211921407,小圆的Supreme女孩,女,上海,30267,903,3910,我一直相信好人有好报 加油,19377,2020-01-29 23:47
https://weibo.cn//u/1955422247,发刊物--联系我,男,福建,11,301,1761,武汉金银潭医院院长夫人痊愈 。隐瞒了身患渐冻症的病情，顾不上被新型冠状病毒感染的妻子，武汉市金银潭医院院长张定宇坚守在抗击疫情最前沿30余天。今天传来好消息！,12183,2020-01-29 23:47
https://weibo.cn//u/6131100300,Cindy_Gung,女,浙江,18,299,517,大晚上的刷到这条，突然泪目,8325,2020-01-29 23:47
https://weibo.cn//u/1783977173,好好努力顺其自然,女,海南,15416,945,624,回复@不明真相的兔子:这是为啥啊,0,2020-10-29 01:59
https://weibo.cn//u/2304345101,瑶台摘星辰,男,其他,521,318,104,难受，老天爷开开眼吧,0,2020-09-19 14:35
https://weibo.cn//u/6222977273,星期五快乐嘿嘿,女,其他,980,77,2,希望好人有好报  祝您身体健康,0,2020-09-18 23:28
https://weibo.cn//u/3691325720,祐鸟丶,男,广东,2001,797,1767,英雄,0,2020-09-18 12:48
https://weibo.cn//u/7363851481,我放不下所以我还在1805,女,广东,1277,168,14,祝福张院长，致敬,0,2020-09-18 06:35
https://weibo.cn//u/6309209912,一颗米粒粒吖呀吖,女,其他,1064,170,107,     举报             赞[0]         回复             2020-09-18 02:25:11 来自网页,0,2020-09-18 02:25
https://weibo.cn//u/5510867163,鱼乐研究,女,北京,1063,371,102, 尊敬//,0,2020-09-18 01:55
https://weibo.cn//u/1906066193,声嚖嚖以清和兮,男,海外,438,144,9,向张院长致敬。,0,2020-09-17 23:21
https://weibo.cn//u/6074146459,7七芊,女,湖南,288,279,46,谢谢你,0,2020-09-17 22:56
https://weibo.cn//u/5268248054,凤羽十三,男,重庆,4328,607,195,真的好伟大的院长,0,2020-09-17 22:15
https://weibo.cn//u/5614966587,萌萌的贝里奥,女,湖北,1929,414,682,谢谢您,0,2020-09-17 22:10
https://weibo.cn//u/6007477377,菏西西斯朵夫,男,其他,7671,1311,74,感谢您，今晚看了您的故事更感受到您的力量，一定保重，平安顺利,0,2020-09-17 22:06
https://weibo.cn//u/6596693104,奔赴·月色,女,重庆,3889,636,55,张院长，您是英雄,0,2020-09-17 21:58
https://weibo.cn//u/6513285573,一只疯了的咩,女,陕西,2238,578,75, 伟大的平凡人,0,2020-09-17 21:58
https://weibo.cn//u/6198490183,灬蓝曦,女,其他,1645,114,13,祝好人一生平安,0,2020-09-17 21:52
https://weibo.cn//u/2647446592,也许不方圆着呢,女,新疆,6725,712,640, ,0,2020-09-17 21:25
https://weibo.cn//u/5756199962,疯狂的石头丹儿03586,女,其他,817,243,23,看了最美逆行 张院长一定要保重,0,2020-09-17 21:24
https://weibo.cn//u/6270425350,嗨-hello啊,男,其他,1928,1001,1,     举报             赞[0]         回复             2020-09-17 21:18:49 来自网页,0,2020-09-17 21:18
https://weibo.cn//u/5969986715,许你星途璀璨,女,上海,4781,977,563,您辛苦了，谢谢你,0,2020-09-17 21:15
https://weibo.cn//u/5263206136,大白永远不长大,女,上海,5439,467,54,这位张定宇院长就是今晚的最美逆行者的原型啊,0,2020-09-17 21:10
https://weibo.cn//u/6264588318,两米六-,女,其他,3869,1595,81, 原来您就是华院长的原型，辛苦了，谢谢您,0,2020-09-17 21:08
https://weibo.cn//u/6181128088,HisKiller,男,海外,27725,2954,56,     举报             赞[0]         回复             2020-09-17 21:08:00 来自网页,0,2020-09-17 21:08
https://weibo.cn//u/6573139471,琪琪要温婉居家,女,湖北,1690,186,64,会幸运的🙏🙏,0,2020-09-17 21:05
https://weibo.cn//u/3848047953,月亮很亮xz,男,广东,4696,481,1301,致敬挺身而出的抗疫英雄,0,2020-09-17 21:04
https://weibo.cn//143237942,有钱请我吃老油火锅,女,湖南,7448,357,520, 原来这就是华院长的原型，太感人了,0,2020-09-17 21:04
https://weibo.cn//u/5975389828,梁梁梁靓靓sasa,女,海外,17870,616,516,天呐，谢谢您,0,2020-09-17 21:04
https://weibo.cn//u/7324643327,战战平安喜乐啊,女,北京,5003,353,59,辛苦了！谢谢您！     举报             赞[0]         回复             2020-09-17 21:03:32 来自网页,0,2020-09-17 21:03
https://weibo.cn//u/6033740777,喵呜喵呜扛哧扛哧,女,河南,1938,513,524,看哭了,0,2020-09-17 21:02
