评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5658506613,黄埔刘老汉,男,广东,225,85,573,我相信是微商所为，因为微商真的可以蠢到这种程度，但是对于网友说的丢件，还是请给出答复。,9889,2020-01-29 23:56
https://weibo.cn//u/6867738279,卷卷毛球呀,女,北京,14,410,559,人家顺丰不声明你们让查，发了声明你们又不信，要不你们查去,5112,2020-01-29 23:56
https://weibo.cn//yingkouxinwenge,营口新闻哥,男,辽宁,13352,315,153376,这个时候还是不站队好，等待警方通报吧,2465,2020-01-29 23:56
https://weibo.cn//u/6915009061,李锋源,男,香港,309,137,6,我相信，顺丰员工偷盗已经很多了，顺丰的制度是定给外人的，对自己的员工没有任何的影响，包庇员工已经很正常了，员工犯错导致客户损失，事后就会把员工调离或者让其跑路，同时会拖延客户时间，消除所有的证据，如果有客户在顺丰公司吃过亏的很清楚,0,2020-11-10 13:15
https://weibo.cn//u/6189156441,弧倪,男,其他,26,36,4,回复@31415926哌:有些事情看表面就可以了。非要考虑到深层次，结果你所考虑的深层次还没有表象真实？有何意思？社会引导的你是让你听话，听指挥，,0,2020-04-30 23:11
https://weibo.cn//u/5293714035,later呵呵,女,浙江,21,192,64,我有一个疑问。 顺丰快递不显示寄件人信息合理吗？快递实名制难道只是说说而已？假设收件人不知道寄件人是谁，万一是敌人寄来的呢？如果知道可以选择拒收，但是不显示只能签收。那么国家要求是实名制到底是为谁考虑的？  ,0,2020-03-27 11:30
https://weibo.cn//scxmrc,匕梵biifo,男,海外,67,124,27350,我3月16号发的顺丰国际快件，截止到25号。过去10天了，顺丰app上显示包裹还在深圳放着。打顺丰国际客服一直没人接，打国内客服说给转国际部，有人会主动回我电话，结果过了一天了，没人回复我。包裹就那么放着吗？也不告诉我原因，虽是疫情期间，就可以这样应付用户吗？是不是也被拦截了？,0,2020-03-25 13:26
https://weibo.cn//u/5367937835,小芒果专用,女,其他,38,185,21,顺丰快递员偷手机,0,2020-03-18 18:56
https://weibo.cn//534645647,哋鯄丄鍀yk心,男,北京,6831,96,830,艹他妈的我的口罩也是让顺丰给偷走了，,0,2020-03-16 19:34
https://weibo.cn//u/1217625133,反光里猜测色彩,女,北京,1738,699,140,要彻查顺丰！我的口罩同城七天到不了？除了自己截流还有那种解释？,0,2020-03-13 21:02
https://weibo.cn//u/6210462992,王炸与春花,女,重庆,27,401,5967,回复@YoYo1141:顺丰寄件偷我手机！到货只剩下配件！以我不保价偷窃手机并且不赔付！！！无赖公司不解决投诉到底！！,0,2020-03-11 15:17
