评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/6715915603,哪吒不是那个扎,女,海外,146,221,806,几个吃野味的sb点亮全世界。,17331,2020-01-27 20:47
https://weibo.cn//u/5346076974,想不出不重复的昵称99,女,其他,80,62,66,点亮全国情有可原，毕竟不知情时过年回家，点亮全世界是要干嘛？你家在柬埔寨？,14259,2020-01-27 20:48
https://weibo.cn//u/3230507901,美白丸日本铂金美白针pola人胎素,女,海外,3957,591,796137,武汉人别觉得委屈了 人家外国人要骂也是直接骂中国人 那也不是每一个中国人都吃野味啊 所以被骂到武汉人就躺平任嘲吧,12140,2020-01-27 20:49
https://weibo.cn//shamenzhengping,一池荷叶居士,男,浙江,23425,721,2177,这也不能算吖。柬埔寨到现在没有，真是好人好报。,0,2020-03-06 12:29
https://weibo.cn//u/1745458247,葛嗒,女,湖北,592,256,80,回复@IcedLatte111:憨批哪里都有，换了你的城市一样，不是还有几百万都安安分分呆家里么，就被一个憨批代表了么，我们既不吃野味也没出门，我们不无辜嘛，还要挨骂,0,2020-02-19 13:10
https://weibo.cn//u/5538196691,捻花镇风,男,其他,1605,654,306,回复@哪吒不是那个扎:不一定是吃野味，最大的可能性还是美国搞的,0,2020-02-18 09:46
https://weibo.cn//u/5596051178,背水一战的帆船,男,海外,174,365,21,回复@美白丸日本铂金美白针pola人胎素:武汉外来人口有五百万，也就是其他省份的朋友有很多。春运从武汉往外跑的大多都是外省人口，回家过年。也就是说不是武汉本地人到处跑，武汉本地900万人大都留在城里。武汉人真的很无辜好吗!这个锅武汉人不背。,0,2020-02-03 23:17
https://weibo.cn//u/6386237399,Zyc3044,女,河北,19,332,53,回复@甜甜甜博呀:那也不能祸害别人啊，在中国老老实实的治，又不是治不了，不也有治好的吗,0,2020-02-03 22:25
https://weibo.cn//u/6905695226,无所维惧,男,其他,34,194,10,回复@前途命运皆在我手:不荒凉，吃螺狮粉。,0,2020-02-02 20:23
https://weibo.cn//assweet,撞进夏天的沙沙子,女,湖北,1405,250,555,回复@小丫头-201808:ba,0,2020-02-02 17:56
https://weibo.cn//chixarro,不是每座森林都会有木吉子,女,广东,3395,838,232,回复@粉色格仔:,0,2020-02-02 15:26
https://weibo.cn//u/1786260767,粉色格仔,女,广东,1111,414,395, 🙃,0,2020-02-02 10:50
https://weibo.cn//u/6297601924,浪漫的实干野心家,男,重庆,17499,788,840,回复@Sivhoung:对呀出了国，自己代表的就不仅仅是自己一个人了，,0,2020-02-01 12:51
https://weibo.cn//u/5482541031,小艾榴莲,男,福建,76,138,62,现在要是有人想自杀就可以去武汉玩一玩了,0,2020-02-01 11:37
https://weibo.cn//u/3960414273,讨厌姜茶,女,江西,264,612,90,我可以用方言说句吗？我是真的真的忍不住了！,0,2020-01-31 11:27
https://weibo.cn//u/1670191162,喜欢蓝胖子的攻城狮,男,其他,190,1061,157,回复@一颗小柠檬19910805:有些病毒在超冷环境下能存活很久的，搞不好这哥们想的比较远，打算把未来的考古队也带着坑一把,0,2020-01-31 11:10
https://weibo.cn//u/2770030171,lampardrogballackalou,男,湖北,10278,1421,1104,回复@泪水是noiseless:我有狡辩吗？我只是希望不要乱开地图炮。你这么喜欢喷你去喷那些狡辩的人啊？别的不知道，我就看到你在这里乱特么开地图炮，什么不喷武汉人喷谁。什么年代了，喷来喷去有个什么意思？,0,2020-01-31 03:48
https://weibo.cn//u/2770030171,lampardrogballackalou,男,湖北,10278,1421,1104,回复@泪水是noiseless:什么人点亮世界？是的，是那些很不自觉的武汉人，这一小部分人他们就能代表武汉了？剩下那些选择为武汉而战的人您就选择性忽视了？什么不喷武汉人喷谁，这么喜欢喷合着您是喷泉呢？好好想想面对疫情你又做了啥，有没有资格在这里喷吧，图一时嘴快谁都会，不要伤了那些正在为抗击疫情付出的人的心,0,2020-01-31 03:45
https://weibo.cn//u/6134352512,甜甜圈里的小女子_,女,广西,29,59,53,回复@lampardrogballackalou:搞的好像我想当键盘侠一样嗷？不是说武汉人不好 但是武汉人刷屏解释狡辩就很无语 事实就在眼前 每次别人bb两句一堆武汉出来解释“外地人跑出去的”🐴 的大部分首例都是湖北武汉的吧？,0,2020-01-31 03:39
https://weibo.cn//u/6134352512,甜甜圈里的小女子_,女,广西,29,59,53,回复@lampardrogballackalou:您自个看看是什么人点亮全世界,0,2020-01-31 03:29
https://weibo.cn//u/6793474895,尤达宝宝sweetie针不戳,男,海外,405,211,83,回复@极世界崩塌89:Guys最近看新闻了嘛？广东那嘎有几例外籍非黄种人哦，可见病毒才不是看到你是不是黄种人才选你中招的哦(但源头确为武汉，这没办法，输入型),0,2020-01-30 21:20
https://weibo.cn//u/2780844067,秋姑娘_super,女,陕西,1168,830,527,@你不来我不老0705,0,2020-01-30 19:22
https://weibo.cn//u/1582090615,M00______,男,辽宁,1108,1142,204,回复@酥酥_ss:我去,0,2020-01-30 18:03
https://weibo.cn//u/1735425860,沉迷搞声的听雪,男,北京,21184,1557,376,回复@livewillyeeeeee:不是，23号凌晨3点的航班,0,2020-01-30 13:34
https://weibo.cn//u/5344657969,柠檬啵啵儿,女,内蒙古,1045,237,136,回复@-住在深海大菠萝里:真的有钱，全国跑，全世界跑,0,2020-01-30 11:50
https://weibo.cn//u/5344657969,柠檬啵啵儿,女,内蒙古,1045,237,136,回复@美白丸日本铂金美白针pola人胎素:武汉人是最大的病毒携带体，他们应该自觉隔离。如果理直气壮的到处走，怎么不针对他们。在国外，大家会说：这是中国人！,0,2020-01-30 11:48
https://weibo.cn//u/5344657969,柠檬啵啵儿,女,内蒙古,1045,237,136,回复@碎碎念的旋律:说的对。,0,2020-01-30 11:47
