评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5077855445,MlKESAY,女,北京,4071,224,364,我们这届真的太难了,17583,2020-01-27 19:46
https://weibo.cn//hsg66666,山谷问道,男,安徽,4561,61,3064,AI考场呼之欲出。。。。,11662,2020-01-27 19:47
https://weibo.cn//u/3968704537,凯蟹巨甜KarryCrab,女,山东,1392,131,87,高三狗现在真的好想回学校上学啊！,7379,2020-01-27 19:48
https://weibo.cn//u/7334783441,元气糖茜,女,四川,18,78,5,回复@MlKESAY:加油哦,0,2020-06-19 11:46
https://weibo.cn//u/5404172617,异地彩虹哈哈哈,男,北京,20,252,572,回复@郭嘉伟Jovi:说的好绝对鸭,0,2020-04-10 22:50
https://weibo.cn//u/5735031828,渡野rw,男,河南,167,101,158,回复@orgucvismdn:是的,0,2020-04-01 20:47
https://weibo.cn//u/6042978538,orgucvismdn,女,海外,988,965,1233,回复@渡野rw:哈，切屏都能看到？,0,2020-04-01 19:55
https://weibo.cn//u/5735031828,渡野rw,男,河南,167,101,158,回复@orgucvismdn:软件后台，能看到答了多久，什么时候开始什么时候结束，啥也不用拿，带个手机就好。还能看到有没有切屏，,0,2020-04-01 19:24
https://weibo.cn//u/6042978538,orgucvismdn,女,海外,988,965,1233,回复@渡野rw:请问这个是怎么抓的……为啥手机会抓到,0,2020-03-31 19:06
https://weibo.cn//u/2255855334,Hohinson,女,海外,194,341,1571,我就坐等北京升学率吧哈哈,1,2020-03-18 14:18
https://weibo.cn//u/5735031828,渡野rw,男,河南,167,101,158,回复@芝士排骨你爱不爱:云课堂智慧职教,0,2020-02-26 21:01
https://weibo.cn//u/1100405424,会一起看烟花吗,女,其他,237,361,142,回复@邶风南苑:请问你们是什么软件啊…我们也要开始这样了,0,2020-02-26 17:58
https://weibo.cn//u/3157918993,国安哈哈哈,男,北京,388,686,404,回复@薛友友ya:我也是高四党[加油],0,2020-02-15 10:22
https://weibo.cn//u/7257352011,人间甜豆吖,女,其他,12,126,64,那英语第二次考试呢 正常吗,0,2020-02-12 10:25
https://weibo.cn//u/6096282947,是桥本环保,女,其他,376,410,93,高三党真的要哭了,0,2020-02-11 23:08
https://weibo.cn//u/6855818075,charon__cy,女,海外,104,517,22,回复@软软卷-:呜呜呜，02，12月份的表示，还好当时小学上的晚，明年高考很可以,0,2020-02-08 21:07
https://weibo.cn//u/5471137511,最酷的冉子,女,山东,34,101,59,山东省考虑一下？,1,2020-02-08 19:07
https://weibo.cn//u/3675903021,求bgm的小姑娘,女,北京,4917,380,496,回复@凯蟹巨甜KarryCrab:我倒是不想回学校 但是效率低又懊恼,0,2020-02-07 20:58
https://weibo.cn//u/5998447201,御坂御坂12138,男,北京,31,271,89,高三的孩子日常生活:打游戏!打游戏!,1,2020-02-07 00:52
https://weibo.cn//u/6429996803,白一月一光,女,江苏,2,27,6,回复@山梗紫:别考了  让我们都过吧,0,2020-02-06 18:46
https://weibo.cn//u/6003566756,加心啊加薪,女,四川,156,305,46,回复@仔仔不是仔啊:私聊吧,0,2020-02-04 12:32
https://weibo.cn//u/6003566756,加心啊加薪,女,四川,156,305,46,回复@仔仔不是仔啊:对啊,0,2020-02-04 12:30
https://weibo.cn//u/2981442975,仔仔不是仔啊,男,其他,37,335,184,回复@加心啊加薪:延迟开学了吧,0,2020-02-04 12:02
https://weibo.cn//u/6003566756,加心啊加薪,女,四川,156,305,46,回复@仔仔不是仔啊:哈哈哈哈肝作业,0,2020-02-04 10:48
