评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5646525597,不要黄瓜番茄香菜,女,陕西,6307,522,1782,江苏省说的，十三个市还没说。,33482,2020-01-27 22:29
https://weibo.cn//808000812,半妖少年,男,浙江,5990,698,43331,江苏13市：我们自有安排,29268,2020-01-27 22:31
https://weibo.cn//u/5187934310,最好的我mem,女,其他,177,131,71,回复@词人王煜:大半夜就是怕太有效率对比一些,0,2020-10-22 10:15
https://weibo.cn//u/6476938381,青羽风韵,男,河北,115,148,12,【南京日报刊文：,0,2020-03-28 16:22
https://weibo.cn//weimz,阿拉路人甲,男,上海,2,506,11,不能胡子眉毛一把抓，应该分批次开学，因为所有人都没有经验，开学方案肯定有很多目前想不到的漏洞。实践出真知，应该摸着石头过河，分批次开学，高年级的先开，一个年级一个年级的慢慢开学，开学方案和应急预案经过实践检验确实可行之后，再让低年级的开学。,1,2020-03-26 17:56
https://weibo.cn//u/7079835263,祁染笙婴,女,其他,15,82,9,回复@来只椰子噜:初三的我一开始是2月7号开学,1,2020-03-13 20:00
https://weibo.cn//u/5217850355,诗予其,女,江苏,198,414,172,回复@Jassic婕:害,0,2020-03-09 23:00
https://weibo.cn//u/5241151684,是橙子la,女,江苏,182,380,126,回复@半妖少年:@诗予其,0,2020-03-09 22:26
https://weibo.cn//u/3603224550,cc羽痕,男,江苏,25,29,33,对于已经距离接触确诊患者48天了，且经过1个多月隔离后无任何不适症状，且期间无接触确诊或疑似病历的情况下，地方公安局仍天天骚扰要求本人安装手机定位进行监控汇报，严重影响了个人的正常生活，对本人产生了极大的精神压力，形成了社会舆论，请问怎么解决，能投诉么！！！,1,2020-03-09 21:38
https://weibo.cn//u/6539787669,耿耿yayai,女,海外,2,23,57,现在开学不怕外国的疫情再次传到中国吗,0,2020-03-09 09:30
