评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/2602091867,葱Lu,女,海南,38416,717,11412,每个人都是平凡无价的！,13404,2020-12-26 19:01
https://weibo.cn//u/6391108750,超绝卡哇伊口音,女,河南,5164,421,1479,再见，2020；你好，2021,9234,2020-12-26 19:02
https://weibo.cn//kaoyumi,烤玉米,女,天津,49676,402,1551,无价的2020再见,6744,2020-12-26 19:01
https://weibo.cn//u/6155683250,heyubot,男,其他,2066,237,1015,平安喜乐 顺顺利利,0,2020-12-27 17:56
https://weibo.cn//u/6444853062,小黑桃桑7,男,内蒙古,4874,317,2161,回复@THE9-许佳琪:宝贝也是要平安喜乐呀,0,2020-12-27 17:56
https://weibo.cn//u/7264581402,一直快乐的肥虾,女,甘肃,233,43,2,再见2020；你好2021。,0,2020-12-27 17:56
https://weibo.cn//u/2104456827,Kikiccbreathtaking,女,台湾,5728,1034,2394,回复@THE9-许佳琪:真好,0,2020-12-27 17:56
https://weibo.cn//u/6647098324,慕君年hjd,女,山东,35,64,7,2020心怀感慨，人长大了，要去远方奋斗，学业加油！为了自己爱的和爱自己的人。,0,2020-12-27 17:55
https://weibo.cn//u/5899675515,real_BAEKJIA,女,其他,5263,1012,1427,无价的2020再见啦,0,2020-12-27 17:55
https://weibo.cn//u/7393521718,琪迹Nelly,女,其他,1657,341,15,回复@THE9-许佳琪:宝贝,0,2020-12-27 17:55
https://weibo.cn//u/7493954304,狐蝶是小甜妹,女,海外,717,104,18,回复@THE9-许佳琪:,0,2020-12-27 17:55
https://weibo.cn//u/2774198802,古月7豆,女,福建,1448,172,133,2020又要过了,0,2020-12-27 17:55
https://weibo.cn//u/1351812822,励竹无居,男,江西,12935,256,1056,凛冬即过  生机翻涌,0,2020-12-27 17:54
https://weibo.cn//u/7401055883,北北的心上任06,女,湖南,198,252,24,无价的人生,0,2020-12-27 17:54
https://weibo.cn//u/5540085918,summer丶时光,男,上海,751,180,36,回复@万茜:好不好嘛 查看动图,0,2020-12-27 17:54
https://weibo.cn//u/7268144509,来杯奶茶安慰我,女,江苏,303,11,506,     举报             赞[0]         回复             3分钟前 来自网页,0,2020-12-27 17:54
https://weibo.cn//u/5086236790,喜欢跳远的南门初阳,女,河北,866,146,95,再见2020🙏,0,2020-12-27 17:53
https://weibo.cn//u/7507445430,敏姐的轩轩的微博,男,其他,196,162,50,2021你好！,0,2020-12-27 17:53
https://weibo.cn//u/5305885552,锦瑟无端cy,女,江苏,942,573,520,一起变得更好,0,2020-12-27 17:53
https://weibo.cn//u/6038144229,天下归心020,女,云南,696,265,45,回复@冬太为:可能只需要两天,0,2020-12-27 17:52
https://weibo.cn//u/3906347938,别叫我乖宝宝叫我萌宝宝,女,陕西,579,197,126,疫情在家时候，我妈说“看到那些女孩把头发剃光心里真难受”，说到这里就忍不住哭了，我问我妈如果我是医生你会让我去吗，我妈说那是你的职责所在，你一定会去的。2020年，对于每个人来说，都是不平凡的，这一年发生了太多事，对于每个人来说都是无价的。2020年即将过去，愿安好。2021，对我好点。,0,2020-12-27 17:52
https://weibo.cn//u/7222811870,有个甜甜梦,女,江苏,25,73,4,再见2020期待2021,0,2020-12-27 17:52
https://weibo.cn//u/5686977524,LYQ小胖熊,女,其他,4,165,45,再见，无价的2020！,0,2020-12-27 17:52
https://weibo.cn//u/6920053517,尼古拉斯丶库里,女,其他,557,101,24,2020,0,2020-12-27 17:51
https://weibo.cn//u/5670992576,二月春春V,女,其他,1252,715,143,"再见2020,",0,2020-12-27 17:51
https://weibo.cn//u/5625796732,河北鲁素,女,河北,155,21,43,让自己无价[加油],0,2020-12-27 17:51
https://weibo.cn//u/5669782056,6芝奶盐,女,福建,307,299,1039,     举报             赞[0]         回复             6分钟前 来自网页,0,2020-12-27 17:51
https://weibo.cn//u/6329202939,_是一个无敌可爱的小号,女,其他,1336,95,2,顺顺利利健健康康,0,2020-12-27 17:51
https://weibo.cn//u/5149386981,-AngelinaSignorina,男,北京,3344,45,58,回复@一丈红人123:张小三的鸡粪好喜欢到处蹦哒,1,2020-12-27 17:52
https://weibo.cn//u/7298267979,花时乀,女,安徽,47,89,3,回复@angelababy:2021一直顺利,0,2020-12-27 17:51
https://weibo.cn//u/5938154874,初LTAX,女,其他,30,173,15,回复@angelababy:开开心心捞你,0,2020-12-27 17:51
https://weibo.cn//u/5938154874,初LTAX,女,其他,30,173,15,回复@angelababy:开开心心,0,2020-12-27 17:50
https://weibo.cn//u/2699324600,橙子味的小secret,女,浙江,2458,576,1007,再见2020，你好2021,0,2020-12-27 17:50
https://weibo.cn//u/2699324600,橙子味的小secret,女,浙江,2458,576,1007,再见2020，你好2021,0,2020-12-27 17:50
https://weibo.cn//u/5149386981,-AngelinaSignorina,男,北京,3344,45,58,回复@Jimmyhey:马上2021年了还这么没素质喊黑称？,1,2020-12-27 17:50
https://weibo.cn//u/1266569373,苍山亦望舒,女,江苏,688,381,219,即将告别，平凡又起伏的2020,0,2020-12-27 17:50
https://weibo.cn//u/1969056153,婺抚镜中花,女,浙江,4499,1457,422,时间 无价 无法逆转的 都是无价的,0,2020-12-27 17:49
https://weibo.cn//u/5232995995,林莹yng,女,海外,2927,390,576,回复@THE9-许佳琪:平安健康,0,2020-12-27 17:49
https://weibo.cn//u/6384262766,FREDOM痴,女,江苏,334,187,86,无价的“假期”,0,2020-12-27 17:49
https://weibo.cn//u/6233533265,LAN-P-P,女,湖南,28,313,38,无价的2020再见,0,2020-12-27 17:49
https://weibo.cn//u/3432725020,汀茹凉,女,广东,2066,103,59,转发微博,0,2020-12-27 17:49
https://weibo.cn//u/7501193839,周勤让,男,其他,63,113,1,2021平平安安健健康康，开开心心顺顺利利每一天,0,2020-12-27 17:49
https://weibo.cn//u/5149386981,-AngelinaSignorina,男,北京,3344,45,58,回复@快乐自在邱:重要的不是演讲 是文案传递的无价精神,0,2020-12-27 17:48
