微博id,发布者昵称,发布者性别,发布者地区,发布者关注数,发布者粉丝数,微博正文,发布时间,点赞数,转发数,评论数
ItwJU637H,无悔无花,男,上海,502,165,无悔无花:我刚刚关注了肺炎患者求助超话，抗击肺炎疫情，我们在一起，共同关注→肺炎患者求助  ,2020-02-10 10:59,0,0,0
ItwJS5xnE,厦门广电,男,福建,211,73803,厦门广电:【刚刚！厦门第3例治愈患者出院！】详情→刚刚！厦门第3例治愈患者出院！  原图 ,2020-02-10 10:59,5,1,0
ItwJRccwF,半个空格_,女,其他,161,10,半个空格_:武汉雷神山医院接收首批新冠肺炎确诊患者 http://t.cn/A6PF5IwO  原图 ,2020-02-10 10:59,0,0,0
ItwJQAxKo,平安武清,男,天津,208,281177,"平安武清:#武清# 武清区新冠病例行动轨迹公布，寻找密切接触者！天津市第88例患者，男，42岁，居住于天津市武清区，为第70例患者的密切接触者,1月29日9:23到达武清区人民医院就诊。确诊病例路径：1月29日9:23进入门诊大厅挂号9:29到达呼吸内科诊室9:31出门诊大厅前往发热门诊9:37到达发热门诊大厅，候诊约1个半小时11:00发热门诊血液检查11:08发热门诊胸片检查11:10发热门诊开具住院证明11:44途经职工停车场进入急诊大厅11:48乘急诊电梯到达全科医学科12:20出病房前往CT一室12:21进入急诊CT一室12:31走出急诊CT一室12:36经急诊楼梯返回病房1月30日8:30出病房经楼梯前往B超室8:37进入B超室8:43走出B超室8:46到达门诊大厅北部彩超室候诊9:16进入门诊大厅北部彩超室9:21走出门诊大厅北部彩超室9:23经门诊大厅西侧楼梯返回病房2月1日8:14出病房前往CT一室候诊8:21进入急诊CT一室8:24走出急诊CT一室8:25经急诊楼梯返回病房2月2日13:58出病房前往CT一室14:00进入急诊CT一室14:02走出急诊CT一室14:03经急诊楼梯返回病房2月3日　13:15走出全科医学科　13:18经二楼检验大厅乘电梯进入呼吸内科病房根据《中华人民共和国传染病防治法》有关规定，现紧急寻找患者在以上就诊时段的密切接触者，请相关人员采取如下防控措施：1、密切接触者看到此通告后，不要外出走动，且第一时间拨打区疾控中心值班电话登记备案，接受专业人员的流行病学调查，指导防控。2、居家隔离期间如有发热、乏力、干咳等症状，请立即拨打区防控工作指挥部电话，听从专业人员安排，等待专用车辆接诊到指定医院发热门诊就诊。严禁私自到其他医疗机构就诊，严禁私自乘坐公共交通工具。武清区疾控中心值班咨询电话:022-29341124武清区新型冠状病毒感染的肺炎防控工作指挥部2020年2月9日 原图 ",2020-02-10 10:59,13,1,4
ItwJNkCKK,汕头发布,男,广东,25,43418,汕头发布:【汕头市中心医院又迎来一例新冠肺炎确诊患者治愈出院！】2月10日上午10点半，经汕头市中心医院医护人员精心诊治和护理，又1名新冠肺炎确诊患者治愈出院。目前市中心医院已累计出院新冠肺炎确诊患者4例！这名翁姓小患者今年14岁，为汕头市确诊的第5例新冠肺炎患者。家住潮南区，与家人长住武汉，1月22日搭乘高铁到汕头潮南，25日发病入院。入院后，医院为其进行了抗病毒、清热抗炎、调节免疫、调节肠道菌群及对症支持处理，患者病情逐渐好转。2月8日、9日病毒核酸检测呈阴性，符合国家卫健委《关于新型冠状病毒感染的肺炎诊疗方案（试行第五版）》出院标准，2月10日正式治愈出院。 ,2020-02-10 10:59,16,1,0
ItwJLywC2,国土融媒,男,北京,974,434170,国土融媒:#新冠肺炎最新动态# 【西藏连续11天无新增病例 确诊患者的密切接触者已全部解除医学观察】西藏自治区卫健委今天上午发布新型冠状病毒感染的肺炎疫情情况：截至2月9日24时，西藏累计报告新型冠状病毒感染的肺炎确诊病例1例，重症病例0例，死亡病例0例，出院病例0例。目前，这名来自武汉的张姓患者生命体征平稳，其密切接触者已于2月8日全部解除医学观察。因此，西藏自治区已经连续11天没有新增确诊病例或疑似病例报告。（人民日报）http://t.cn/A6hPjY0w 原图 ,2020-02-10 10:59,0,0,0
ItwJKEBO3,乐龄1056,男,河南,333,28421,乐龄1056:#新冠肺炎最新动态#【好消息！#西藏连续11天无新增病例#】截至2月9日24时，西藏累计报告新型冠状病毒感染的肺炎确诊病例1例，重症病例0例，死亡病例0例，出院病例0例。目前，这名来自武汉的张姓患者生命体征平稳，其密切接触者已于2月8日全部解除医学观察。因此，西藏自治区已经连续11天没有新增确诊病例或疑似病例报告。据国家卫生健康委员会官方网站今天上午通报，2月9日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告，新增确诊病例3062例（湖北2618例），新增重症病例296例（湖北258例），新增死亡病例97例（湖北91例，安徽2例，黑龙江、江西、海南、甘肃各1例），新增疑似病例4008例（湖北2272例）。http://t.cn/A6hPjY0w 原图 ,2020-02-10 10:59,0,0,0
ItwJK5Upl,长生天恩赐,男,内蒙古,931,2219,长生天恩赐:【这是把亲友变成病友】患者姚某从外地回家后组织了2次家庭聚餐，与其聚餐的亲友中，有2人住院治疗、6人集中隔离医学观察、10人居家隔离。 呼和浩特  显示地图 原图 ,2020-02-10 10:59,0,0,0
ItwJJtAAX,miss070412,男,其他,1,1,miss070412:痉挛性截瘫是截瘫里最常见的情况，它是由于脊髓损伤以后，上中枢的脊髓椎体束没有恢复，特别是下肢的内收肌出现痉挛，导致患者两条腿像剪刀一样的向内痉挛，患者不能够张开腿。 这一类痉挛性的截瘫的患者即使有步行的能力，他会出现剪刀步，步行也十分的困难。 痉挛性截瘫在中医属于“痿症”，痿症就得用复瘫饮疗法治疗 痿症的西医治疗常用激素、免疫制剂以及各种神经营养因子等，其疗效也没有明显变化，且毒副作用大，目前西医治疗痿症尚无特殊有效的针对性手段及药物。 中医认为痿症与肾的关系最为密切，肾为先天之本，主藏精、主骨生髓先天禀赋不足，精亏血少不能营养肌肉筋骨，就会出现肌肉无力、萎缩。 同时，脾为后天之本，化生气血，营养五脏六腑、肌肉筋骨，且脾主肌肉，脾胃虚弱，气血生化不足，导致痿症出现等。 治疗方案因以以脾、肾为根本与西药相比较，复瘫饮治疗痉挛性截瘫有着其自身的明显优势，这一点已被广大患者广泛认可和接受。 ,2020-02-10 10:59,0,0,0
ItwJI2Hbi,两江交汇,男,湖北,257,44612,两江交汇:【志愿者送“90后”医护人员就医， 深受感动向患者夫妻背影鞠躬致敬】9日，听说一周前护送过的确诊病人、医务工作者吴女士已于8日康复出院，江汉区汉兴街公共管理志愿者梁爽长舒了一口气。 2日下午4时许，梁爽接到街道“派单”：家住万科城的“90后”医护人员吴女士被确诊感染新型冠状病毒，急需送往医院救治。梁爽没有丝毫犹豫，不顾窗外正风雨大作，立马穿上防护服，开上自己的私家车就出发了。出门前，他还先打了个电话，叮嘱吴女士多穿点，别着凉。 一路疾驰赶往万科城接上吴女士和陪诊的丈夫，梁爽立马驱车向武汉市红十字会医院驶去。下车时，梁爽看着比自己还小的年轻夫妻，一阵酸楚涌上心头，忍不住安慰吴女士道：“不要怕，你还年轻，好好配合医生治疗，一定能早日康复。”这时，吴女士却反过来安慰他：“我们是医护人员，我们不怕，倒是你，护送病人时也要保护好自己啊。” 梁爽的内心被震撼了——这对年轻夫妻不顾自身安危，奋战在抗疫一线，是多么值得敬佩！望着夫妻俩离去的背影，梁爽悄悄按下了拍照键，并对着背影默默鞠了一躬。“也许他们并没看到，但我只想用这种方式，表达我对他们及所有‘白衣天使’的敬意。” 今年35岁的梁爽来自江苏，是电建地产•南国置业公司员工、汉兴街辖区单位泛悦mall•北都店副总经理。疫情发生后，他第一时间退掉返乡车票，部署做好商场内超市、药店等点位的物资保障工作，并主动请缨，加入到了街道保障服务的行列中来，和其他3位志愿者一道，负责护送疑似或确诊病人到医院救治。1月29日起，梁爽开着自己的私家车，风雨无阻地穿梭在街道16个社区、2个医疗中心及武汉市大大小小的医院之间，至今已运送病人百余人。 在运送病人的空隙，梁爽还利用自己的人脉资源多方筹集物资，为有需要的地方送去。听说武汉市第四医院医护物资紧缺，梁爽连续几晚几乎没睡，四处张罗物资。2月1日晚，他将筹集到的酒精、防护服、口罩、护目镜等物资，亲手交给了该院耳鼻喉科工作人员。“东西虽然不多，但也是我们普通市民的一点心意，希望让医护人员知道，战斗在前线的他们并不孤独。”梁爽说。 2016年定居武汉的梁爽常常笑称自己是“新武汉人”。在汉兴街志愿者名册上庄严签下名字的当天，梁爽在朋友圈写下了这样一句话：武汉是个英雄城市，守望相助，这座城市一定可以很快恢复。（来源：长江日报-长江网） [组图共4张] 原图 ,2020-02-10 10:59,1,1,0
