微博id,发布者昵称,发布者性别,发布者地区,发布者关注数,发布者粉丝数,微博正文,发布时间,点赞数,转发数,评论数
IxVrtqnvk,连江新闻网,男,福建,170,158,连江新闻网:【最新：福州市民可以预约看牙了！】福州近800万市民可以看牙了疫情当下，市民看牙需求凸显，全国口腔门诊基本未开诊，牙痛牙肿牙龈炎等无从解决。看牙难，是广大市民的心声！3月9日，首家获准开诊口腔医院正式开诊3月6日，福州市卫健委等相关主管部门正式开展福州地区医疗机构安全诊疗评估工作，美可普口腔医院首家通过安全诊疗复工验收，并定于3.9日正式开诊！http://t.cn/A6zZBWPv ,2020/3/10 9:14,0,0,0
IxVrqsFYr,伊金霍洛交警,男,内蒙古,744,11588,伊金霍洛交警:内蒙古组织21.1万名农牧民工安全有序返岗复工￼日前，内蒙古自治区人社厅全力抓好做实农牧民工返岗复工“点对点”服务保障工作，截至3月5日，通过对农牧民工提供“点对点”服务保障，组织全区返岗复工农牧民工21.1万人，其中：跨省返岗7.8万人，跨盟市返岗6.6万人，跨旗县返岗6.7万人。据悉，为保障农牧民工安全有序返岗复工，内蒙古日前印发了《关于加强疫情期间企业复工复产农牧民工管理工作的通知》，制定了准确掌握农牧民工流动情况、加强分类管理、强化返城返岗服务保障协同等九个方面23条措施。同时，自治区人力资源社会保障厅会同公安、交通运输、卫生健康、铁路等部门制定《农牧民工返岗复工“点对点”服务保障工作实施方案》，明确了摸清出行需求、加强工作对接、做好出行前准备、组织返岗运输、做好抵达地交接、强化上岗防护保障、开展点对点线上服务等7项具体措施，为确保农牧民工安全有序返城返岗提供有力保障。内蒙古建立了人社、公安、交通运输、卫生健康、铁路五部门“点对点”服务协作机制，明确各部门职责分工，形成各司其职、各负其责、协同推进的工作格局。内蒙古还建立了自治区人社厅负责跨省、盟市人力资源社会保障部门负责区内跨盟市的用工服务分级对接机制。目前，自治区本级已向北京、浙江、黑龙江、山东、广东等13个省区市人力资源社会保障部门发函，建立了省际沟通协作机制，同时与哈尔滨铁路局、沈阳铁路局、呼和浩特铁路局、华夏航空公司建立了联系。目前，包头市、兴安盟、通辽市等7个盟市组织跨省、跨盟市、跨旗县专车（包厢）179次，运输农牧民工返岗0.34万人。此外，内蒙古建立了农牧民工返城返岗复工情况旬调度制度和“点对点”用工对接服务日调度制度，要求各盟市组建工作专班，及时了解掌握进展情况，提供精准有效服务，协调解决工作中遇到的困难和问题。内蒙古各级人力资源社会保障部门还将通过国家农牧民工返岗复工“点对点”用工对接服务平台、基层劳动保障服务平台、人力资源公共服务机构、人力资源服务网络平台和嘎查村劳动保障协理员收集和分类汇总拟返岗的农牧民工出行人数、时间、地点、用人单位等信息，形成出行需求清单，并及时提供当地卫生健康、交通运输和铁路部门。内蒙古人社厅还要求做细三个服务。一是行前服务，人力资源社会保障部门配合卫生健康部门做好农牧民工的疫情防护教育和行前体温检测、出具健康证明等工作。配合交通运输和铁路部门针对成规模、成批次、目的地集中的出行农牧民工，按照“一车一方案”的原则，制定“点对点”直达运输方案。二是途中服务，对开行火车专列或安排外出农牧民工包车、包车厢运输的，人力资源社会保障部门派专人同车护送，协助做好运输组织和途中检测消毒、落实隔位分散就座等防控措施，并做好抵达后协调服务等工作。三是抵达服务，输入地人力资源社会保障部门派专人负责做好农牧民工交接工作，及时对接有关用工企业，派专人专车将农牧民工接送到企业。并指导用工企业为返岗复工的农牧民工逐人建立个人健康档案，提供卫生和隔离场所，随访健康状况，确保达到防疫要求、体温测量正常后，尽快复岗复工。同时，开展环境卫生整治和重点场所消毒，为职工配发口罩等防护用品，做好员工健康状况监测。 ,2020/3/10 9:14,0,0,0
IxVrloJhs,biabiaaa-,女,海南,218,979,biabiaaa-:记3.9复工的第一天天气很好甚至有点燥热，但是下班骑着小电驴回家吹着椰风就很舒服，相比上班车上多了一个办公室发的大西瓜🍉  原图 ,2020/3/10 9:14,1,0,8
IxVratS5P,潍坊礼遇嫁衣婚纱礼服馆,男,山东,153,10450,潍坊礼遇嫁衣婚纱礼服馆:2020，正在一点一点变好呀街道上日渐熙攘生活的仪式感一点一点恢复🌿女神月连着春日悄然降临，空气中弥漫着糖果🍬般的芬芳无数繁华缤纷从天而降在这3月芬香的天气里，礼遇嫁衣复工在即。精美的礼服、贴心的服务，只为让每一位女孩都能成为自己的女神，成为梦想中的自己期待推开礼遇的门，进入一个崭新的女神👸世界：性价比超高 制作精致的礼服在等着你们。女神节，我们准备好了，等待着每一位女孩👧遇见女神节，遇见爱的春天，就让礼遇和爱情一起住进你的心里吧💓#礼遇嫁衣# #潍坊婚纱# #潍坊跟妆#  #潍坊礼服# [组图共9张] 原图 ,2020/3/10 9:13,1,0,0
IxVr2vaw6,龙江市场监督管理,男,黑龙江,242,1750,龙江市场监督管理:黑龙江富裕县：市监干部齐联动精准计量保民生 为全力保障企业复工复产，黑龙江省齐齐哈尔市富裕县市场监督管理局一手抓疫情防控，一手抓发展服务，做到两手抓、两不误，为企业提供精准计量服务。富裕县市监局在复工复产服务中，了解到益海嘉里（富裕）生物科技有限公司即将复工，大量收购粮食，为保障农民的利益及招商引资企业的信誉，富裕县市监局党组决定，复工前对其使用的150吨汽车衡再次进行校准，提供计量技术支撑。2020年3月6日，富裕县市监局副局长赵延彬，联系了市质量技术监督检验检测中心主任张涛说明情况，得到了大力支持。张涛主任立即启动了检衡车，并派大型衡器站的高级工程师刘聪现场给予指导。 疫情阻断了出行的脚步，却阻断不了服务企业的决心第二天早上7点，市、县两级的工作人员分别从市、县两地里出发，在益海嘉里汇合。当市质检中心的检衡车缓缓驾入益海嘉里的院内，益海嘉里的工作人员竖起了大拇指，对服务企业的效率和态度表示称赞。高级工程师刘聪和富裕县所的检定人员严格按照检定规程对其进行了偏载测试(四角校准)，校准工作反复而枯燥，但是他们以细心、耐心、用心的工作态度，历时五个小时，顺利完成检定工作。为了不间断的进行检定，市监局的工作人员放弃休息、忘记了吃饭、战斗在一线，用行动践行了市场监管人的使命和担当。富裕县内的企业逐步复工，在防疫防控总体战、攻坚战的关键点，富裕县市监局将继续把工作做实做细，为企业的复工复产保驾护航。 [组图共2张] 原图 ,2020/3/10 9:13,0,0,0
IxVqArOdE,沃实,男,上海,318,324509,沃实:在疫情的刺激下外围市场消极情绪不断扩散，我们A股市场短期也有所波及，但是有个区别美股是向下趋势中的下跌，我们A股市是反弹中的回调。咱们国家对疫情有效控制下降是目前做的最好的，再加上我们国内陆续复工三月份预期不会差，我们已经过了最糟糕的时候预期是向好的。我们的市场这一轮在全球来看短期也会跟着波动，但中期反弹表现一定是最好的。 ,2020/3/10 9:12,564,44,207
IxVqufJ8p,追剧很有料,女,福建,812,4403214,追剧很有料:杨紫现身机场准备复工，网友：这腿有点粗  [组图共3张] 原图 ,2020/3/10 9:12,459,123,137
IxVo2AUsi,洞头发布,男,浙江,430,38371,洞头发布:【春雾笼罩！本周弱冷空气、降水齐来临，注意防寒保暖！】又到了周一了，大部分小伙伴已经复工，但是小布提醒大家，出门一定带好口罩。       今天早上7点，区气象站发布大雾橙色预警，洞头岛屿及附近海域出现大雾天气，多出地区出现了能见度不足200米的大雾。受其影响，道路、海域能见度低，市民出行受到影响。　　据区气象部门消息，惊蛰期间，南方暖湿空气进一步增强。此次大雾天气将持续至今天夜里，后半夜受大风影响，大雾将逐渐散去。接下来两天，受弱冷空气影响，沿海海面有7-9级大风天气过程。后续受西南暖湿气流影响，将有几天明显的降水过程。       在此，提醒广大市民朋友，近期气温变化较大，要注意防寒保暖，要预防感冒生病，加强自身防护。http://t.cn/A6zZug8p [组图共2张] 原图 ,2020/3/10 9:06,0,0,0
IxVmz0SS3,清新雨城,女,四川,514,2516,清新雨城:【战疫 | 雨城区运管所执法人员：车站客流量回升 把好交通进出口关】“目前，城区西门车站每天的客流量达到了上千人，疫情防控不容松懈。”连日来，雨城区运管所执法人员都值守在市区两个车站的进出站口，为乘客们登记信息、测量体温。从春节至今，他们都坚守在新冠肺炎疫情防控一线，希望能为雅安人民守好交通关口。雨城区运管所执法人员在雅安汽车客运站下客点值守车站客流回升 坚持值守不松劲“你好，请登记一下个人信息。”雨城区运管所执法人员李天纵一早来到市区西门车站进站口体温监测点值守，每当有乘客进入车站时，他们就主动提醒乘客登记姓名、手机号码等个人信息，体温监测无异常后才能进入车站售票大厅。“经过各部门前期努力，我市疫情防控呈现出向好的态势，但随着复工复产企业增多，目前车站车流量有所回升。”李天纵表示，就拿西门车站来说，一天到站的乘客有300多人，出站的乘客有700多人。雅安汽车客运站当日出站乘客300多人，到站乘客400多人。而在疫情防控形势最严峻的时期，市区两个车站的客流量加起来只有200人左右。面对客流量回升，车站等客运节点疫情防控工作绝不能松劲！这是每一位坚守在“疫”线执法人员的共识。为此，每个体温监测点的执法人员都从8点值守到18点。中午都是轮流吃饭，以此确保体温监测点有人值守。同时，执法人员也提醒广大市民，乘坐公共交通工具一定要佩戴口罩，严格做好自身防护。“家里没人准备午饭的时候我们都在检测点吃泡面。”李天纵说，自己是一名党员，关键时刻就应该发挥党员的先锋模范作用。尽管一个多月以来，他陪伴家人的时间很少，但他相信，打赢疫情防控阻击战后，一定会有更多时间弥补对家人的亏欠。加强巡查 做好疫情防控雨城区运管所相关负责人表示，他们在市区两个车站都设立了发热人员临时隔离室，一旦检测到发热乘客，就会送到临时隔离室进一步了解情况。“农客发车点上，针对没带身份证的村民，信息登记表上一定要详细登记住在哪个村哪个组，并留电话号码，以便后续追踪。”连日来，雨城区运管处执法人员通过打电话或者现场检查的形式，对市区西门车站、雅安汽车客运站，以及农客发车点的疫情防控情况开展检查，了解车站和农客车辆运营企业是否按照要求登记乘客信息，是否每天对车站、班车严格消毒。在车站人手不够的情况下，执法人员随时顶岗协助开展各项工作。除了在交通节点做好疫情防控，雨城区运管所还积极协助联包帮大院做好疫情防控。雨城区运管所协管员兰宇在平安路45、47号大院已经值守了一个月。每当有居民进入大院，她都会登记居民个人信息。在值守中，他们排查到一名市外返雅人员，并通知社区，让该市民和家人在家隔离了14天。“在社区工作人员有限的情况下，我们一直都在协助联包帮大院开展疫情防控工作，弥补了无物管小区的防控缺失。”雨城区运管所相关负责人表示。（来源：雅安日报/北纬网）@雅安同城 @川报雅安 原图 ,2020/3/10 9:02,0,0,0
IxVmjEsDN,白银区检察院,男,甘肃,1596,4919,白银区检察院:【#快递小哥出席国务院发布会#】今天下午， 国务院联防联控机制召开新闻发布会，介绍邮政快递业服务疫情防控和复工复产有关情况。与以往不同，今天的发布会上出现了一位快递小哥，他是中通快递北京厂洼路网点快递员李杰。他表示，自己从事中通快递11年，面对这么大的疫情，每一个人都要出一份力量。“我们最朴素的想法就是我们多跑路、让客户少出门，做好自己的防疫工作等于是给国家做了一些贡献。http://t.cn/A6zhDm3P http://t.cn/A6zhDm3P ,2020/3/10 9:01,9,1,17
