微博id,发布者昵称,发布者性别,发布者地区,发布者关注数,发布者粉丝数,微博正文,原始图片url,发布时间,发布工具,点赞数,转发数,评论数,发布位置
It0wG61j4,思team,女,四川,117,53,思team:最近的生活节奏吃饭 睡觉 麻将 哈鸡 吵架 和好 然后循环  原本以为疫情几天就过去了 直到被通知失业 大门不出 口罩千金难求 外地的朋友困在这里保命 这个年像是刚开始  旁边的这个小伙子依旧睡的很香  不知道什么时候会结束 希望结束的那天到处都是晴天 ☀️ 周年快乐 明天过年就陪我爸妈吧@王王王王王王先生i  爱你 ,无,2020-02-07 00:59,iPhone客户端,0,0,0,无
It0ww4nHU,lU瀟逸,女,北京,273,2655,lU瀟逸:被疫情影响的半个月 我跟昊哥相隔两地，他成功的过上了美国时间 而我依然作息规律，用我妈的话说我们谈恋爱的时间也只有晚上了… 但我们互相规定每天睡前必须视频。他玩儿的游戏我搞不懂 我玩儿的东西他总说幼稚 他费劲巴拉的想找一个能跟我一起玩儿的东西 找来找去我还是觉得什么换装 答题这些比较适合我…。他打游戏的时间我不会干涉 但他怕我无聊所以会有一句没一句的跟我在微信互动。每天的饭菜零食我会一一拍照给他得瑟，憋了好多天终于吃上了火锅 把他给馋的差点儿拉黑我哈哈（他今天也吃火锅报复了我一次）。还有 爸妈每天换着花样做好吃的 偶尔喝顿大酒 仨人互相灌… 吃饱了挪窝儿接着打牌，这个年很踏实够满足。最后，跟昊哥在一起六年他总说好像还在热恋期，以前我老说他侨情  但上个月的事故让我再次明白了他有多重要！大概以后我也会变得很矫情了 昊哥接好！ 原图 ,无,2020-02-07 00:59,iPhone客户端,10,0,2,无
It0sfjT7j,二条无敌喔,女,海外,4,26,二条无敌喔:#疫情过后你最想做什么##疫情过后你最想见的人# -这世界是光明的与“再见”一样都是一句客套话  原图 ,无,2020-02-07 00:48,上山打老虎Android,0,0,0,无
It0qEjJKy,超爱你的喵咪,女,四川,316,12,超爱你的喵咪:绝了我看成  误以为 我先和她去试水看看好吃不我整个人：？？疫情结束后为什么不第一时间见我（。我，憨批  原图 ,无,2020-02-07 00:44,iPhone 8,0,0,0,无
It0pQ3e5n,浪野独生,女,北京,171,252,浪野独生:#等到疫情结束的那一天# 重新做个好人。 不，做一个坏女人。  ,无,2020-02-07 00:42,无,1,0,0,无
It0pt4gZs,-讲道理我最可爱xx,女,其他,79,17,-讲道理我最可爱xx:下班打卡疫情快快结束吧每天都在等着好消息  ,无,2020-02-07 00:41,iPhone客户端,1,0,0,无
It0l3FA6z,胖小倩,女,陕西,448,749,胖小倩:我们内心急切的希望春暖花开后，疫情散去，阴霾散去，然而，到那时已经失去的人们不会回来，又增加多少破碎的家庭。时间会让一切被淡忘，人们恢复本性，忘记教训，周而复始，我们离更好的世界还差的远！  ,无,2020-02-07 00:30,iPhone客户端,0,0,0,无
It0hroedl,Tuobaba君,女,江苏,309,415,Tuobaba君:−.− 无聊到闺蜜春秋睡衣安排起来～get✅🐷🐰在家包子饺子造起来！（红糖馒头忘了拍）还是更爱吃红糖馒头 饺子好不好吃完全看酱料系列～😋一天天的范围：床上蹲完客厅蹲客厅蹲完厨房蹲厨房蹲完床上蹲 总之就是家里蹲蹲蹲蹲蹲～−.− 疫情结束之后 第一时间奔向你🉑️💕♉️  [组图共6张] 原图 ,无,2020-02-07 00:21,iPhone客户端,4,0,5,无
It0fCdFZE,小朋友家的猫,女,广东,239,297,小朋友家的猫:新型冠状病毒这场战斗何时才能结束？我和自己的这场战斗又何时才能结束？#等到疫情结束的那一天#  ,无,2020-02-07 00:17,iPhone客户端,3,0,0,无
It0ej0sNb,Yee只小鹿,女,甘肃,184,282,Yee只小鹿:虽然疫情总会过去 但那些没了亲人的人 被抛弃的宠物 破产的企业...失去的东西也许永远都无法挽回  ,无,2020-02-07 00:14,vivo AI智慧拍照X21,4,0,0,无
It0cs3Dez,风间璇玑,女,重庆,250,883,风间璇玑:整整一天工作到9点半，头痛欲裂的感觉有点像醉酒。我不想再加班了，不想再做关于疫情的选题，不想再写相关的稿件了。我不想看，不忍看，却必须看，每天看。生活的重点只有前线、疫情、疫情、前线。我想沉沉睡去，不要叫醒我。  ,无,2020-02-07 00:09,无,0,0,0,无
It0bZldxm,旅行指南家,男,青海,480,2096534,旅行指南家:今日【立春】，春的开始，美好的开始。疫情期间，呼吁大家戴口罩少出门勤洗手，宅在家的日子里，也是自我充电和自我优化的黄金时间，这期#beauty小姐#我们邀请到了娜比和我们一起分享她的美丽秘籍，助你get到安全零负担的好物（这期测评是粉饼&散粉），借此机会练好你的技能，出门再见，我已是更好的   http://t.cn/A6P1jHfw ,无,2020-02-07 00:08,微博视频,9,0,0,无
