微博id,发布者昵称,发布者性别,发布者地区,发布者关注数,发布者粉丝数,微博正文,发布时间,点赞数,转发数,评论数
IBwGFdQzZ,elrxsie,女,海外,96,871,elrxsie:想去Covent garden 买杯咖啡坐在店里发呆一下午想再去LandmarkHotel跟朋友一起喝下午茶想去SouthKensington再滑一次露天滑冰想跟一群朋友再去bath泡温泉想跟朋友一起逛展..........翻了翻相册美好的回忆太多了希望疫情赶快过去吧 英国·伦敦  显示地图 [组图共10张] 原图 ,2020-04-03 01:34,7,0,3
IBwAE1dwB,酱紫咩ye,女,福建,122,129,酱紫咩ye:这几天刷微博看热搜，真的是让我大跌眼镜，疫情把一些国家最真实的一面给揭开了，这些面目要多丑陋有多丑陋。对比其他国家，我们国家在疫情控制方面是真的给力，并且群众也极力配合，我国在控制疫情的同时还公正透明的公开数据，提醒其他国家做好防范措施，但这并没有起到什么作用，他们仅仅是在隔岸观火，甚至幸灾乐祸。以为这种事情不会轮到他们头上，然而事与愿违，疫情传播速度很快，随后就出现了大流行，一些西方国家还是没有行动起来并且还耍起了酒疯，一度甩锅给中国，栽赃嫁祸，恶意抹黑，无所不用其极，等到疫情控制不住了就请求中国帮忙，在寻求帮助的时候还两面三刀，继续甩锅抹黑，这些恶心人的行为让我见识到了什么叫厚颜无耻之人。这次疫情反观一下美国等一些国家，政府和人民也属实是烂泥扶不上墙，就算我们国家派遣去了专家还提供了呼吸机，口罩等医疗物资，他们自己不配合，政府不作为，人民不重视，不居家隔离，该聚聚该玩玩，这种国家我们是帮不过来的也不必去帮，帮了他们还反过来咬你一口，这就是真实的农夫与蛇的故事，蛇是冷血动物，永远捂不热的。真的是气死个人。 ,2020-04-03 01:19,1,0,0
IBwAcgxel,商业算法,男,浙江,1284,232482,商业算法:人类历史的诞生，有两种东西加速了这个过程：第一种是战争，第二种就是瘟疫。这次疫情必将深刻改变世界的格局：1、全球商业秩序的转移：这次疫情已经导致数十个发达国家开始封国，全球民众闭门不出，因此很多商务活动都将往线上转移，电商和物流将迅速发展，中国的互联网/电子商务/移动支付/物流快递等行业，本来就已经领先全球，云办公、云教育、云签约也已经高度普及，这次必将给其它各国提供展现的商业模板，新的商业操作系统正在形成，并且迅速普及。2 、全球经济重心的转移：从以资本为重心转移到以消费大数据为重心，谁掌握了消费者信任，谁就掌握了经济的主导权。3、全球贸易结构的重组：这次疫情后彻底打乱了美国主导的全球化贸易结构，具体来说就是美国的品牌和设计、日韩的元器件、中国的装配、资源国的原材料和能源，销往全球。这次疫情，中国开始向全球供应医疗物资，借此机会，新的贸易结构正在形成，中国开始组建新的供应链，构建新的贸易结构。4、全球组织机构的重组：这次疫情让我们看到了独立性的重要，也看到了协作的重要，因此每个人/企业/国家的独立性将大大加强，未来每个人必须的独立的个体，但与此同时彼此之间的协作性也大大加强，这是一种先裂变后聚变的过程，这离不开互联网和区块链的支持，这就是一场伟大的组织革命。5、全球发展战略的转移：美国主导的发展战略是“主角性”的思维，是自己搭台自己唱戏，别人只能站着看戏。中国的引领的战略是“平台化”的思维，大家一起搭台一起唱戏，这是一种开放性的战略，也是大势所趋。中国将成为全球的“战略大脑”，统筹新一轮全球贸易结构，加速分工细化，提升协作效率。不断的向世界输出自己的新人才/新技术/新模式/新系统。中国给世界的贡献将不再只是产品，而是能深刻影响人类、世界发展的文明系统。6、全球化重心的转移：从以美国为中心转移到以中国为中心，中国的制度将成为新制度的样板。7、全球权力中心的转移：从以强权者手里转移到大众最信任的人手里，得民心者的天下将成为最普世的价值。8、全球文明重心的转移：这次疫情东方各国（中国/日本/韩国等）的控制疫情效果明显大于西方欧美各国，究其本质，这是一次东方文明的胜利。西方文明，是起源于海洋，充满了开拓、竞争和扩张意识。西方通过不断征讨，把世界硬性带入到一个统一的经济市场，但无法为世界建立一个和谐有序、可持续发展的系统。而中华文明，是发源于大陆的农耕文明，喜欢把人类、社会、自然、和宇宙当成一个整体去研究，这种“天人合一”的理念，就容易把世界的万物调和成和谐共存关系。中国的天人合一、和而不同的思想才是这个世界最好未来规划！纵观人类历史的进程，每一次危机的背后，都是人类系统的大升级，这次疫情之后，整个世界也将改头换面，人类也将步入更高阶的文明体系。世界即将发生史诗级的转变！我们正在见证历史！ ,2020-04-03 01:18,3,0,0
IBwyjgbSh,大鹰DN,男,北京,561,109335,大鹰DN:大鹰微评：每次都要闹到舆论沸腾再处理吗？【北京警方：#坦桑尼亚籍男子违反防疫规定被处限期出境#】4月2日，北京市公安局副局长潘绪宏通报入境进京人员违反防疫规定违法行为查处情况。#北京通报外籍男子违反防疫规定被限期出境#。3月27日、28日，北京朝阳公安分局潘家园派出所接到社区报警和网民反映，一坦桑尼亚籍男子不配合疫情防控措施，警方依据相关法律，已经对该人做出行政处罚，限期出境。 http://t.cn/A6ZW4nFG ,2020-04-03 01:13,77,8,12
IBwyaDnk9,凤凰卫视欧洲台,女,海外,119,7422743,凤凰卫视欧洲台:【英国卫生大臣汉考克结束隔离】今日英国第十次疫情发布会由英国卫生大臣汉考克主持，汉考克表示：1.目前已超过5000名NHS员工被检测，其中5.7%的医生被确诊（近300人）。2.在军队的帮助下，昨天共向医院交付了4500万件个人防护装备，并表示他会竭尽全力保证每位医护人员都有个人防护物资。3.四月底前将每天检测10万人。检测人群将涉及：需要检测的病人；关键的NHS员工及其家人；关键工作者；扩大检测到社区。此外，英国政府正在与9家公司合作进行抗体检测方面的合作。4.英国政府将投入3亿英镑用于社区药方，并勾销NHS在过去欠下的134亿英镑的债务。5.死亡病例在数周内还会增加。 #英国疫情##欧洲新冠肺炎病例进展##全球防疫的迷幻操作##英国新冠肺炎病例进展##全球疫情##海外抗疫日记##意大利疫情##意大利封闭全国##法国疫情##西班牙疫情# 原图 ,2020-04-03 01:13,24,7,3
IBwxF3pBH,苏州二手车Peter,男,江苏,791,49172,苏州二手车Peter:去年无锡的老哥找我淘了一台19年一月的奥迪A3运动版，原版原漆，外白内黑，今年他家老爷子想把手挡的奇瑞A3换掉，看过新车长城，传奇，吉利，以及长安欧尚，但是新车过十万，有点舍不得。以至于选择了二手车，所以给他搞了一台本田锋范经典。11年12月上牌，一手，公里数9万多准表，铁灰色，带全险到2020年的12月，包提档。除车顶，其余部位做漆，后围板钣金修复，因为有过一次小追尾。包整备，保养，四条轮毂翻新，大灯翻新，包了个方向盘套，以及倒车雷达。无人提档，耽误了点时间，疫情期间，无人提档没有那么快。再加上车管所网络的原因，更是快不了了。这个只能说抱歉了前天来提走的车子，老哥开回去安徽阜阳，整好赶在清明节之前，可以落挡。在搞定这个之前还去过江阴看骊威，车况前后肉夹馍顺带在那个市场看看其他车，半个小时下来，没有一台车不带伤的，这也就可以理解为啥市场那么冷清了，贴在前挡玻璃的价格签，都特么被晒的字迹不清晰了，细想一下，车子该是放了多久了淘车，有时候挺累的，白跑的时候挺多，有谁不信的，自己去网上打个电话，加了微信，你看他朋友圈一天都能发几十台车源信息的，十有八九是中介。那个车源，俗称“云车源”，中介连车都没看到，他怎么给你保证车源。套路，可想而知……不多说了，做好每一份工作，付出热情，趋之更好 http://t.cn/Riwv1WO 显示地图 ,2020-04-03 01:12,7,0,14
IBwtmfm2X,秦砖汉瓦无言,男,上海,290,95468,秦砖汉瓦无言:#肺炎门# 特朗普果然骗了全世界，纽约医生大胆揭露实情！截止目前，美国的累计确诊人数达到了22万人，昨天一天内更是增加了2万名确诊病人。新冠病毒在美国传播速度这么快，真是恍若隔世了，默默为肺炎超级大国祈福！不过出乎人们意料的是，特朗普对疫情一直是无所谓的态度。即便是美国已经出现了非常多的感染者，但是特朗普在进行电视采访或者讲话的时候总是说，新冠肺炎没什么大不了的，不如交通事故和流感死亡率高，让人们不要担心，应该叫“新冠流感”。不止一个特朗普，许多美国的官员也是这样告诉大家的，于是很多美国人都放松了警惕，出门不戴口罩，到处是聚集人群。但是现在美国的情况严重了，于是特朗普开始向国外求援。有一位美国医生对特朗普的做法非常不满，他戳穿了特朗普一直营造的“谎言”，向美国人民告知了此次疫情的可怕程度。这位不愿透露姓名的医生前几天接受了美国有线电视台的采访。医生称，尽管新冠肺炎已经出现好几个月了，但是美国却没有对此做出任何的措施，医院里也没有储存物资。3月份开始，突然有大批的病人冲到医院，医院无法接受如此突如其来的大批量患者，无论是呼吸机还是口罩等别的物资，统统都不够，面对的是一场手上完全没有武器的战争。医院无法全部收治这些病人，只能让重症的先住下，让轻症患者回家。随着疫情的扩散发酵，死亡人数也越来越多，医院也没有办法处理这些尸体，只能先用冷冻车库过道存放。而这位医生所在的位置是纽约，美国最繁华最先进的城市。纽约都是这样的局面，可想而知别的州是什么样子了。还有一位医生也针对这件事发表了看法，他说现在的美国医院简直就是世界末日的场景，在他从业几十年来从未见过这样的惨状，远比新闻报道出来的糟糕的多。这两位医生都称，是特朗普欺骗了美国人民和美国的医院，让大家误以为新冠肺炎真的就只是一次流感，但是没想到会有这么严重的结果。对此，厉害的中国网友似乎早已看透了👻#美国新冠肺炎确诊超20万例##疫情可能导致20万美国人死亡#  http://t.cn/A6Zx7pSR ,2020-04-03 01:01,73,33,20
IBwrx12IC,不卡_叻,女,陕西,158,68,不卡_叻:#周深[超话]##周深了不起的长城# 💙#周深歌手2020# 💙事情是这样的在我八岁的老弟疫情期间学会了了大鱼，浓情，和来不及勇敢（为啥唱这几个歌呢，因为是他老姐的最爱）后，孩子长大了已经会自己在b站搜视频看了现在，一听到别人说xx很帅就会说一句，有深深帅吗，肯定没有！深宝，请直视自己的颜值和女友粉！带我男盆友的小尾巴@卡布叻_周深 💙 原图 ,2020-04-03 00:57,2,0,0
IBwqH1iLI,人以和为贵ai,男,其他,566,1374,人以和为贵ai:#杨紫公益紫[超话]# #阳光信用# yz#跟着杨紫做公益# 国家反诈中心守护大使@杨紫 提醒您：疫情期间，不造谣不信谣不传谣！ 绿色生活方式公益推广大使@杨紫呼吁大家绿色出行！ 中国消防公益宣传使者@杨紫 提醒您用火防火不失火，为国为家为你我！ 中国妇女发展基金会“母亲邮包”项目宣传大使@杨紫 呼吁您一起传递爱与善！ ,2020-04-03 00:55,0,0,1
IBwqzCUUS,楚天帮忙网,男,湖北,3459,66734,楚天帮忙网:无颜向中国开口 转而向自顾不暇的韩国求援 #特朗普向韩国寻求医疗设备支援#网友：希望韩国不要将我国的援助物资给了美国 24晚美国总统特朗普同韩国总统文在寅就新冠肺炎疫情通了电话，电话中特朗普请求文在寅向美国援助医疗设备，文在寅表示，如果有多余物资，会最大限度提供支援。 #关注新冠肺炎#  http://t.cn/A6Zlk33K ,2020-04-03 00:54,0,0,0
