微博id,发布者昵称,发布者性别,发布者地区,发布者关注数,发布者粉丝数,微博正文,发布时间,点赞数,转发数,评论数
IqJU80fBN,杨代忠,男,北京,2966,9493,杨代忠:防控疫情最好的办法，没有特别事情别乱跑，就不要给春运添堵了，春节期间呆着父母身边陪家人一起看春晚吧！尤其是中央广播电视总台的大春晚不要错过，今年各大卫视的春晚也亮点多多，省市县电视台虽然明星阵容不够强大，不过我参与过的地方我普遍认为节目质量都不错！主攻人民群众和活跃在百姓身边的文艺工作者。传播方面都采用了融媒体传播和分发方式，只是碎片化传播和新媒体运营还是不够。文化传媒公司自筹在电视台和网络播出的春晚今年品质还是提高了不少，虽然赞助和经费自筹不容易，但是还是得到了圈内知名明星艺人的支持，加上制作还是很精良。现在其实很多大企业的团拜回真心做得很高大上，舞美设计和场布设计，企业员工节目经过专业导演编排，加上专业商演团队的加入，2020年应该和融媒体合作起来做企业春晚，图片、视频网络直播+电视录播的形式给每一个人留下一年最美的身影。 http://t.cn/R2Wx3k7 显示地图 原图 ,2020-01-23 02:59,1,0,0
IqJU7EmpJ,泪蛙,女,新疆,161,35,泪蛙:我再也不信什么你能我也能了。措施没到位就思想工作做一波的下场往往就是来不及了和低估了。现在也没出新闻说增加了医疗资源，也没说疫情处于什么等级（姑且算是我们国家有个等级标准）。中国人多看清点自己吧 不是病毒狡猾 是你不行 是你爸你妈不行 是你赵爹不行 是你的相信不行  ,2020-01-23 02:59,0,0,0
IqJU6ws3r,西瓜和葡萄树,女,海外,83,14,西瓜和葡萄树:『新型肺炎疫情实时动态 - 人民日报·丁香园』http://t.cn/A6vssLV5  ,2020-01-23 02:59,0,0,0
IqJU5Da7b,笑靥如花Blingbling,女,其他,259,198,笑靥如花Blingbling:#致敬疫情前线医护人员#请平安归来  原图 ,2020-01-23 02:59,1,0,1
IqJU3w0GP,今天浪够了吗,女,上海,374,71,今天浪够了吗:好几天没开朋友圈今天也看了微博才发现武汉的疫情那么严重了而且老家也无法幸免有点害怕去武汉大学的表哥家拜年了不知道家里人同不同意口罩也没买 只有一盒普通的最近还总是去超市什么的我的妈我怕了我怕死我怕死我怕死对了熬夜也会降低免疫力88保去吃命褪黑素了  ,2020-01-23 02:59,0,0,0
IqJU30nIS,VV-未,女,陕西,169,307,VV-未:#写给2020的不寻常# 2003年一场漫布全球的SARS夺去上万人生命，那时身为学生加上信息远不及如今，没有感觉到事态多么严峻。然而当下的新型冠状病毒确让我如此惴惴不安，希望所有民众和朋友们都能严肃的看待彼此疫情，祈祷全国人民都能如愿度过一个幸福中国年。愿疫情快快消除祖国繁荣昌盛风调雨顺朋友们请谨记：戴口罩、勤洗手、勤漱口……让我们明天就做起！ 原图 ,2020-01-23 02:59,1,0,0
IqJU0Alke,今晚月亮不晚安,女,其他,390,3,今晚月亮不晚安:真的不想再看到新增病例和死亡病例了 拜托了🙏🙏希望明早醒来看到的是痊愈的病例甚至是疫情得到控制 🙏🙏  ,2020-01-23 02:59,0,0,0
IqJU02gIR,Colorful_hj,男,广东,211,514,Colorful_hj:关注疫情到现在不行了我困了大家也都好好休息多注意卫生啊还是有点害怕桂平街上戴口罩人还真的是几乎没有希望大家都注意一点做好防范工作睡了  ,2020-01-23 02:59,14,0,16
IqJTYdO48,上三旗包衣你惹不起,女,北京,657,629,上三旗包衣你惹不起:这疫情 春节档的各个大片票房堪忧呀 北京·世贸天阶  显示地图 ,2020-01-23 02:59,0,0,1
IqJTYdO48,上三旗包衣你惹不起,女,北京,657,629,上三旗包衣你惹不起:这疫情 春节档的各个大片票房堪忧呀 北京·世贸天阶  显示地图 ,2020-01-23 02:59,0,0,1
