链接,标题,播放数量,弹幕数量,发布日期,点赞数量,硬币数量,收藏数量,转发数量,评论数量
https://www.bilibili.com/video/BV1bE411q7g3?from=search&seid=1750330274017779470,她让世界知道了南京大屠杀，却吞枪自尽 ...,154000.0,453.0,20191109.0,10000.0,1198.0,3158.0,451.0,300.0
评论点赞数,评论内容,,,,,,,,
3387,张纯如（Iris Chang，1968年3月28日－2004年11月9日），美国华裔女作家、历史学家，祖籍江苏淮安。张纯如是出生在新泽西的第二代美国华裔。张纯如的引人注目之处在于，她擅用新颖独特的手法描述华人在中国和美国的生活，揭示鲜为人知的中国历史和美国华人史的重要史料，其《钱学森传》、《南京大屠杀》、《华人在美国》等作品。特别是1997年出版的《南京大屠杀》描写了日军在南京强奸、虐待、杀害大批中国平民的详情，被纽约时报列为推荐读物，被书评称为年度最佳书籍之一。2004年11月9日，于加州盖洛斯自己的车内用手枪自杀 ，留下遗书“我觉得被CIA或是别的什么组织盯上了”“我走在街上被人跟踪，无法面对将来的痛苦与折磨。”,,,,,,,,
2085,鲁迅先生说刘和珍是为中国死的，我觉得张纯如也是,,,,,,,,
1443,印象里日本历任首相只有鸠山由纪夫下台后来南京下跪忏悔过。日本官方至今没有为侵华战争向中国政府道歉过。前不久奥地利一个官方活动上演“安倍晋三”就日本二战行径向中韩两国道歉，结果引发日本对奥地利强烈抗议。,,,,,,,,
2811,那些说原谅的你看看婴儿被活生生碾死！孕妇被剖腹取婴，婴儿被挑在枪头上的画面！那些照片！注定我一辈子以及我的子子孙孙不会忘记，不会原谅！更何况日本现在都把自己当成二战的受害者，官方从来没有正式的道歉！这样的民族怎么配的上原谅二字！这样的民族怎么配成为人！它们不配成人！我不以人礼待之！有机会定会饥餐胡虏肉！没有血性的民族和待宰的羔羊有什么区别！中国几千年历史！哪有近代这样被人这样屠杀的历史！哪次不是全城反抗，兵败被屠！做一个觉醒的中国人！不要忘了你身上除了炎黄的血！还有蚩尤的血！不要忘了笑谈渴饮匈奴血，饥餐胡虏肉的岳飞！不要忘了国家兴亡匹夫有责！,,,,,,,,
856,太难了，这种心理压力完完全全能够压垮一个人，这里面可能有某国国家的压力，日本军国主义的死亡威胁，以及可能还有周围人的不解。。可能死亡也算是一种解脱吧。这也警示我们，不能让某一位英雄扛起大担，我们应该众志成城，每个人都牢记历史，让某些日本军国主义知道我们的精神，历史是不容忘记的,,,,,,,,
628,勿忘国耻，当代男儿应当自强不息。我们没有任何资格替三十万死去的南京父老乡亲原谅他们。,,,,,,,,
545,三年前我在图书馆借阅了张纯如的《南京大屠杀》，这本书一边揭露日本罄竹难书的罪恶，一边也告诉了时人在那满是鲜血的南京鬼城里也有人性的光辉（有人们誓死保卫着一亩三分地，让城里的人尽量得到庇护，在黑暗中守护光明）。今天是张纯如女士的忌日，希望她泉下有知，继续守护着南京，守护着如今的香港。,,,,,,,,
488,"近代史我真的没有勇气看<img alt=""[大哭]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/2caafee2e5db4db72104650d87810cc2c123fc86.png@100w_100h.webp""/>",,,,,,,,
608,张纯如并不是很多人知道，我身边没一个人知道这个人或看过这书。这种东西太小众了，不是本身对此有兴趣的谁会了解？以前求稳发展都不宣传，现在宣传下子人家说你搞民族主义…强烈建议要宣传就宣传得彻底，别遮遮掩掩的让日本人骂你,,,,,,,,
337,喜欢日本的动画与文化这不妨碍我厌恶这个国家，谢谢,,,,,,,,
427,731人员去向石井四郎 731部队创始人 前往美国马里兰一个武器研究所吉村寿人 731部队冻伤课课长 京都府立医科大学校长冈本耕造 731部队病理课课长 京都大学医学部部长京都大学名誉教授第59届日本病理学会总会会长田部井和 731部队伤寒课课长 京都大学医学部教授 微生物研究室主任凑正男 731部队霍乱课课长 京都大学医学部教授浜田稔 731部队 京都大学农学部教授清野谦次 防疫研究室 京都大学医学部教授正路伦之助 防疫研究室 京都大学医学部教授 兵库县立医科大学校长细谷省吾 防疫研究室 东京大学传染病研究所所长绪方富雄 防疫研究室 东京大学医学部教授 第36届日本病理学会总会会长田宫猛雄 731部队 东京大学医学部部长 国立癌中心总长 日本医学会会长宫川米次 防疫研究室 东京大学医学部教授所安夫 防疫研究室 东京大学医学部教授宫川正 731部队X光班班长 东京大学医学部教授安东洪次 731部队大连支队支队长 东京大学医学部教授石川太刀雄丸 731部队病理班班长 金泽大学校长藤野恒三郎 9420部队 大阪大学观音寺微生物研究所教授渡边荣 防疫研究室 大阪大学观音寺微生物研究所所长田中英雄 731部队昆虫班班长 大阪市立大学医学部部长山中木太 1644部队 大阪市立医科大学校长内藤良一，宫本光一，二木秀雄：创立日本第一家血库以及日本绿十字公司日本一位学者西山胜夫在其著作《731部队人士在京都大学医学部的博士论文查证》中披露：在1927年—1960年期间，731部队的主要军官当中，至少有23人凭借着活体实验发表论文，甚至直接以731部队期间研究报告作为论文，并取得博士学位。,,,,,,,,
259,牢记于心，勿忘国耻,,,,,,,,
303,"小鬼子从政府到民间，啥时候能像德国人认真反思法西斯，诚恳道歉，主动赔偿，我再考虑原谅的事。可惜，这些都是痴人说梦<img alt=""[生气]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/3195714219c4b582a4fb02033dd1519913d0246d.png@100w_100h.webp""/>。日本鬼子骨子里就欺软怕硬，崇尚强权，到现在也就服把他打趴揍惨并且扔俩原子弹的美国人，也怕凶猛彪悍的苏俄。 我们永远没有资格替受尽欺凌的先辈，和无辜惨死的死难者原谅这些禽兽不如的侵略者和杀人如麻的恶魔。<img alt=""[生气]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/3195714219c4b582a4fb02033dd1519913d0246d.png@100w_100h.webp""/>只有团结一心，努力奋斗，强我中华，不让悲剧再发生。犯我中华者虽远必诛，不让这一句话放空。",,,,,,,,
199,"看到还有很多人觉得日本政府是坏的，但人民是好的。用这种简单二切法分割军国主义时期的国家和人民的责任关系，这种人在b站还不少<img alt=""[无语]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/44667b7d9349957e903b1b62cb91fb9b13720f04.png@100w_100h.webp""/>",,,,,,,,
138,有关南京题材的电影，我一部都没看——没勇气看,,,,,,,,
163,中国是一条沉睡的巨龙就是欠一个唤醒巨龙的人当毛主席唤醒巨龙的一刻世界上便没有可以挑衅巨龙国家我国的 空军 海军 陆军会化成利爪将他们一律撕成碎片牢记于心，勿忘国耻,,,,,,,,
105,原谅？先把你国靖国神厕一把火烧了，把里面供着的甲级战 犯的骨灰连带骨灰盒倒进粪坑！让你国天皇在全世界面前直播向二战期间被日本鬼子屠杀的1600w+无辜的中国平民百姓下跪并郑重道歉！让全体右翼分子到中国当面向侵华战争的幸存者以及依然在世的“慰安妇”老人下跪并郑重道歉你国才有资格在中国人民面前谈“原谅”二字！什么？？会不会太用力过猛、太不给日本人面子了？？拜托去买一本张纯如女士的《南京大屠 杀》去好好研读两边你国人民就会清楚，单单让你国人下 跪简直是太™给你国面子了！！,,,,,,,,
115,《南京大屠杀》看得我都自闭了，第一次想去弄死小日本。,,,,,,,,
73,《南京大屠杀》看得我晕了过去，隔了大半个月才看完。,,,,,,,,
60,"我看著看著，不知道為什麼止不住淚水的哭了好久，不知是出於對日軍殘暴行為的不齒，是對失去那些同胞們的憐憫可惜，還是對直到如今事件依然得到不公正對待的不甘和屈辱呢？我是香港人，往年南京大屠殺都有發文哀悼過，可那麼多年了，從沒看見一個年輕人跟我一樣針對這件事默哀，有些人甚至連烈士公園都下得手去破壞塗鴉，外國人的影響在香港已經滲透到這個地步，連我們中國人自己都不尊重中國的歷史和先烈了，真是屈辱啊！
這幾個月來香港這邊也針對這場運動中不幸死亡的人們默哀過，我本著對生命自然的尊重也對此表示惋惜，也認為他們死得不值得，但我更多的是怪罪這個社會的影響，那些忽悠人的，對中國帶有偏見的東西，把一個個香港年輕人變成了如今這個樣子，白白浪費年輕的生命，外國政府從來都不在意我們中國人的生命和尊嚴，希望大家能繼續努力，爭取有一天能讓國際完全承認事件，讓我們的腰桿子真正站直",,,,,,,,
50,九世之仇不共戴天！说原谅的你有什么资格代替三千多万人原谅日本鬼子？,,,,,,,,
49,原谅侵略者我们没有资格，我们只有牢记耻辱!振兴祖国的资格!,,,,,,,,
42,"日本政府还打算掩盖二战在中国犯下种种罪行？你觉得会掩盖的了？！我们14亿中国人可是记得清清楚楚！<img alt=""[生气]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/3195714219c4b582a4fb02033dd1519913d0246d.png@100w_100h.webp""/><img alt=""[生气]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/3195714219c4b582a4fb02033dd1519913d0246d.png@100w_100h.webp""/><img alt=""[生气]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/3195714219c4b582a4fb02033dd1519913d0246d.png@100w_100h.webp""/>",,,,,,,,
32,她真的很伟大,,,,,,,,
31,"日本政府到现在都不肯给咱中国道歉，给韩国道歉还赔给了韩国八九个亿，咱中国一句道歉都没有收到过，日本政府的态势使我本人很生气，很脑火<img alt=""[生气]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/3195714219c4b582a4fb02033dd1519913d0246d.png@100w_100h.webp""/><img alt=""[生气]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/3195714219c4b582a4fb02033dd1519913d0246d.png@100w_100h.webp""/><img alt=""[生气]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/3195714219c4b582a4fb02033dd1519913d0246d.png@100w_100h.webp""/>，各个观点，希望大家不要建议",,,,,,,,
28,四十三年，望中犹记，烽火扬州路，佛狸祠下一片神鸦社鼓，凭谁问，廉颇老矣尚能饭否？铭记历史，勿忘国耻，最可怕是人们的遗忘，日本的拒不道歉，扭曲事实没有让他们的国家民族站起来，反倒跪下去了，对过去的错误遮遮掩掩，那就永不能有修正改变，不能正视自己民族的缺点，卑劣丧尽人伦这些标签就永远在上面!,,,,,,,,
24,可以原谅日本，但有资格原谅的是那些曾经在苦难中的中国军民而我，80后，没资格,,,,,,,,
