微博id,发布者昵称,发布者性别,发布者地区,发布者关注数,发布者粉丝数,微博正文,发布时间,点赞数,转发数,评论数
EiPZ2e9Cr,青年之声,女,北京,1026,204498,青年之声:【致敬，“中国的辛德勒”】南京大屠杀期间，德国人约翰·拉贝与多位国际友人共同发起建立“南京安全区”，为约25万中国平民提供避难场所。他写下的《拉贝日记》，被公认为研究南京大屠杀事件数量最多、保存最完整的史料。1882年11月23日，拉贝诞生。感恩这位国际友人，转发，缅怀！（新华网）  [组图共9张] 原图 ,2016/11/23 8:48,754028,15,3
EiQ0p4Qgv,一口原野,男,北京,613,53991,一口原野:【“南京好人”，值得每个中国人铭记】1882年的今天，约翰•拉贝出生于德国汉堡。南京大屠杀期间，他奋不顾身阻止暴行，保护25万中国人免遭屠戮；回国后，他因揭露日军罪恶受到纳粹迫害，战后又因曾是纳粹党员入狱。1997年，拉贝墓碑运抵南京，碑上仅书：“一个好人，一个不屈的人”。致敬！  [组图共9张] 原图 ,2016/11/23 8:52,754028,1,0
EiPZbpaHt,紫网在线,女,其他,703,56572,紫网在线:#历史上的今天# 南京大屠杀期间，德国人约翰·拉贝与多位国际友人共同发起建立“南京安全区”，为约25万中国平民提供避难场所。他写下的《拉贝日记》，被公认为研究南京大屠杀事件数量最多、保存最完整的史料。1882年11月23日，拉贝出生。感恩这位国际友人，转发，缅怀！  [组图共9张] 原图 ,2016/11/23 8:49,252522,7,2
EiPZe2LS6,华东交通大学学生会,男,江西,197,8143,华东交通大学学生会:#那年今日#【值得中国人铭记的“南京好人”】1882年的今天，约翰•拉贝出生于德国汉堡。南京大屠杀期间，他奋不顾身阻止暴行，保护25万中国人免遭屠戮；回国后，他因揭露日军罪恶受到纳粹迫害，战后又因曾是纳粹党员入狱。1997年，拉贝墓碑运抵南京，碑上仅书：“一个好人，一个不屈的人”。致敬！  [组图共9张] 原图 ,2016/11/23 8:49,185833,1,5
EiPZwEInA,青春巴中,男,四川,1180,28130,青春巴中:#历史上的今天#【“南京好人”，值得每个中国人铭记】1882年的今天，约翰•拉贝出生于德国汉堡。南京大屠杀期间，他奋不顾身阻止暴行，保护25万中国人免遭屠戮；回国后，他因揭露日军罪恶受到纳粹迫害，战后又因曾是纳粹党员入狱。1997年，拉贝墓碑运抵南京，碑上仅书：“一个好人，一个不屈的人”。致敬！ [组图共9张] 原图 ,2016/11/23 8:50,181518,1,0
EiQ04FuYb,河南农大许昌记者团,女,河南,361,5770,河南农大许昌记者团:#那年今日#【“南京好人”】1882年的今天，约翰•拉贝出生于德国汉堡。南京大屠杀期间，他奋不顾身阻止暴行，保护25万中国人免遭屠戮；回国后，他因揭露日军罪恶受到纳粹迫害，战后又因曾是纳粹党员入狱。1997年，拉贝墓碑运抵南京，碑上仅书：“一个好人，一个不屈的人”。致敬！（via央视新闻）  [组图共4张] 原图 ,2016/11/23 8:51,156168,2,8
EiQ0dxO3H,西藏共青团,男,西藏,1309,134652,西藏共青团:【“南京好人”，值得每个中国人铭记】1882年的今天，约翰•拉贝出生于德国。南京大屠杀期间，他奋不顾身阻止暴行，保护25万中国人免遭屠戮；回国后，他因揭露日军罪恶受到纳粹迫害，战后又因曾是纳粹党员入狱。1997年，拉贝墓碑运抵南京，碑上仅书：“一个好人，一个不屈的人”。致敬！ @央视新闻  [组图共9张] 原图 ,2016/11/23 8:51,115715,5,4
EiQ0p4Qgv,一口原野,男,北京,613,53991,一口原野:【“南京好人”，值得每个中国人铭记】1882年的今天，约翰•拉贝出生于德国汉堡。南京大屠杀期间，他奋不顾身阻止暴行，保护25万中国人免遭屠戮；回国后，他因揭露日军罪恶受到纳粹迫害，战后又因曾是纳粹党员入狱。1997年，拉贝墓碑运抵南京，碑上仅书：“一个好人，一个不屈的人”。致敬！  [组图共9张] 原图 ,2016/11/23 8:52,110738,1,0
EiQ0P2XyE,博罗发布,男,广东,288,14256,博罗发布:#当年今日#南京大屠杀期间，德国人约翰·拉贝与多位国际友人共同发起建立“南京安全区”，为约25万中国平民提供避难场所。他写下的《拉贝日记》，被公认为研究南京大屠杀事件数量最多、保存最完整的史料。1882年11月23日，拉贝出生。感恩这位国际友人，转发，缅怀！  [组图共3张] 原图 ,2016/11/23 8:53,74411,0,0
EiQ1Odj76,泉州经贸学院商务系学生会,男,黑龙江,183,841,泉州经贸学院商务系学生会:#那年今日# 【“南京好人”，值得每个中国人铭记】1882年的今天，约翰•拉贝出生于德国汉堡。南京大屠杀期间，他奋不顾身阻止暴行，保护25万中国人免遭屠戮；回国后，他因揭露日军罪恶受到纳粹迫害，战后又因曾是纳粹党员入狱。1997年，拉贝墓碑运抵南京，碑上仅书：“一个好人，一个不屈的人”。致敬！@共青团中央学校部  @泉州经贸职业技术学院团委 @泉州团委学少部 原图 ,2016/11/23 8:55,53607,0,0
