微博id,发布者昵称,发布者性别,发布者地区,发布者关注数,发布者粉丝数,微博正文,发布时间,点赞数,转发数,评论数
JFxNGC3q8,文明昌都,男,西藏,124,1271,文明昌都:#文明昌都# 【转发送别！南京大屠杀幸存者杨翠英逝世#】据@侵华日军南京大屠杀遇难同胞纪念馆 ，南京大屠杀幸存者杨翠英奶奶于1月28日逝世，享年96周岁。#南京大屠杀在册幸存者仅剩71位#。南京大屠杀期间，杨奶奶的父亲、舅舅、堂爷爷被日军用刺刀杀害，弟弟被踩死。令人欣慰的是，杨奶奶儿女都很孝顺，晚年生活幸福美满，愿老人安息！ http://t.cn/EtTTboi ,2021/1/30 10:30,0,0,0
JFxNv4Dhm,平安湖北,男,湖北,495,6541880,平安湖北:【送别仅剩71位！#南京大屠杀幸存者杨翠英老人去世#】据侵华日军南京大屠杀遇难同胞纪念馆，南京大屠杀幸存者杨翠英于1月28日去世，享年96岁。杨翠英老人是今年去世的第1位幸存者，目前经南京侵华日军受害者援助协会认证的在册在世的#南京大屠杀幸存者只剩71位#。@人民日报 愿老人一路走好！  原图 ,2021/1/30 10:29,0,1,1
JFxMIgWEO,文明成都,女,四川,604,729359,文明成都:【转发送别！南京大屠杀幸存者杨翠英逝世#】据@侵华日军南京大屠杀遇难同胞纪念馆 ，南京大屠杀幸存者杨翠英奶奶于1月28日逝世，享年96周岁。#南京大屠杀在册幸存者仅剩71位#。南京大屠杀期间，杨奶奶的父亲、舅舅、堂爷爷被日军用刺刀杀害，弟弟被踩死。令人欣慰的是，杨奶奶儿女都很孝顺，晚年生活幸福美满，愿老人安息！ http://t.cn/EtTTboi ,2021/1/30 10:27,0,5,4
JFxFiddFS,开封市教育局,男,河南,502,16238,"开封市教育局:我分享了【送别！又一位南京大屠杀幸存者去世】, 快来看吧！ | 送别！又一位南京大屠杀幸存者去世  原图 ",2021/1/30 10:09,0,0,0
JFxo0avzc,长安铜陵,男,安徽,129,7739,长安铜陵:【勿忘历史！南京大屠杀真实影像】据侵华日军南京大屠杀遇难同胞纪念馆，南京大屠杀幸存者杨翠英于1月28日去世，享年96岁。#南京大屠杀幸存者只剩71位#。1937年12月13日，侵华日军攻占南京，进行了长达六个多星期的大屠杀，30余万中国同胞惨遭杀戮。铭记血泪，吾辈自强！http://t.cn/A6qGBLjJ  ,2021/1/30 9:26,0,0,0
JFxfkoUjE,正义南康,男,江西,1148,30796,正义南康:发布了头条文章：《送别！又一位南京大屠杀幸存者去世》  送别！又一位南京大屠杀幸存者去世  ,2021/1/30 9:05,15,4,5
JFxbN9GJN,郑州新闻广播,男,河南,656,629504,郑州新闻广播:【送别仅剩71位！#南京大屠杀幸存者杨翠英去世#】据@侵华日军南京大屠杀遇难同胞纪念馆，南京大屠杀幸存者杨翠英于1月28日去世，享年96岁。杨翠英老人是今年去世的第1位幸存者，目前经南京侵华日军受害者援助协会认证的在册在世的#南京大屠杀幸存者只剩71位#。愿老人一路走好！ （人民日报）  原图 ,2021/1/30 8:56,0,0,0
JFx50Dgkc,南丰发布,男,江西,163,4091,南丰发布:【送别仅剩71位！#南京大屠杀幸存者杨翠英老人去世#】据侵华日军南京大屠杀遇难同胞纪念馆，南京大屠杀幸存者杨翠英于1月28日去世，享年96岁。杨翠英老人是今年去世的第1位幸存者，目前经南京侵华日军受害者援助协会认证的在册在世的#南京大屠杀幸存者只剩71位#。愿老人一路走好！ （人民日报） 原图 ,2021/1/30 8:39,1,0,0
JFwOEbN1L,陕西省地震局,男,陕西,1026,94206,陕西省地震局:【铭记历史！#南京大屠杀在册幸存者仅剩71人#】据@侵华日军南京大屠杀遇难同胞纪念馆：昨天，南京大屠杀幸存者杨翠英逝世，享年96周岁。南京大屠杀期间，她的父亲、舅舅、堂爷爷被日军用刺刀杀害，弟弟被踩死。此后她成为全家的支柱，带着失明的母亲和弟弟妹妹艰难度日。送别老人！http://t.cn/EtTTboi  ,2021/1/30 7:59,0,0,0
JFwCEb4s3,半岛都市报,男,山东,734,10974483,半岛都市报:【铭记历史！#南京大屠杀幸存者只剩71位#】据@侵华日军南京大屠杀遇难同胞纪念馆：昨天，南京大屠杀幸存者杨翠英逝世，享年96周岁。南京大屠杀期间，她的父亲、舅舅、堂爷爷被日军用刺刀杀害，弟弟被踩死。此后她成为全家的支柱，带着失明的母亲和弟弟妹妹艰难度日。送别老人！（北京头条）http://t.cn/EtTTboi ,2021/1/30 7:30,10,7,2
JFwxP7IoL,时光深巷旧回忆,男,福建,248,1404263,时光深巷旧回忆:友好建交是中国发展的必要手段，勿忘国耻是作为中国人的本分，经历过南京大屠杀的遇难者越来越少，但那段痛苦的历史我们应该永远铭记。忘记历史就等于背叛。#南京大屠杀在册幸存者仅剩71人#侵华日军南京大屠杀遇难同胞纪念馆的微博视频  ,2021/1/30 7:18,24,4,2
JFwpicWof,安徽之声,男,安徽,509,114159,安徽之声:【送别仅剩71位！#南京大屠杀幸存者杨翠英老人去世#】据侵华日军南京大屠杀遇难同胞纪念馆，南京大屠杀幸存者杨翠英于1月28日去世，享年96岁。杨翠英老人是今年去世的第1位幸存者，目前经南京侵华日军受害者援助协会认证的在册在世的#南京大屠杀幸存者只剩71位#。愿老人一路走好！ （@中国警方在线 ） 原图 ,2021/1/30 6:57,1,0,0
JFuZZ3EnB,成都生态环境,男,四川,416,141612,成都生态环境:【勿忘历史！南京大屠杀真实影像】据侵华日军南京大屠杀遇难同胞纪念馆，南京大屠杀幸存者杨翠英于1月28日去世，享年96岁。#南京大屠杀幸存者只剩71位#。1937年12月13日，侵华日军攻占南京，进行了长达六个多星期的大屠杀，30余万中国同胞惨遭杀戮。铭记血泪，吾辈自强！(@央视新闻)http://t.cn/A6qGBLjJ ,2021/1/30 3:22,1,0,0
JFulElTI0,冰纯蜜戀,女,北京,1081,153277,冰纯蜜戀:#南京大屠杀幸存者只剩71位#又一位幸存者去世，但曾经发生的悲剧，历史不会忘，14亿中国人不会忘。老人一路走好一辈子都没等到道歉。  ,2021/1/30 1:42,0,0,0
JFtySeH2y,李庄发布,女,其他,119,539,李庄发布:一路走好！#南京大屠杀幸存者杨翠英老人去世 目前#南京大屠杀幸存者只剩71位。 李庄发布的微博视频  ,2021/1/29 23:42,0,0,0
JFttI0r1X,潼关检察,男,陕西,1595,1965,潼关检察:【送别仅剩71位！#南京大屠杀幸存者杨翠英老人去世#】据侵华日军南京大屠杀遇难同胞纪念馆，南京大屠杀幸存者杨翠英于1月28日去世，享年96岁。杨翠英老人是今年去世的第1位幸存者，目前经南京侵华日军受害者援助协会认证的在册在世的#南京大屠杀幸存者只剩71位#。愿老人一路走好！  原图 ,2021/1/29 23:29,2,2,2
JFtjf1YZM,踮脚吻奶源,女,内蒙古,694,3892,踮脚吻奶源:#南京大屠杀幸存者只剩71位#奶奶一路走好，看了视频真的是很受不了，勿忘国耻！振兴中华，吾辈当自强  ,2021/1/29 23:04,3,0,0
JFtiDvf0X,中国周刊,男,北京,1449,3621165,中国周刊:【铭记历史！#南京大屠杀在册幸存者仅剩71人#】据@侵华日军南京大屠杀遇难同胞纪念馆：昨天，南京大屠杀幸存者杨翠英逝世，享年96周岁。南京大屠杀期间，她的父亲、舅舅、堂爷爷被日军用刺刀杀害，弟弟被踩死。此后她成为全家的支柱，带着失明的母亲和弟弟妹妹艰难度日。送别老人！http://t.cn/EtTTboi  ,2021/1/29 23:02,15,7,1
JFtgW21iK,文明大兴,男,北京,483,9055,文明大兴:【#南京大屠杀幸存者杨翠英去世 # 在册幸存者仅剩71位】1月29日，侵华日军南京大屠杀遇难同胞纪念馆称，南京大屠杀幸存者杨翠英于1月28日去世，享年96岁。截至2021年1月29日，经南京侵华日军受害者援助协会认证的在册在世的幸存者仅剩71位。新京报我们视频的微博视频  ,2021/1/29 22:58,0,0,0
JFtgwEhD6,天津政法,男,天津,306,322754,天津政法:【勿忘历史！南京大屠杀真实影像】据侵华日军南京大屠杀遇难同胞纪念馆，南京大屠杀幸存者杨翠英于1月28日去世，享年96岁。#南京大屠杀幸存者只剩71位#。1937年12月13日，侵华日军攻占南京，进行了长达六个多星期的大屠杀，30余万中国同胞惨遭杀戮。铭记血泪，吾辈自强！(@央视新闻) http://t.cn/A6qGBLjJ ,2021/1/29 22:57,3,8,1
JFteIm4Zm,象山检察,男,浙江,171,697,象山检察:【送别仅剩71位！#南京大屠杀幸存者杨翠英老人去世#】据侵华日军南京大屠杀遇难同胞纪念馆，南京大屠杀幸存者杨翠英于1月28日去世，享年96岁。杨翠英老人是今年去世的第1位幸存者，目前经南京侵华日军受害者援助协会认证的在册在世的#南京大屠杀幸存者只剩71位#。愿老人一路走好！ @人民日报  ,2021/1/29 22:52,0,0,0
JFteHsP1R,羞羞的撒野,女,湖北,387,3659,羞羞的撒野:#南京大屠杀幸存者只剩71位#唉，除了铭记历史，也不知能说啥。唉。  ,2021/1/29 22:52,6,0,0
JFtenEUaG,广西政法,男,广西,1577,244927,广西政法:【勿忘历史！南京大屠杀真实影像】据侵华日军南京大屠杀遇难同胞纪念馆，南京大屠杀幸存者杨翠英于1月28日去世，享年96岁。#南京大屠杀幸存者只剩71位#。1937年12月13日，侵华日军攻占南京，进行了长达六个多星期的大屠杀，30余万中国同胞惨遭杀戮。铭记血泪，吾辈自强！(@央视新闻) http://t.cn/A6qGBLjJ http://t.cn/RyhNYpH 显示地图 ,2021/1/29 22:52,8,2,2
JFtd8wqs0,导演金刚jingang,男,北京,927,2090328,导演金刚jingang:#南京大屠杀幸存者只剩71位#见证者越来越少，小日本鬼子到现在都不认罪都不道歉，总有一天要报仇雪恨。  ,2021/1/29 22:48,6,0,0
JFt9yl1t8,不咽苦水,女,其他,283,72,不咽苦水:#南京大屠杀幸存者只剩71位#不可忘！不能忘！  ,2021/1/29 22:40,0,0,0
JFt9wyxqS,贵州综合广播,女,贵州,322,398459,贵州综合广播:【铭记历史！#南京大屠杀在册幸存者仅剩71人#】据@侵华日军南京大屠杀遇难同胞纪念馆：昨天，南京大屠杀幸存者杨翠英逝世，享年96周岁。南京大屠杀期间，她的父亲、舅舅、堂爷爷被日军用刺刀杀害，弟弟被踩死。此后她成为全家的支柱，带着失明的母亲和弟弟妹妹艰难度日。送别老人！http://t.cn/EtTTboi  ,2021/1/29 22:40,0,0,0
JFt9jvarF,前线哨位,女,天津,57,397895,前线哨位:#南京大屠杀幸存者只剩71位#我们没有资格替他们去原谅，勿忘国耻，先辈用鲜血换来今天的和平更要好好珍惜，铭记先人！ 前线哨位的微博视频  ,2021/1/29 22:39,2,1,0
JFt8VExEE,风笛铃响,女,重庆,774,469,风笛铃响:#南京大屠杀幸存者只剩71位#惨烈的历史不能忘，不敢忘愿逝者安息，生者平安历史记录了这些血的过去没有人能替他们的过去说原谅  ,2021/1/29 22:38,5,0,0
JFt7obTm5,南街少女Ying,女,安徽,471,682,南街少女Ying:#南京大屠杀幸存者只剩71位#送别  ,2021/1/29 22:34,0,0,0
JFt4J3lRa,锦鲤洋芋香,女,甘肃,430,358,锦鲤洋芋香:#南京大屠杀幸存者只剩71位# 话题被夹了             她们在等日本道歉 日本在等她们死去                                         ——《二十二》  ,2021/1/29 22:28,0,0,0
JFt4G1EAo,颖入我心fcc,女,江西,849,1156,颖入我心fcc:#南京大屠杀幸存者只剩71位#铭记历史! 勿忘国耻!  逝者安息!  ,2021/1/29 22:28,0,0,0
JFt40C8sB,是蒋蒋啊313,女,山东,944,706,是蒋蒋啊313:#南京大屠杀幸存者只剩71位#健康，快乐，平安  ,2021/1/29 22:26,0,0,0
JFt2SAe2M,沐橙03050702,女,黑龙江,862,159,沐橙03050702:#南京大屠杀幸存者只剩71位#走好  ,2021/1/29 22:23,0,0,0
JFt2E7H1d,潍坊反邪教,女,山东,569,786,潍坊反邪教:【铭记历史！#南京大屠杀在册幸存者仅剩71人#】据@侵华日军南京大屠杀遇难同胞纪念馆：昨天，南京大屠杀幸存者杨翠英逝世，享年96周岁。南京大屠杀期间，她的父亲、舅舅、堂爷爷被日军用刺刀杀害，弟弟被踩死。此后她成为全家的支柱，带着失明的母亲和弟弟妹妹艰难度日。送别老人！http://t.cn/EtTTboi  ,2021/1/29 22:23,0,0,0
