微博id,发布者昵称,发布者性别,发布者地区,发布者关注数,发布者粉丝数,微博正文,发布时间,点赞数,转发数,评论数
JEXsXAqKn,侵华日军南京大屠杀遇难同胞纪念馆,男,江苏,587,880120,侵华日军南京大屠杀遇难同胞纪念馆:1938年1月26日，国际友人约翰·拉贝先生在他的日记中写道：“我再次发现那名死去的中国士兵仍然在离我家不远的地方横尸露天。这种不可思议的局面还要持续多久？如果谁走出我们的安全区穿过一条条空荡荡的马路，毫无遮挡地进入每一所房子，那景象真是令人触目惊心。所有的门都被砸开或是敞开着，接二连三的破坏让人感到野蛮而又不可理解。日本人想从这些废墟中捞到什么好处呢？” 原图 ,2021/1/26 14:00,44,6,2
JEe7q6dcZ,侵华日军南京大屠杀遇难同胞纪念馆,男,江苏,587,880120,侵华日军南京大屠杀遇难同胞纪念馆:#纪念馆活动#今日，在我馆史料陈列厅一楼的路演厅内，来自南京大学中华民国史研究中心的姜良芹教授，带来《关于外籍人士见证的南京大屠杀暴行》的专题讲座，在那段黑暗的日子里，有德国的约翰·拉贝、丹麦的贝恩哈尔·辛德贝格、美国的约翰·马吉等外籍人士，他们冒着风险，以各种方式保护着中国人民。姜教授说：在南京大屠杀这一人类历史上的黑暗时刻并非全然漆黑，那些冒着风险坚守南京的在宁西方人士，与中国人民携手并肩，共同经历着人类历史上可怕的一页，从那时起，南京大屠杀暴行就是中国人民和西方人民共同承受的苦难，同样也是中国人民和西方人民共有的创伤记忆。 [组图共2张] 原图 ,2021/1/21 18:33,29,0,2
JDB0QqAit,侵华日军南京大屠杀遇难同胞纪念馆,男,江苏,587,880120,侵华日军南京大屠杀遇难同胞纪念馆:1938年1月17日，国际友人约翰·拉贝先生在他的日记中写道：“日本人在这里造成的破坏真是罄竹难书。我认为这个城市完全不可能在短时间内恢复繁荣。太平路从前是主要的商业街道，是南京人的骄傲，这条街夜晚的霓虹灯可以与上海的南京路相媲美，如今它已变成一片废墟，一切都烧光了，再也没有一所完好无损的房屋，左右两边全是瓦砾场。以前的娱乐区夫子庙连同其茶馆和大市场，同样被完全毁坏了。目之所及，全是瓦砾废墟。” 原图 ,2021/1/17 15:00,122,16,11
JDrMwAFKU,侵华日军南京大屠杀遇难同胞纪念馆,男,江苏,587,880120,侵华日军南京大屠杀遇难同胞纪念馆:1938年1月16日，国际友人约翰·拉贝先生在他的日记中写道：“6时，我被屋架倒塌发出的哗啦声惊醒。在我的房子附近，就在上海银行的后面，又有几所房子被纵火烧毁了。最近4个星期里，没有哪天不发生纵火事件。与此同时，我们却一再被告知，南京的‘情况已经变得好多了’。”  原图 ,2021/1/16 15:30,26,5,4
JDqd74iA2,侵华日军南京大屠杀遇难同胞纪念馆,男,江苏,587,880120,侵华日军南京大屠杀遇难同胞纪念馆:#线上参观纪念馆#我馆正在举办《命运与共——约翰·拉贝及家族与中国的友谊》展。展览以“命运与共”为主题，以当年小桃园的“拉贝之门”为入口，通过“汉堡之子·中国之缘”、“留在南京·伸以援手”、“不忘拉贝·大爱永恒”三个篇章，用70多幅图片和40多件展品，带领观众重温了拉贝先生的一生。展期将持续至2021年4月，欢迎大家来参观。 [组图共2张] 原图 ,2021/1/16 11:30,23,3,4
JCXAgkPhV,侵华日军南京大屠杀遇难同胞纪念馆,男,江苏,587,880120,侵华日军南京大屠杀遇难同胞纪念馆:【每日读图】1937年11月中旬，日军逼近南京。面对即将到来的战争与灾难，有大量的平民无法逃离南京。二十多位西方人士冒着生命危险留在南京，参加人道主义救援。他们参照上海设立难民区的先例，成立“南京安全区国际委员会”，并划定了南京城内西北部3.86平方公里的区域为安全区。11月22日，德国人约翰·拉贝被推选为南京安全区国际委员会主席。在最高峰时，安全区收容难民25万多人。（右图为南京安全区国际委员会和国际红十字会南京委员会部分成员合影，左起为：福斯特、米尔斯、拉贝、史迈斯、史波林、费奇） 原图 ,2021/1/13 10:37,25,6,0
JCGpjx83r,小晓古同学,男,河北,22,25,小晓古同学:南京by小晓古同学1937年12月，南京，这里本该是家家祥和，孩子们面带笑容的在街上奔跑的地方，可是一声枪响宣告了这份安宁的死亡。多少原本幸福美满的家庭变得支离破碎，多少的同胞再见看不到如今的中国，可他们就算离我们而去，我都能听见他们最后一声呼喊。6周啊！整整6周我们失去了30万的同胞，我想他们可能是无助的，绝望的，但是在这黑暗之中仍有一枚萤火，这火虽小，却足以照亮前路，驱散这片黑暗。约翰·拉贝，在这片血色的土地上同几位国际友人共同设立了国际安全区，他们与残暴的帝国主义侵略周旋抗争，从那些魔鬼手中抢下了25万条鲜活的生命，并且在他的公寓里写下了有名的拉贝日记来痛斥帝国主义放下的滔天罪行。这日记成为了这群魔鬼出现过的最好证明。这绝望中的萤火引领了几代中国人，在面对绝望时不要放弃希望的存在。创作于2020年10月禁止用于商业 http://t.cn/RJUvqD9 显示地图 ,2021/1/11 14:53,2,0,1
JCvtaidir,侵华日军南京大屠杀遇难同胞纪念馆,男,江苏,587,880120,侵华日军南京大屠杀遇难同胞纪念馆:#朗读者#1995年8月，美籍华裔作家张纯如发现了一个叫约翰·拉贝的名字（图3）。1996年，这位“中国辛德勒”的日记被公诸于世。1997年电视台记者找到一位南京大屠杀幸存者王世清。老人把大家领到了小粉桥1号，说他当年就在这里避过难。当年，国际友人拉贝先生在这里收留和保护了600多位难民。点击网址http://t.cn/R873w8j敬请收听警察李芳讲述《落雪的树枝》。图1为1996年12月，拉贝先生的外甥女乌尔苏拉·赖茵哈特女士在美国纽约公布了尘封近59年记载有关南京大屠杀的《拉贝日记》。 [组图共3张] 原图 ,2021/1/10 11:03,70,7,1
JBOrwhzFe,懿读,女,上海,17117,165900,懿读:#懿读·今日人物# 约翰·拉贝。 70年前的今天，约翰·拉贝去世。让我们一起来认识这位在二战期间，详实记录中国人民遭受黑暗历史的德国人。  懿读的微博视频  ,2021/1/5 21:30,18,2,17
JBL4ixwiV,天水麦积区图书馆,男,甘肃,178,265,天水麦积区图书馆:今天，约翰·拉贝先生的忌日。1950年，在拉贝生命最后的日子里，过的并不好。他穷困潦倒，没有固定工作，身患疾病......但中国人始终没有忘记这位朋友，没有忘记他的义举，也没有忘记他的后人。今天，缅怀他。 （来源：@侵华日军南京大屠杀遇难同胞纪念馆 ）  原图 ,2021/1/5 12:55,3,0,1
