评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/6867738279,卷卷毛球呀,女,北京,14,413,557,口罩留给自己吧 我们表示理解,46481,2020-01-28 20:47
https://weibo.cn//u/1997778642,千黛汐Rebecca,女,安徽,325,73,7469,让他们自己解决,35897,2020-01-28 20:47
https://weibo.cn//u/2109131741,辛思齐,男,浙江,2444,159,4566,八方点赞,34319,2020-01-28 20:47
https://weibo.cn//279110065,Reeta_曹,女,上海,987,189,423,回复@fqw的粉丝:说你们除了讽刺和骂，好像也没有啥了，层级比较低，逻辑没漏洞啊，跟着你们回的回答啊，你说在洗，请指出啊。,0,2020-01-29 20:47
https://weibo.cn//u/1966503015,君君wing,女,北京,2219,168,305,回复@水岚遣心:懒得和你说，自己往下翻评论,0,2020-01-29 20:45
https://weibo.cn//279110065,Reeta_曹,女,上海,987,189,423,回复@fqw的粉丝:你指出来啊？不是说我给台独洗吗？哪条啊？我好像之前说的是，他们权利的问题，也没有要洗啊？我中立就代表给台独洗吗？为啥非得要按照你的角度考虑，想法来？,0,2020-01-29 20:44
https://weibo.cn//u/6765886800,我只是一只狗而已,女,其他,4,124,1,回复@Reeta_曹:哪条不是呢哈哈哈哈哈 笑死,0,2020-01-29 20:43
https://weibo.cn//u/6765886800,我只是一只狗而已,女,其他,4,124,1,回复@Reeta_曹:那你为什么说我们呢？？？？？？你说话为啥这么多逻辑漏洞呀 你说你中立 为什么自始至终我只看到了你在洗台独呢,0,2020-01-29 20:43
https://weibo.cn//279110065,Reeta_曹,女,上海,987,189,423,回复@fqw的粉丝:哪条评论是在给台独洗？,0,2020-01-29 20:42
https://weibo.cn//u/6765886800,我只是一只狗而已,女,其他,4,124,1,回复@Reeta_曹:我懒得和你讲哈,0,2020-01-29 20:42
https://weibo.cn//279110065,Reeta_曹,女,上海,987,189,423,回复@fqw的粉丝:我为什么要在你们面前说台独？我想在哪里说什么好像是我自由诶？,0,2020-01-29 20:42
https://weibo.cn//u/6765886800,我只是一只狗而已,女,其他,4,124,1,回复@Reeta_曹:只看到了你在评论里一直给台独洗呢 那个台独还很感谢你呢,0,2020-01-29 20:40
https://weibo.cn//u/6765886800,我只是一只狗而已,女,其他,4,124,1,回复@Reeta_曹:没看到你说台独呢不好意思哦,0,2020-01-29 20:40
https://weibo.cn//u/6765886800,我只是一只狗而已,女,其他,4,124,1,回复@Reeta_曹:你从我的言论中看不出来我不支持台独？,0,2020-01-29 20:40
https://weibo.cn//279110065,Reeta_曹,女,上海,987,189,423,回复@fqw的粉丝:港独台独和你们都会说啊。怎么了？,0,2020-01-29 20:39
https://weibo.cn//279110065,Reeta_曹,女,上海,987,189,423,回复@fqw的粉丝:我说了啊，你可以这么认为啊，你开心就好，不是吗？只要我自己知道我是否反对台独不就好了？你可以觉得我是XXX，哪怕你骂我都行，我也可以觉得你是支持或者不支持台独，但我就不选择骂你了。明白吗？,0,2020-01-29 20:38
https://weibo.cn//u/6765886800,我只是一只狗而已,女,其他,4,124,1,回复@Reeta_曹:还有 你如果真想说 麻烦你去和台独港独说  这所有的事情从来就不是我们先挑起的 他们安分守己 我们会说什么？你先搞清楚源头吧,0,2020-01-29 20:37
https://weibo.cn//u/6765886800,我只是一只狗而已,女,其他,4,124,1,回复@Reeta_曹:你有资格发表你的言论我就没有资格？？？,0,2020-01-29 20:36
https://weibo.cn//u/6765886800,我只是一只狗而已,女,其他,4,124,1,回复@Reeta_曹:你说的啊 你有你的看法 我有我的看法 微博是公众平台 如果你不想你自己发表的看法得到任何人的回复 那你就在朋友圈自己发私密文章自己看,0,2020-01-29 20:35
https://weibo.cn//u/6765886800,我只是一只狗而已,女,其他,4,124,1,回复@Reeta_曹:你说你中立你就一定中立吗 你不觉得自己说的话逻辑漏洞很多吗？？？你到底是怎么说出来的啊哈哈哈哈 和你聊天真的很开心 谢谢你,0,2020-01-29 20:34
https://weibo.cn//279110065,Reeta_曹,女,上海,987,189,423,回复@fqw的粉丝:可以啊，那又不是我先找你的，而是你先找我的。所以你有什么资格找我说？,0,2020-01-29 20:34
https://weibo.cn//u/6765886800,我只是一只狗而已,女,其他,4,124,1,回复@Reeta_曹:我没有觉得理性 我只觉得你没有心,0,2020-01-29 20:34
https://weibo.cn//279110065,Reeta_曹,女,上海,987,189,423,回复@fqw的粉丝:因为我比你理性看待东西，而且你觉得那是你觉得，不代表事实。你不支持台独就一定是不支持台独吗？,0,2020-01-29 20:33
https://weibo.cn//u/6765886800,我只是一只狗而已,女,其他,4,124,1,回复@Reeta_曹:照你这么说 我说什么你也没有资格说我啊 哈哈哈 笑死,0,2020-01-29 20:33
https://weibo.cn//u/6765886800,我只是一只狗而已,女,其他,4,124,1,回复@Reeta_曹:还有 我也没有故意引起骂战 睁大你那已经失去眼角膜的眼珠看一下哈 是谁先在这里bb的 哦忘了 你没有眼睛 你也没有心,0,2020-01-29 20:32
https://weibo.cn//u/6765886800,我只是一只狗而已,女,其他,4,124,1,回复@Reeta_曹:还有 从你的言论中 我并没有感受到你不是支持台独的哦,0,2020-01-29 20:31
https://weibo.cn//279110065,Reeta_曹,女,上海,987,189,423,回复@fqw的粉丝:你觉得不叫骂，觉得是教育，那我也可以认为这是不合格的教育，甚至谈不上教育，多在读读之前的，好好做阅读理解。,0,2020-01-29 20:31
https://weibo.cn//279110065,Reeta_曹,女,上海,987,189,423,回复@fqw的粉丝:如果都像你这样，那还要法律干嘛呢？,0,2020-01-29 20:29
https://weibo.cn//279110065,Reeta_曹,女,上海,987,189,423,回复@fqw的粉丝:明明我地下说的是不支持，你却说我支持，这就不单单是智商的问题，这可能是眼部疾病，建议去趟医院看下。,0,2020-01-29 20:28
