评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/1868610351,霍双一,男,贵州,3688,299,612,开玩笑也总说折耳根护体哈，但其实能看到贵州政府的作为，各项工作真的蛮及时的，商场停业在保证超市正常运转但是几个人守在门口戴好口罩才能进去，酒吧麻将室ktv娱乐场所都关门。警察居委会挨家挨户发手册提示老人重视。或许其他城市也如此，我希望贵州一直坚持下去,16782,2020-01-29 08:50
https://weibo.cn//u/3942725493,Babyukina,女,海外,60,668,894,挺好,6622,2020-01-29 08:39
https://weibo.cn//275144778,焦雅杰给我多喝热水,男,海外,2,33,5637,贵州好样的，加油！,6144,2020-01-29 08:39
https://weibo.cn//u/2316282182,兔子妞妞_xianzi,女,贵州,221,154,79,回复@若克丽丽:你说瞒报，你算老几？,0,2020-01-29 20:45
https://weibo.cn//u/6058807841,若克丽丽,女,上海,13,222,45,回复@兔子妞妞_xianzi:跟你这种满口喷粪的人有什么好说的，现在人人自危，我说大家别高兴太早，你反驳我就反驳我，说我脑子里有屎，呵呵，要是不会说话就不要出来丢人现眼,0,2020-01-29 20:45
https://weibo.cn//u/6058807841,若克丽丽,女,上海,13,222,45,回复@兔子妞妞_xianzi:证据提供给你？你算老几？,0,2020-01-29 20:42
https://weibo.cn//u/2316282182,兔子妞妞_xianzi,女,贵州,221,154,79,回复@若克丽丽:你说瞒报，那就请把证据拿出来，别只知道拿个键盘出来张牙舞爪,0,2020-01-29 20:36
https://weibo.cn//u/6292193661,D剑客06045,男,其他,7,81,3,十四天的潜伏期、你品你细品,1,2020-01-29 20:29
https://weibo.cn//u/6058807841,若克丽丽,女,上海,13,222,45,回复@星星是星河里的光:我只知道我身边的情况并且举报了,0,2020-01-29 20:25
https://weibo.cn//u/6058807841,若克丽丽,女,上海,13,222,45,回复@兔子妞妞_xianzi:你嘴巴里装的也是,0,2020-01-29 20:25
https://weibo.cn//u/6058807841,若克丽丽,女,上海,13,222,45,回复@没烦恼魏同学:我就是贵州的，我说什么，你没有键盘吗？！,0,2020-01-29 20:24
https://weibo.cn//u/5054988371,深睡蔚蓝人,男,贵州,3,121,14,回复@YUANZOUGAOFEI_sun:有了路，就可以发展经济，适合贵州的发展方向是旅游，旅游就得有特色。所以才大力宣传少数民族。并不是只有少数民族贫穷，贫穷不是谁的错，谁又甘愿贫穷。所以希望你别太看不起穷人。,0,2020-01-29 20:21
https://weibo.cn//u/1294847477,阳光色的橙橙,女,其他,441,134,281,贵州一定要坚持住啊！,0,2020-01-29 20:20
https://weibo.cn//u/5813062896,小一于熙,女,贵州,163,118,140,回复@成年人陈年人:别再说折耳根了，再说它就要涨价了哈哈哈哈哈哈哈哈哈哈,0,2020-01-29 20:19
https://weibo.cn//u/5054988371,深睡蔚蓝人,男,贵州,3,121,14,回复@YUANZOUGAOFEI_sun:贵阳和遵义是贵州发展最好的城市没错。但是贵阳是因为在贵州的中心，而且是省会，所以经济才好，以前是路不好，为了方便管理和通知，才选做省会的。遵义因为历史和地理原因，让他繁华。 还有一个问题，贵州不止有苗族，他包含少数民族特别多，而且比较杂乱，随着交通的发展，弥补了贵州路不好的问题，,0,2020-01-29 20:18
https://weibo.cn//u/2406708434,喂你一口甜甜啦,女,其他,108,425,602,回复@往南的花未开:而且我舅舅他们医院还隔离了30多个疑似,0,2020-01-29 20:13
https://weibo.cn//u/1305567034,进击的大象君,女,北京,220,242,1107,回复@孤独的白兔不爱吃胡萝卜:,0,2020-01-29 19:58
https://weibo.cn//u/5813062896,小一于熙,女,贵州,163,118,140,回复@cjy的小mada 的表态:刚刚刷到视频，“黔灵山的猴子有专门的人喂”，好久没出门的人慕了,0,2020-01-29 19:55
https://weibo.cn//u/6632610307,噗嗤阿哈阿嚏,女,其他,1421,548,37,回复@轩轩轩妹纸:都差不多的嘛,0,2020-01-29 19:53
https://weibo.cn//u/5621837895,石子旁边的可乐,女,北京,18770,1237,209,回复@桑桑桑桑倩:,0,2020-01-29 19:48
https://weibo.cn//u/6701401809,为什么每次昵称都不能用,女,河北,29,361,26,回复@赤子丹心w:无1无靠遍地飘0,0,2020-01-29 19:47
https://weibo.cn//u/1732945035,唿喇喇,女,贵州,1450,200,425,回复@苏芙蕾初九的时光:不知道这些人的心理，我们都匀这边外省归来的，社区都打电话要求自己在家隔离观察！街上都没什么人了，公交只保留了一班必要的，其他全停,0,2020-01-29 19:44
https://weibo.cn//u/5054988371,深睡蔚蓝人,男,贵州,3,121,14,回复@YUANZOUGAOFEI_sun:你的意思是看不起贫穷的人咯嘛。,0,2020-01-29 19:43
https://weibo.cn//u/5054988371,深睡蔚蓝人,男,贵州,3,121,14,回复@YUANZOUGAOFEI_sun:我就搞不懂你这种人什么思想，穷怎么了，穷是我一个人的错吗，你很富有吗，,0,2020-01-29 19:42
https://weibo.cn//u/5054988371,深睡蔚蓝人,男,贵州,3,121,14,回复@YUANZOUGAOFEI_sun:没有读过，就你一个人是研究生,0,2020-01-29 19:39
https://weibo.cn//u/1564063217,旺仔星星特别旺,女,海外,2404,581,293,回复@贺_DD四次元:群发个短信多省事 哼 宝宝没被贵阳宠爱不开心了,0,2020-01-29 19:37
https://weibo.cn//u/6735276467,聆子叶21yyyy,女,其他,250,508,32,挺住贵州,0,2020-01-29 19:25
https://weibo.cn//u/1732945035,唿喇喇,女,贵州,1450,200,425,: 作为贵州人， 真的很骄傲，我们政府真的做得很好，及时采取了行动，大数据进行排查，外省归来和接触过疫区人员都进行了居家隔离！棒棒的👍 乡镇也是有宣传车喊话的,0,2020-01-29 19:25
