评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//cctvxinwen,央视新闻,男,北京,138745,2712,116086984,【好消息！,317,2020-01-29 13:22
https://weibo.cn//cctvxinwen,央视新闻,男,北京,138745,2712,116086985,【直播！央视新闻专访胡善联教授 解读防控措施！】新型冠状病毒感染的肺炎发病率是否已到达平台期？返程人员流动会否引发新一轮传播高峰？看直播↓央视新闻独家对话复旦大学公共卫生学院卫生经济学教授胡善联，关注疫情发展，解读防控措施！,86,2020-01-29 19:30
https://weibo.cn//cctvxinwen,央视新闻,男,北京,138745,2712,116086985,【直播！,81,2020-01-30 15:01
https://weibo.cn//u/5469188336,希鲁鲁克那场粉红色的雪,女,陕西,464,33,109,中国加油🇨🇳,0,2020-02-10 23:41
https://weibo.cn//u/6217732392,耿鑫LX,男,其他,22,441,26,加油我的国！加油我的家人！,0,2020-02-10 23:41
https://weibo.cn//u/5586519919,宿敌23340,女,湖北,157,343,81,加油！我们在一起,0,2020-02-10 23:41
https://weibo.cn//u/5692761149,拿了芝麻丢了西瓜,男,浙江,138,848,384,疫情早日散尽吧，要开工、要工作养家、前线人员辛苦了,0,2020-02-10 23:41
https://weibo.cn//u/7193342154,口口牙牙乐,女,其他,632,315,49,加油,0,2020-02-10 23:40
https://weibo.cn//u/6668131104,PZWJXY,男,其他,2,76,3,加油武汉！加油中国！,0,2020-02-10 23:40
https://weibo.cn//u/5462696346,熙悉18136,男,其他,7,544,1,中国加油！武汉加油！我们一定能战胜疫情。,0,2020-02-10 23:37
https://weibo.cn//u/5099869233,今天秦先生爱我了吗,女,其他,80,52,30,中国加油 武汉加油,0,2020-02-10 23:37
https://weibo.cn//wuxuelu1993310,吴雪鹭是谁,女,其他,506,410,168,中国加油 武汉加油 美琪加油,0,2020-02-10 23:36
https://weibo.cn//u/3462100392,小城书虫,女,山东,2192,123,95,所有平凡的默默无闻的奉献者，都辛苦了！,0,2020-02-10 23:36
https://weibo.cn//hyl0719,Marissca,女,其他,1347,253,535,加油,0,2020-02-10 23:35
https://weibo.cn//u/5041556794,北京人多,男,北京,1929,403,270,我爱我的国！加油！,0,2020-02-10 23:35
https://weibo.cn//u/7329637903,夜猫大哥哥,男,江西,4,64,1,武汉加油，中国加油！,0,2020-02-10 23:35
https://weibo.cn//u/7242138302,茶烟起千朵朵,女,北京,153,156,18,加油,0,2020-02-10 23:35
https://weibo.cn//u/6005947926,miny万花筒,女,广东,2555,89,82,中国🇨🇳 加油,0,2020-02-10 23:35
https://weibo.cn//u/6217732392,耿鑫LX,男,其他,22,441,26,加油家人们！！！,0,2020-02-10 23:35
https://weibo.cn//wuxuelu1993310,吴雪鹭是谁,女,其他,506,410,168,武汉加油，中国加油,0,2020-02-10 23:35
https://weibo.cn//u/6264515796,qcf顾小白,男,湖南,1231,699,127,我想吃炸鸡我想出去玩，什么时候才是个头啊,0,2020-02-10 23:31
https://weibo.cn//u/2780799341,JiaXiaoJie_,女,四川,1476,223,394,中国加油。武汉加油。会挺过去的，一切都会好起来！,0,2020-02-10 23:31
https://weibo.cn//uc67185185,浮云度众生,男,山东,123,195,454,武汉加油,0,2020-02-10 23:30
https://weibo.cn//yuanyehou,来笑一哈,男,其他,1428,324,428,这是什么曲子啊,0,2020-02-10 23:30
https://weibo.cn//u/3885134728,-沒有蠟筆的蠟筆小新-,女,海外,43,102,52,什么时候能结束啊,0,2020-02-10 23:28
https://weibo.cn//u/3885134728,-沒有蠟筆的蠟筆小新-,女,海外,43,102,52,心疼中国,0,2020-02-10 23:28
https://weibo.cn//u/6633214693,去年夏天47629,男,其他,1,6,6,中国加油武汉加油,0,2020-02-10 23:28
https://weibo.cn//u/7156975840,冷風如刀537,男,其他,3,78,2,中国加油,0,2020-02-10 23:28
https://weibo.cn//u/2960511542,产品-空,男,湖南,3046,329,1796,不是很热闹吗，新闻报道,0,2020-02-10 23:27
https://weibo.cn//u/7378309671,千堆雪41204,男,其他,5,9,1,快点好起来，我等着开学,0,2020-02-10 23:27
https://weibo.cn//u/3885134728,-沒有蠟筆的蠟筆小新-,女,海外,43,102,52,我好想上班,0,2020-02-10 23:27
https://weibo.cn//u/3885134728,-沒有蠟筆的蠟筆小新-,女,海外,43,102,52,好想正常生活,0,2020-02-10 23:27
https://weibo.cn//u/2471803023,来自南方的蜻蜓,女,广东,371,63,173,加油,0,2020-02-10 23:27
