评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//cctvxinwen,央视新闻,男,北京,138745,2712,116087046,【,874,2020-01-29 09:55
https://weibo.cn//u/1950838410,伊妹儿楚,女,浙江,432,138,107,这明明是政治操作，还一堆理解的,15261,2020-01-29 07:45
https://weibo.cn//yixinyan,纸扎铺老板娘,女,山西,278,275,128014,我们考虑的是抵抗疫情，他们考虑的是抵抗中国。果然是人道主义的美国,11752,2020-01-29 07:43
https://weibo.cn//liangwanba,英梨梨,男,上海,140,184,45,很正常，可以理解,0,2020-01-29 19:57
https://weibo.cn//u/5609049468,我太喜欢吃肉啦-,女,其他,64,92,100,回复@每天都想喝奶茶:那你有意思吗 在这叭叭啥,0,2020-01-29 19:48
https://weibo.cn//u/1987602395,Mystic0514,女,四川,4725,429,247,那在美的中国留学生担心父母在中国得病，想回家了，那怎么办呢~有考虑过他们的感受吗,0,2020-01-29 19:33
https://weibo.cn//u/2319055027,我是五块钱两捆的呲花,女,天津,541,296,158,回复@我是两块钱一捆的呲花:说的是呢,0,2020-01-29 19:32
https://weibo.cn//u/3061300747,月光之下的猫,女,山东,24,86,109,回复@SumireIro:说实话 这句话没毛病 平民谈政治,0,2020-01-29 19:26
https://weibo.cn//u/5876806830,此用户已有人,男,新疆,309,9,20,回复@XeLLoEs:笑死我了,0,2020-01-29 19:12
https://weibo.cn//u/5947393863,顾潇涯_Elvis,男,海外,4976,562,244,回复@minus-fafa:我哭了,0,2020-01-29 19:02
https://weibo.cn//u/6217301349,向阳via,女,其他,11,106,383,回复@老铁配鸡架:自己不会找吗？？呵呵,0,2020-01-29 18:59
https://weibo.cn//u/7310858506,不要命涨停,男,其他,41,38,2,回复@愚人节20100310:因为这次损失太大，一时来气了。。明白。。谢谢教养。应该心平气和的。,0,2020-01-29 18:51
https://weibo.cn//u/6049277507,大空和雨,男,其他,6,14,17,回复@柠檬叶小子:书没读过几本张嘴就知道骂人？,0,2020-01-29 18:48
https://weibo.cn//u/6049277507,大空和雨,男,其他,6,14,17,回复@柠檬叶小子:建议您了解下什么是军国思想，什么是纳粹，什么是hong卫兵，然后再来跟我说话,0,2020-01-29 18:47
https://weibo.cn//u/1403620061,游山玩水8888,男,浙江,4288,3707,286,哦,0,2020-01-29 18:47
https://weibo.cn//u/5104941639,每天都想喝奶茶,女,浙江,14983,127,227,回复@我太喜欢吃肉啦-:用扒拉吗？我还以为小学生，点进去一看居然成年了，而且居然还是个活人。评论里说这种话的基本号都是几年前才登陆过。,0,2020-01-29 18:43
https://weibo.cn//u/2478238371,啦啦小板栗,男,吉林,75,95,2,回复@小夫子nm:那时好像它们说用专机撤离美国人...再有这么说来，武汉的野生动物和它们也有联系啊...,0,2020-01-29 18:43
https://weibo.cn//u/6132402535,Buaoye_,男,海外,5,16,13,回复@苏世独Li横而不liu:我只是觉得是自己嘴欠。要不吃不就什么事情都没有了？,0,2020-01-29 18:14
https://weibo.cn//u/7296504946,HomeTree_Su,女,其他,20,173,46,美国这一波操作很厉害，有分析说这次疫情爆发美国有参与？因为这样一来，中国无论协议还是实际都需要大量购买美国农产品，得利者是美国。另外，交通发达如今，得病者99%以上都是华人。,0,2020-01-29 18:12
https://weibo.cn//u/5872315997,一只减肥梦,女,其他,89,268,42,回复@BabyCoyote:我模糊什么概念了？,0,2020-01-29 18:06
https://weibo.cn//u/5872315997,一只减肥梦,女,其他,89,268,42,回复@卫_卫大叔:关键在于前边指责别人过度，后边自己就撤了,0,2020-01-29 18:02
https://weibo.cn//u/6375180762,minibb的秘密,女,福建,16,313,31,回复@风驰电掣大韵韵摩托:这么多替美国说话的，都是美帝国主义打入我们国家内部奸细？,0,2020-01-29 18:00
https://weibo.cn//u/6857183164,我喜欢安生,男,其他,2567,3168,41,回复@伊妹儿楚:w我说的是郑州这个城市 我不喜欢。我又没有说郑州人不好？明白？,0,2020-01-29 18:00
https://weibo.cn//lovezzzforever,HeyMaN33333,女,广东,1478,487,1082,这病毒会不会感染你们美国人心里没点数？,0,2020-01-29 17:58
https://weibo.cn//u/2139466430,东风导弹即是真理,男,其他,446,99,467,回复@金拱门粉丝小高:坐等美股明天崩盘1000点。。。,0,2020-01-29 17:52
https://weibo.cn//u/5362501121,金拱门粉丝小高,女,海外,208,405,520,回复@美美大猫猫:同胞为同胞 世界经济观上看 全部取消 中国经济会崩盘的,0,2020-01-29 17:50
https://weibo.cn//u/1789434387,黄思洲啊,男,上海,642,243,224,回复@伊妹儿楚:一堆年龄不到20的 在支持美国？？？b,1,2020-01-29 17:45
https://weibo.cn//u/6468195121,琴鹰是我,女,其他,3466,1553,607,有人说 去年一度松懈让某些人钻了空子 军运会上有问题大家想一想是真的吗,0,2020-01-29 17:38
https://weibo.cn//u/7075536012,少年古城在搬砖,男,其他,139,638,1196,现在来看，美国取不取消航班现在不是第一位的，制造恐慌掌握这次疫情的国际舆论话语权才是第一位的！先说取消，然后再说暂不取消，舆论的话语权就握在手里了，然后再一点点根据节奏放消息引导国际舆论，从而对世卫组织和各国形成越来越大的政治压力！这是一场战争！国际舆论战！,1,2020-01-29 17:37
https://weibo.cn//u/6681045540,忽来哈哈,男,其他,106,725,159,回复@关于祥子20101471:九年义务教育你白上了。,0,2020-01-29 17:32
