评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//dreamscastleofme,昼是太阳的暖Y夜是月亮的蓝,女,海外,26330,1539,1046,能不能给中国其他地区提供一下口罩，都调配一线了，别的地区真的买不到了，过两天坐高铁，还要开始上班，我们怎么办,48740,2020-01-29 07:57
https://weibo.cn//u/2136227927,玛格丽特的点心,女,北京,256,163,220,不敢想象，上班后北京的地铁,20393,2020-01-29 07:56
https://weibo.cn//u/6087985084,楊海燕HooinYoung,女,广东,1066,30,641,对于买不到口罩的民众有什么办法解决一下？到时候还要去上班。,17250,2020-01-29 07:56
https://weibo.cn//u/5676047051,乌日恒_,女,内蒙古,51,255,2142,回复@雪碧侠_SpriteMan:都要像你这么没脑子那完了,0,2020-01-29 23:54
https://weibo.cn//u/5676047051,乌日恒_,女,内蒙古,51,255,2142,回复@雪碧侠_SpriteMan:有意思，我决不决定，你也没资格管，你是哪根葱啊？,0,2020-01-29 23:52
https://weibo.cn//u/5486661609,科研头条,男,北京,54,24,19,转发微博,0,2020-01-29 23:42
https://weibo.cn//graceting1989,reds_grace,女,上海,2080,534,498,回复@三岁的怂怂蛋糕:我们属于除外的通讯行业 没法举报 但是绝大多数人并不是保障网络正常运行的岗位,0,2020-01-29 23:38
https://weibo.cn//u/3478641810,张啊冷,女,黑龙江,146,188,391,回复@我的女友很奇怪:你可真是一口一个轻松，自己爸爸开工资不理解别人呢，人命能和💰比我也是第一次见，来北京不是为了挣钱我说nm呢，站在道德的制高点说别人，因为你这种人永远无法体会我们的辛苦。你都给👴说笑了，你看看你爸爸公司要是上班得肺炎整出个人命要赔多少钱，到时候就不是在家隔离这个简单了，鼠目寸光,0,2020-01-29 23:37
https://weibo.cn//u/3228147487,萤火虫没有光亮,女,天津,2023,1254,603,回复@用知识砸我叭:我家药店根本没货,0,2020-01-29 23:29
https://weibo.cn//moonlight1,-呢喃呢喃啥,女,河北,392,632,797,回复@番茄茄Violet:我们也是 真的是很失望啊,0,2020-01-29 23:28
https://weibo.cn//u/3612995467,零零落零啊吧呼,女,湖南,82,562,583,回复@apocatastasis:16从北京到长沙啦 没我的车次哦,0,2020-01-29 23:23
https://weibo.cn//u/3155545462,橙橙橙子还好吗,女,海南,528,440,221,同意，国务院说延迟，下面小县城初七上班，部分人昨天就已经上班，那就一起死算了,0,2020-01-29 23:08
https://weibo.cn//balloonq,零笑点生抽小姐,女,四川,5624,1398,564,回复@一只臭白熊:谢谢关心~没有在这班地铁上,0,2020-01-29 23:08
https://weibo.cn//u/6199079860,ying_雪颖,女,陕西,150,112,178,     举报             赞[0]         回复             2020-01-29 23:02:59 来自网页,0,2020-01-29 23:02
https://weibo.cn//u/6234703502,康小嚥哥,女,其他,111,28,38,回复@楊海燕HooinYoung:我同事說買不到口罩，扯兩塊佈自己縫一個,0,2020-01-29 23:01
https://weibo.cn//u/5079797985,是洋羊羊啊,男,湖北,20,267,63,回复@若颖吖:不好说 可能会缓解吧。但是好多家庭已经支离破碎 好多人已经撑不到建好的时候,0,2020-01-29 22:49
https://weibo.cn//u/5687858690,冷冻的三文鱼,男,天津,116,85,45,回复@又菜又爱玩orz:,0,2020-01-29 22:46
https://weibo.cn//u/6004441851,月洛落黎,男,其他,66,162,11,回复@盖特Nine9:666,0,2020-01-29 22:33
https://weibo.cn//u/3011461465,马迪-麻油叶,男,北京,2389,108,344,回复@温暖还在o-o:嗯嗯嗯！加油,0,2020-01-29 22:28
https://weibo.cn//u/5057215963,金金小明,男,黑龙江,335,403,195,回复@大摇小晃:官网或者APP试试能不能退票啊？！你工作既然那么随意,0,2020-01-29 22:24
https://weibo.cn//u/3616411985,动感光波biubibi,男,浙江,1,27,13,回复@著名奶茶学者:站街的工作吗？这几天站街还拉得到客吗？,0,2020-01-29 22:16
https://weibo.cn//u/3616411985,动感光波biubibi,男,浙江,1,27,13,回复@著名奶茶学者:哦小学生待在家里扣扣键盘叫别人辞职？眼睛不瞎吧延迟看到了吗还是家里死人了狗急跳墙了？,0,2020-01-29 22:16
https://weibo.cn//u/5301210815,wangsn3,男,黑龙江,3,346,389,回复@小包子--喵:真抢啊那是。昨天我父母忙完了,0,2020-01-29 22:07
https://weibo.cn//u/6019649558,JackeyLove和ig,男,黑龙江,155,558,365,回复@kahdudhfowj:鸡西市鸡东县,0,2020-01-29 22:06
https://weibo.cn//u/5557728535,七擒懵货,女,河南,267,135,83,回复@野庭艳火:你们鸡西的锅巴叫什么？,0,2020-01-29 22:05
