评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/3894810870,Vanaraqaq,女,其他,456,106,56,您好，我想询问一下关于北京可否延迟上班的问题。首先，上海广东浙江已相继推迟上班时间以更好控制疫情，北京未延迟3号的上班时间且有些公司让在外员工提早回京或提早上班。钟院士说近十日是爆发期，请问有想过北京3号上班后各公司人员交叉感染，员工回家后各家庭再交叉感染的后果吗？,11045,2020-01-29 16:44
https://weibo.cn//u/5396011422,SweetDreamxt,女,其他,1237,233,38,求求北京延长假期吧🙏🙏🙏,4716,2020-01-29 16:42
https://weibo.cn//u/6240029725,想做个翻译,女,其他,333,109,24,北京是想给广东上海做一下实验么 看一下能不能大规模交叉感染,0,2020-01-31 09:29
https://weibo.cn//u/3161338020,许愿蔓坨萝TTLLQKA,女,北京,1033,1773,1590,回复@李量118:嗯嗯，好好跟领导说说，其实谁都不想极端，但是人都有自己的底线嘛！我就觉得安全第一。,0,2020-01-31 09:28
https://weibo.cn//u/7343945137,文学研究僧,女,北京,102,63,15,回复@whsex:可以吧，只是停放会麻烦一些，然后六环以内都需要办进京证，长期在京工作的人应该知道,0,2020-01-31 09:21
https://weibo.cn//liang0118,李量118,男,北京,63,2962,108,回复@许愿蔓坨萝TTLLQKA:你们还是很人性化，继续观望看看但是有什么变化吧,0,2020-01-31 09:20
https://weibo.cn//u/3183447732,whsex,女,其他,1089,23,17,回复@晨梦丹心:我周日想从外地开车到四环 看来是不行了？,0,2020-01-31 09:18
https://weibo.cn//u/2189293740,_NNNamr,男,广东,97,748,892,     举报             赞[0]         回复             2020-01-31 09:17:49 来自网页,0,2020-01-31 09:17
https://weibo.cn//u/7343945137,文学研究僧,女,北京,102,63,15,回复@祖涵一号:让啊，只是更不方便了而已。,0,2020-01-31 09:15
https://weibo.cn//u/7343945137,文学研究僧,女,北京,102,63,15,回复@whsex:限制使用和停放,0,2020-01-31 09:15
https://weibo.cn//wrwlife,喵星人vivi努力适应地球ing,女,北京,4914,886,1505,我阴谋论一点，这是企业趁机优化的好时机//,0,2020-01-31 08:55
https://weibo.cn//u/7359974113,南瓜南瓜x,男,海外,0,4,75,加油,0,2020-01-31 08:51
https://weibo.cn//u/3936539882,蜜蜜蜜蜜喵,女,北京,1125,395,120,请延长假期！,0,2020-01-31 08:48
https://weibo.cn//u/3183447732,whsex,女,其他,1089,23,17,回复@晨梦丹心:北京限制外地车牌了吗？,0,2020-01-31 08:47
https://weibo.cn//u/5222718132,胡军V微博,男,湖南,6621,2976,595,加强筛查，群防群治，动员有可疑接触史的人主动隔离！,0,2020-01-31 08:47
https://weibo.cn//u/2720491905,半拉虎,男,北京,308,1043,407,可防可控……,0,2020-01-31 08:29
https://weibo.cn//u/6907325614,打官司那些事,男,河北,55,802,74,各位在家稳住！,0,2020-01-31 08:19
https://weibo.cn//u/6907325614,打官司那些事,男,河北,55,802,74,听政府的话，在家待着哪也不去，否则去了就回不了家了！,0,2020-01-31 08:15
https://weibo.cn//u/2369801345,Junkm4n,男,北京,17,790,129,回复@一只米妮_ture:哎，好吧。看看国家怎么安排吧。,0,2020-01-31 08:14
https://weibo.cn//u/2760957115,淼姐爱美食,女,山西,340,182,54,山西忻州，我们这5线城市，药店一个口罩50，还要预订，发国难财的人无耻！,0,2020-01-31 08:14
