评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/2792780750,少女陈铁铁,男,广东,44341,312,538651,一人吃野味，全球都受罪。管不住B嘴，喂口屎堵嘴。,48284,2020-01-29 15:33
https://weibo.cn//521lang,钼铧,男,上海,50,30,316765,初五 晴 我躺在床上情绪失控18次，心脏跳动56719次，眼睛眨了588次，我实在想不通哪个2b为什么要吃蝙蝠？她想补什么？难道是想为了上厕所不用点灯吗？,29747,2020-01-29 15:34
https://weibo.cn//u/6386283285,小王小王变成大王,男,北京,78,483,11,因为口罩供应不上才这么说吧,25012,2020-01-29 15:34
https://weibo.cn//u/5379717587,雪梨熬好了吗,女,安徽,908,732,270,回复@九块六毛三的小薛:,0,2020-01-30 09:37
https://weibo.cn//seonggwang,成光爱折腾,男,海外,36,15,1302,回复@笑点很乱:最重要是 病原体是未知的 不是用眼睛可以看到的 又没有检测的东西 我们怎么知道有没有接触过病原体   如果都能知道 现在还用封城么  只要都说实话 就不会扩散了啊,0,2020-01-30 09:35
https://weibo.cn//u/1819778425,garfey_30492,女,黑龙江,2883,84,44,转发微博,0,2020-01-30 09:35
https://weibo.cn//u/2005408860,仙女的猫喵喵喵,女,辽宁,770,145,188,回复@婳婳mm:姐妹你咋醒这么早,0,2020-01-30 09:33
https://weibo.cn//u/5142523408,般若自在128,女,其他,129,359,111,回复@妖哥十八岁:现在有没有问题都是运气成分居多，你那个超市没有武汉回来的人肯定安全，如果刚好有个武汉回来的在里面买东西，那个口罩肯定没用了，如果口罩充足当然换勤快一点好，现在不舍得经常换口罩那是因为口罩稀缺，不代表口罩真的可以戴三四天，拆开包装那个口罩本身就被污染了，何况三四天里戴起摘下的,1,2020-01-30 09:32
https://weibo.cn//u/5731010707,坤坤必上岸,男,其他,153,236,36,回复@日不落城主:呦，你个没脑子的，还好意思问我,0,2020-01-30 09:29
https://weibo.cn//u/2551785983,1a入-_648,女,其他,1,3,1,回复@易先生家的妍子:……后来看了看他名字，误会,0,2020-01-30 09:29
https://weibo.cn//u/6087308298,一揽明月寄相思,女,广西,553,136,22,回复@喜欢菅田将晖的小张:人口基数大,0,2020-01-30 09:27
https://weibo.cn//u/5142523408,般若自在128,女,其他,129,359,111,回复@章鱼哥我海绵宝宝啊:如果口罩充足肯定换勤快一点好，所以现在什么时候换口罩取决于家里还有多少口罩，不舍的经常换还不是因为稀缺，楼主虽然说的直白，但人家也没说错，我觉得底下说可以戴好几天的人才是杠,1,2020-01-30 09:27
https://weibo.cn//u/6087308298,一揽明月寄相思,女,广西,553,136,22,回复@喜欢菅田将晖的小张:朝阳,0,2020-01-30 09:27
https://weibo.cn//u/6087308298,一揽明月寄相思,女,广西,553,136,22,回复@喜欢菅田将晖的小张:北京,0,2020-01-30 09:27
https://weibo.cn//u/5191053977,小碧池yo,女,广东,1,61,44,回复@钼铧:蝙蝠炖汤，棺材反光。,0,2020-01-30 09:27
https://weibo.cn//u/5675019942,我的宝藏弟弟,女,四川,343,81,179,回复@潘米奇米米子_:哈哈哈 那我俩想法一样 但是看其他网友说的感觉不现实,0,2020-01-30 09:24
https://weibo.cn//leohead,真实中的谎言-妥爸,男,四川,27613,955,201152,其实可以说得更通透一些……,0,2020-01-30 09:24
https://weibo.cn//u/5396850585,xxk永远守护珺远,男,浙江,683,1328,286,口罩一次性的应该要每天换吧？,0,2020-01-30 09:23
https://weibo.cn//NQYAGnay,totheend,女,黑龙江,948,178,7,回复@仙女挥舞狼牙棒:好 谢谢姐妹,0,2020-01-30 09:14
https://weibo.cn//u/1412779214,张思莱医师,女,北京,140198,898,4857746,转发，关于戴口罩。//,0,2020-01-30 09:10
https://weibo.cn//u/1743934024,套子里的里波蒂,女,山西,1362,261,404,可以听吗？之前不是说不传染的吗？,0,2020-01-30 09:07
https://weibo.cn//u/3799037421,友友99_1030,男,湖北,139,71,112,回复@闭嘴吧沙雕:有买就有卖，有卖就有买，有买有荬就有吃。,0,2020-01-30 09:04
https://weibo.cn//u/2010944291,鸿博涨涨涨,男,浙江,786,334,300,淡定淡定，砖家都是这样的，能言善变。,0,2020-01-30 09:04
https://weibo.cn//u/2516514951,别恙得意hi,女,湖北,2181,561,652,没有口罩,0,2020-01-30 09:03
https://weibo.cn//u/6367236971,好味道198411,男,重庆,6,61,8,不想说什么……,0,2020-01-30 08:58
https://weibo.cn//u/6367236971,好味道198411,男,重庆,6,61,8,减少不必要社会资源浪费,0,2020-01-30 08:55
https://weibo.cn//qixianlong,敏感肌终结者龙叔,男,陕西,12172,818,151759,生产供销跟不上的举措。我还是建议提一下棉纱口罩//,0,2020-01-30 08:55
