评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/2249872265,刘安娜小提琴的大备胎,女,广西,1003,495,1907,默默付出，感恩,7786,2020-01-29 20:24
https://weibo.cn//u/6632610084,-MIEIM-,女,上海,6147,168,536,感谢一线工作者，辛苦了啊啊真的感谢你们,6757,2020-01-29 20:24
https://weibo.cn//u/6706069922,哼w名字里一定要带锦鲤,女,其他,191,22,33,心疼,4937,2020-01-29 20:23
https://weibo.cn//u/7421223345,自在小幸福嘿嘿,男,其他,234,154,3,这么久了，看到还是泪目,0,2020-10-25 09:41
https://weibo.cn//u/1741005377,马尾姑娘热心肠912,女,江苏,21958,5520,765,  致敬所有英雄们和白衣天使们，❤️❤️❤️❤️❤️❤️❤️❤️❤️你们辛苦了！！！愿你们健康平安！！！🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻,0,2020-07-01 20:20
https://weibo.cn//u/7247916438,今天做个小可爱了吗,女,云南,362,108,4,感恩,1,2020-06-12 11:29
https://weibo.cn//u/3185294914,丁真好朋友珍珠饲养员,男,福建,900,2891,304,感恩,1,2020-06-04 12:24
https://weibo.cn//gwendoline,Gwendoline,女,上海,1039,840,483,台独,0,2020-03-10 19:52
https://weibo.cn//u/2707068452,橙子柠萌,女,广东,85,123,118,致敬,0,2020-03-08 14:09
https://weibo.cn//u/7340329396,想要看笑話,男,台湾,5,58,1,屍體嗎,0,2020-03-06 18:11
https://weibo.cn//u/5627887070,王小妞niu1314,女,四川,57,190,53,陶晶莹不是台独吗？,0,2020-03-05 23:45
https://weibo.cn//u/2994544952,Yelyne,女,广东,6,78,38,心碎,0,2020-03-05 19:07
https://weibo.cn//u/5938659611,45度望天空2019,女,四川,882,563,105,好心疼,0,2020-02-29 12:45
https://weibo.cn//u/5675766787,吃堡堡的宝宝,女,江苏,662,774,833,@你可以站这在我的伞下,0,2020-02-28 23:22
https://weibo.cn//u/5997271600,喵小姐张嘉家,女,河南,408,855,154,觉得自己能在家真的是太幸福了，谢谢他们,0,2020-02-26 13:59
https://weibo.cn//u/5653310641,小螺号滴滴笛吹,女,其他,8,9,2, 看看给人累成啥样了，我好好意思吵吵累,0,2020-02-23 22:29
https://weibo.cn//u/2349526200,羲之艺术中心-陈智燊,男,广东,378,1161,970,伟大的医务人员,0,2020-02-23 13:25
https://weibo.cn//u/6900522789,林青云4615,男,广东,974,186,1,呼吁大家一起为医生护士捐赠折叠床吧，得不到休息也不行，身体会熬坏的,0,2020-02-23 01:29
https://weibo.cn//u/6513249969,王俊凯要发大财kk,女,重庆,15564,999,1644,加油加油加油！！！,1,2020-02-21 14:16
https://weibo.cn//u/2167119787,mengdiefeifei,女,山东,3093,658,100,回复@liumeihu134:张艺谋大导演曾经拍过电影《唐山大地震》，真实地再现了当时的情景。,0,2020-02-21 08:06
https://weibo.cn//u/7383494587,夜幕下的孤鸥,男,其他,108,6,1,我不知道你是谁，但我知道你是为了谁,0,2020-02-18 21:33
https://weibo.cn//u/3309028445,嗯怡怡怡,女,其他,651,165,51,辛苦了,0,2020-02-17 15:55
https://weibo.cn//u/5108206372,抱抱我的小树,女,福建,350,81,53,加油加油加油,0,2020-02-16 15:58
https://weibo.cn//u/5690639177,小猫默凡,女,河南,1418,304,1187,忙起来能睡会真的觉得在哪里睡都是幸福的,0,2020-02-15 21:01
https://weibo.cn//u/3166896127,宇宙和平卫士王老细,男,山西,72,606,667,@呼啦呼啦小小圈,0,2020-02-15 16:48
https://weibo.cn//u/5166895521,铁岭小雏菊,女,湖北,2773,311,143,听说你是崔双莲的女儿,0,2020-02-15 07:44
https://weibo.cn//liuyuezhu,DalaLola,女,海外,267,376,688,我的天。我们应如何帮助他们?,0,2020-02-15 00:30
https://weibo.cn//u/1623857210,POLLYYYY_,女,四川,8441,889,2834,双11囤了很多卫生巾，想捐，请问怎么捐？,0,2020-02-14 23:56
https://weibo.cn//u/5243412043,太冷我要去北极,女,海外,100,979,1436,辛苦了！感恩,0,2020-02-14 23:26
https://weibo.cn//u/3789609183,凤凰涅槃lrh,男,其他,3831,133,462,最最可敬可佩的疫情防控一线医务人员，太累了！病人吃、喝、拉、撒、治病都全包，没有护工，穿上防护服后基本一整天不能上厕所……,0,2020-02-14 08:48
https://weibo.cn//onlyddduo,如果是条鱼,女,福建,964,287,1175,加油！,0,2020-02-13 19:17
https://weibo.cn//u/6104547211,carpediem-MOLI2017,女,其他,45,1162,210,辛苦了真的！谢谢真的谢谢,0,2020-02-12 23:34
https://weibo.cn//u/5977044275,20岁就发光,女,江苏,2873,96,474,没有你们可怎么办,0,2020-02-12 11:10
https://weibo.cn//u/1944070161,昏昏欲睡的小猴子,女,上海,1128,253,193,致敬,0,2020-02-11 16:19
https://weibo.cn//u/6426548320,丰丰粉12,女,上海,1345,342,98,把口罩防护衣给配好再去贡献吧，病菌又听不懂口号,0,2020-02-11 15:05
https://weibo.cn//u/1773653633,猫宝宝呀,女,上海,485,62,359,一定要照顾好自己！辛苦了,0,2020-02-11 14:43
https://weibo.cn//u/1898765147,jade-wang,女,辽宁,1136,673,351,睡姿算什么，插管的也适当报道一下啊,0,2020-02-11 14:20
https://weibo.cn//u/5936197783,俺不是大哥大,男,河南,252,732,78,有些人还好些官僚主义呢，,0,2020-02-11 14:16
https://weibo.cn//u/2837568370,戗不戗,男,其他,1110,246,206,辛苦了！,0,2020-02-11 14:11
https://weibo.cn//u/2767294967,2022地球人,女,其他,709,152,126,心疼,0,2020-02-11 14:10
https://weibo.cn//liao88,深圳阿訇,男,广东,1403,1337,466,行军床高一些,0,2020-02-11 14:10
https://weibo.cn//u/6013313355,猴子讲故事,男,北京,10792,2660,521753,//,0,2020-02-11 14:09
https://weibo.cn//u/1463891232,ddding520,女,上海,2209,466,9298,致敬,0,2020-02-11 14:07
https://weibo.cn//u/6268466579,是魚丸有肉松-,女,福建,53,622,923,你们辛苦了,0,2020-02-11 12:29
https://weibo.cn//queenbling0o0,B-LLLLLLL,女,其他,200,206,145,真的辛苦了 父母的孩子们 孩子的父母们 愿你们平安归家,0,2020-02-11 11:06
https://weibo.cn//u/5787797234,温和v,女,其他,245,1105,164,唉 我们胖了 她们不知道要瘦多少啊,0,2020-02-11 01:00
https://weibo.cn//u/5086650914,长白山狐小糖,女,海外,370,63,2479,     举报             赞[0]         回复             2020-02-10 14:30:28 来自网页,0,2020-02-10 14:30
https://weibo.cn//u/5278348592,振飞枪神,男,山东,803,156,198,石正丽。,0,2020-02-10 11:04
https://weibo.cn//u/6065402813,樱桃味的YN,女,上海,84,944,2412,心痛又心疼,0,2020-02-10 09:51
