评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//cctvxinwen,央视新闻,男,北京,138826,2712,116133637,【网友说：等春暖花开，一起去武汉看樱花,126,2020-01-28 15:59
https://weibo.cn//u/3727899577,素小喵喵,女,广东,164,163,177,周总理说过：咱们爱咱们的民族，这是咱们自信心的源泉。越是特殊时期，越不能自乱阵脚。保护好自己，也相信一线的医护工作者！,1998,2020-01-27 10:12
https://weibo.cn//u/1974633625,海Y清,男,辽宁,25799,27,8190,据说，武汉当地并没有这两座山，两座应急医院分别取名火神山和雷神山，很明显有易学高人指点，也体现了官方对中国优秀传统文化的高度认可。从五行角度来讲，肺为金，肺病为邪金，金怕火克，取名火神，很明显寓意是用火来克制邪金。雷神也是如此，雷为电、也为火，双管齐下，克制瘟神。是这样吗？,1800,2020-01-27 10:14
https://weibo.cn//u/3098878785,苏大喵的苏小喵,女,上海,476,247,290,数据缓冲,0,2020-02-03 20:47
https://weibo.cn//u/1640063615,大飞哥塔哥,男,山西,645,457,482,2221.7万人,0,2020-02-03 20:44
https://weibo.cn//u/1739046054,聿人行走,女,重庆,225,65,59,人太多挤不下了,0,2020-02-03 20:43
https://weibo.cn//u/2586645767,林子曰LINZ,男,广东,851,381,261,挤爆啦挤爆啦哈哈哈哈哈,0,2020-02-03 20:43
https://weibo.cn//u/5569392143,叫我一声Kevin你敢答应吗,男,湖北,308,195,86,？？？？,0,2020-02-03 20:42
https://weibo.cn//u/2180365890,吴彦洁_,女,湖北,933,212,814,闲疯帝来了！网络崩了,0,2020-02-03 20:42
https://weibo.cn//u/5893946678,一个人的王国L,男,北京,173,75,47,啊哈？,0,2020-02-03 20:41
https://weibo.cn//u/3284429460,倩盼舜华,男,福建,460,108,156,     举报             赞[0]         回复             2020-02-03 20:40:45 来自网页,0,2020-02-03 20:40
https://weibo.cn//u/3284429460,倩盼舜华,男,福建,460,108,156,我刚来请问各位监工怎么回事,0,2020-02-03 20:40
https://weibo.cn//u/3284429460,倩盼舜华,男,福建,460,108,156,     举报             赞[0]         回复             2020-02-03 20:39:55 来自网页,0,2020-02-03 20:39
https://weibo.cn//u/7302923906,人似当时否---,女,海外,1325,107,3,加载失败,0,2020-02-03 20:39
https://weibo.cn//u/7302923906,人似当时否---,女,海外,1325,107,3,加载失败,0,2020-02-03 20:39
https://weibo.cn//834494292,shenhark2017,男,广东,1365,439,351,网络爆了,0,2020-02-03 20:39
https://weibo.cn//jasonjchang,深圳市民张大林,男,广东,41,107,72,深圳来了,0,2020-02-03 20:39
https://weibo.cn//u/1829475981,A粉红色的大象,男,山东,852,565,67,网络都被监工们挤爆了,0,2020-02-03 20:39
