评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//271177344,荷尓蒙,男,北京,292,473,289938,大家关注环卫工人，天天接触特别是废弃的口罩等等的垃圾，希望都能给他们提供必备的口罩等基本物资，还有很多空巢老人和一些流浪汉，希望都能得到相关地区的照顾！！！,7182,2020-01-27 11:39
https://weibo.cn//u/5209219417,舒泱7,女,四川,1128,323,299,已经取票了怎么办，家里是村里的，去窗口办理得坐很久的车去市区，可是村里已经封路了,5443,2020-01-27 11:41
https://weibo.cn//u/1836664350,枫华L,男,上海,809,148,140,建议取过纸质火车票的也可以在网上办理退票，或者延迟退票时间。,3039,2020-01-27 11:41
https://weibo.cn//u/3815002012,z娅玲,女,其他,374,592,137,机票呢？麻烦赶紧出相关免手续费的政策吧，退票扣的钱也太多了吧，国家号召就地过年，但是又不免费退票啥意思？,0,2021-01-22 22:42
https://weibo.cn//u/5195687504,spongebob95518,男,其他,175,13,2,航空公司的怎么办？很早之前就买票了，都倡导就地过年了，不能免费退票吗？回不去家还要扣钱,0,2021-01-17 21:36
https://weibo.cn//jiangph2014,天才的小灰灰,男,山东,868,503,258,回复@超叛逆啊呜:退机票还不收手续费的话，航空公司会亏死的,0,2021-01-15 09:50
https://weibo.cn//u/5711674708,小圆儿今天不想减肥啦,男,山东,1307,410,84,为什么车票会涨价啊，我裂开了，页面显示的是278结果学生票按333的打折，关键是我之前的时候买都是按278打折的,0,2021-01-13 22:45
https://weibo.cn//kyourakushunsui,花畑佳子,男,北京,2892,186,358,12.29退票，扣了手续费。致电12306客服答复：除大连外，全国各地都没有免手续费政策,0,2020-12-29 09:52
https://weibo.cn//u/6870637402,月亮泡麪,女,其他,8,24,2,那别的票呢？？？,0,2020-07-12 01:28
https://weibo.cn//u/2929587543,二不休y,男,北京,600,301,121,回复@夜来八荒:你有毒吧，大过年的说话这么凶,0,2020-04-22 17:18
https://weibo.cn//u/2961178872,六颗星星,女,江苏,274,160,1006,回复@-你牵我手:一,0,2020-04-15 18:34
https://weibo.cn//576492244,吉秋楠,男,北京,208,72,100,回复@Elliott77:打12306问问,0,2020-04-02 12:14
https://weibo.cn//u/6619357897,抱走Mike010,女,福建,5,138,3,回复@小野Hank:我之前忘记改签了，后面当天的票当天去退说退不了，后面听说得在三月份才可以 我是网上买的没有取票 如果现在去能退吗?,0,2020-03-20 21:59
https://weibo.cn//u/3963986898,Elliott77,男,广东,2,426,545,回复@吉秋楠:2月3号的也可以任意车站么？,0,2020-03-20 21:38
https://weibo.cn//u/3963986898,Elliott77,男,广东,2,426,545,回复@华同学a:延期的可以任意车站退票么？,0,2020-03-20 21:35
https://weibo.cn//u/5709711942,多吃饭会肥de,女,其他,588,493,272,我办的学生票，学校还没通知,0,2020-03-20 01:41
https://weibo.cn//u/6218549949,youwjjj,女,北京,27,195,22,政策出台前在这期间的退票不给返还。打人工客服说政策里没有单独说已经扣过的手续费需要返还？是政策漏洞还是执行的人嫌麻烦呢？,0,2020-03-14 19:31
https://weibo.cn//u/1884811627,丸喃_,女,其他,28,286,230,想知道火车上明明有这么多空的车厢 非要把人都挤在一个车厢里 难道这样不会增加交叉感染的几率吗,0,2020-03-14 06:11
https://weibo.cn//u/5580839878,鄂X0710F,男,湖北,155,1937,87,湖北老乡和受疫情影响隔离在湖北的所有朋友们，你们出省了吗？12306扣的那百分之二十手续费挣回来了吗?,0,2020-03-13 12:35
https://weibo.cn//u/3828971592,是llyy啊,女,云南,13,481,184,如果四月份开学了，学生票还是只能到3月31日吗？,0,2020-03-11 19:27
https://weibo.cn//u/6453211461,绘白衣丿,男,安徽,18,21,3,学生票怎么办啊，3月31号之后就不能买学生票了，可是大学基本上3月以后开学啊，这怎么解啊！,0,2020-03-11 17:18
https://weibo.cn//u/6604242746,紫樱雨48500,男,其他,0,58,1,垃圾铁路，收20%手续费，,1,2020-03-10 20:52
https://weibo.cn//u/3247689875,用心了解他人勾勒出的白羊座,女,北京,242,262,143,12306很多车次，始发站看票多的是，但是从中途买就没有票。这时就需要抢票，加钱才有可能买到。呵～,0,2020-03-10 12:53
https://weibo.cn//u/6613543842,辰颐的陈怡,女,广东,180,349,127,取了票，在车站退票了，票务员给了一张“中国工商银行”的票根给我，请问一下退的车票钱怎么到账？,0,2020-03-09 13:35
https://weibo.cn//u/2239669035,Siyama,女,其他,1,29,4,不是实行隔位坐吗？为什么整个车厢全挤满了人,0,2020-03-08 09:05
https://weibo.cn//u/5565794932,卖房子的lulu,女,海外,18,439,76,买了2张票 村子封路了今天去火车站退票 工作人员说车子已经开了 退不了 300多块钱就这样没了,0,2020-03-07 22:45
https://weibo.cn//u/1949689263,善齐小善哥,男,广东,1101,232,1876,12306退票开始扣费了,1,2020-03-07 14:51
https://weibo.cn//576492244,吉秋楠,男,北京,208,72,100,回复@七霞oO:现在再任何火车站都能退票了，已经退了，钱还没到位,0,2020-03-01 20:24
https://weibo.cn//u/2943546273,巫者森罗生,男,贵州,1552,90,399,坑人，手续费扣了六十多！！！,0,2020-02-29 12:06
https://weibo.cn//u/5648483895,你妹叫你拿快递,女,北京,3198,265,99,回复@天上掉下个招阿宝:嗯？之前不是说都没有手续费了吗,0,2020-02-29 11:47
https://weibo.cn//u/5394962690,玻黎恋空,女,浙江,8046,279,22,回复@RaoKunIsFine:怎么，是铁路部门封了你的路吗？铁路也是逆行者，最危险的时候，铁路不是也照常上班，他们也是一线好吗！之后出来的一系列退票措施有目共睹，就你们宅在家的动动手机在微博上建议这个建议那个，搞得自己是上帝，啥都得为你们考虑周全，还有明明外省的都在帮你们湖北省，竟然还要被你喷，呵呵,0,2020-02-29 06:59
https://weibo.cn//u/5510249153,康康1212345,女,内蒙古,72,218,42,我退票手续费全扣了怎么回事,2,2020-02-28 08:31
https://weibo.cn//u/5289668808,但愿长睡不复醒G,女,其他,1090,770,204,回复@白小乘:我也,0,2020-02-27 21:07
https://weibo.cn//u/5289668808,但愿长睡不复醒G,女,其他,1090,770,204,回复@一颗柠檬要成精惹啊呜啊呜啊呜:我也是，还不如没看见这个通知,0,2020-02-27 21:07
https://weibo.cn//u/5881644935,sunbugshine,女,湖北,5140,113,59,打了12306客服电话，询问已退票的扣除手续费何时退换的事情，客服说他们没有接到通知,1,2020-02-25 09:53
https://weibo.cn//u/1794596960,木三虞,女,四川,4,21,40,没用的，玩的文字游戏，手续费还是要扣的。,1,2020-02-24 13:42
https://weibo.cn//u/1942338932,是小京呀是你爸爸呀,男,其他,1172,456,10573,刚退完票，手续费，扣完了,1,2020-02-23 16:44
https://weibo.cn//u/7095149389,不止于此78759,男,其他,1,69,2,我2月18号买的票，被扣了10%！然后2月2号买的的票。被吃了190多！没有一个有用的政策！吃人不吐骨头,0,2020-02-23 13:08
https://weibo.cn//u/7331996674,阿刚正传2701,男,上海,46,478,1,回复@心甘于平淡:一般几天？,0,2020-02-23 04:12
