评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/6938562198,小车可不是吃素的,女,浙江,25315,510,1433,建议全国吧,45638,2020-01-27 13:52
https://weibo.cn//u/3808762401,小姚俗人一个,女,浙江,21574,1590,1315,河南学生收到！,38864,2020-01-27 13:52
https://weibo.cn//u/5791856567,KUN冬杨杨杨吖,女,河南,6278,242,14469,我们河南真好,28680,2020-01-27 13:52
https://weibo.cn//u/7361764985,我知道你66474,男,其他,0,40,1,看看河南单招考生吧，在高考后，变相没有单招,0,2020-06-01 21:55
https://weibo.cn//u/7167954901,野蛮生长_201905,女,北京,2,94,1,不知道有没有跟我一样高三中职的，学生，弱弱的问一句，今年河南省还有单招的存在吗？,1,2020-05-27 17:23
https://weibo.cn//u/6557695171,你管得住我吗520,女,其他,31,307,5,就是，河南是人口大省，一个不注意就可能没命了。还是等疫情全没了再开学吧！！！！,0,2020-03-28 15:10
https://weibo.cn//u/6819261231,Mage_lun,男,河南,14,31,4,回复@一只不吃鱼的dyy:大河南欢迎你,0,2020-03-27 18:17
https://weibo.cn//u/6986902708,Lee迪士尼在逃公主,女,其他,8,121,10,山东也这样啊,0,2020-03-25 16:07
https://weibo.cn//u/5524429658,卡马戏的98450,男,其他,1,276,3,你们一样开学妈，不希望吧，贱你们不希望我希望，闭嘴！！！！！羊驼羊驼羊驼,0,2020-03-24 17:44
https://weibo.cn//u/6977945593,丫头38998,男,其他,50,425,12,奥利给,0,2020-03-18 13:06
https://weibo.cn//u/6074132015,20_玲0,女,河南,3643,2623,115,回复@二玖零-:着了,0,2020-03-11 10:53
https://weibo.cn//u/6074132015,20_玲0,女,河南,3643,2623,115,回复@今天也要睡觉呀:奥利给！,0,2020-03-11 10:52
https://weibo.cn//u/6517279915,沐曦yxyasdfghjkl,男,其他,2,90,8,河南高三表示真的很难,0,2020-03-09 17:23
https://weibo.cn//u/7375210592,大兰兰哈哈,女,其他,0,8,1,好！,0,2020-03-09 13:21
https://weibo.cn//u/7186925358,草莓味的芒果糖糖,女,其他,0,72,1,回复@千黛汐Rebecca:省长是俺累，恁想都别想,0,2020-03-09 09:25
https://weibo.cn//u/7186925358,草莓味的芒果糖糖,女,其他,0,72,1,回复@KUN冬杨杨杨吖:身为河南人，我骄傲！,0,2020-03-09 09:23
https://weibo.cn//u/5350573788,不要叫我达芬奇sb,女,青海,2292,624,130,回复@热热的甜汀软糖:就是啊比起开学更怕死,0,2020-03-02 02:58
https://weibo.cn//u/6510446218,狮子家的猫咪k,男,其他,1579,439,218,回复@衺東:哈哈哈哈哈,0,2020-02-29 11:00
https://weibo.cn//u/7302427876,是某安吖,女,其他,12,110,3,河南硬核,0,2020-02-29 08:00
https://weibo.cn//u/5751016269,EULBOO,女,河南,12,20,99,疫情不控制住真的没法开学，命比什么都重要,0,2020-02-28 20:19
https://weibo.cn//u/6213827248,初心之初h,男,河南,6,101,6,回复@大大大大蓝胖子:俺们河南哩胡辣汤好喝哩很呀,0,2020-02-28 13:59
https://weibo.cn//u/6213827248,初心之初h,男,河南,6,101,6,回复@北城夏屿:俺们河南哩高考你要不要了解一下,0,2020-02-28 13:57
https://weibo.cn//u/6213827248,初心之初h,男,河南,6,101,6,回复@桂冰玥:河南的高考……了解一下,0,2020-02-28 13:56
https://weibo.cn//u/6213827248,初心之初h,男,河南,6,101,6,回复@风青城:说的也对哈,0,2020-02-28 13:55
https://weibo.cn//u/6213827248,初心之初h,男,河南,6,101,6,回复@WE_Genius:羡慕我们河南的高考吗？一起来感受一下我们河南的高三生活多丰富多彩吧！,1,2020-02-28 13:53
https://weibo.cn//u/6213827248,初心之初h,男,河南,6,101,6,回复@吃素的小车:为我们大河南点赞,1,2020-02-28 13:23
https://weibo.cn//u/6338283378,某月柒秋叶初凉,男,河南,142,383,8,河南不开学就代表全国不开学，信我,0,2020-02-28 08:51
https://weibo.cn//u/5095598872,姿凡_SMILE,女,河南,1033,267,1274,河南棒棒哒,0,2020-02-27 14:53
https://weibo.cn//u/5847220549,囤小软,女,其他,485,330,213,就算延迟也三月赶紧开学叭 受不了了 拖不起,0,2020-02-27 13:50
https://weibo.cn//516091239,dream_小阿遠,女,河南,25575,234,13811,太棒了，昨天差点要zha了我都，公交车没恢复口罩也不够，通知说让做好开学准备,0,2020-02-27 13:47
