评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/6883886955,记得爱老子,男,海外,623,30,25525,浙江蹲完南京蹲,60248,2020-01-27 15:31
https://weibo.cn//u/3925835521,Vicki靖公主,女,江苏,6068,349,695,卧槽，啥情况？想弄死我们包邮区?,49629,2020-01-27 15:31
https://weibo.cn//u/2352761434,-伪学长-,男,其他,964,98,151574,江浙沪跑一遍？？？真是没有心,33059,2020-01-27 15:32
https://weibo.cn//u/2647702442,lailelaile,女,湖北,439,121,102,回复@铁哥的头号迷妹:武汉有接近200万的大学生，还有外地来汉务工人员，他们和你们一样，并没有提前得知疫情爆发，选择在春节这样一个团圆的日子里和家人团聚，或是旅游有什么错吗？请不要用冰冷的言语，让武汉人心寒，他们也是中国人，是我们的同胞,0,2020-01-28 22:51
https://weibo.cn//u/2647702442,lailelaile,女,湖北,439,121,102,回复@我以为-200005:你的意思是让同胞回不了国？你的意思是抗日战争的时候，大家都要先计较个人的得失，然后再对日作战？,0,2020-01-28 22:47
https://weibo.cn//u/1768878594,White_Yi,女,北京,576,538,354,回复@北极燕鸥-飞行之王:给你和你妈积点口德 别乱叫了,0,2020-01-28 22:23
https://weibo.cn//u/5660555339,陈小妞CYQ,女,广西,10,70,60,回复@Decmever:好想出去放放风，哪怕给我走到村口都好,0,2020-01-28 22:02
https://weibo.cn//u/6034452030,未完待续代旭归来,女,其他,578,205,59,回复@涼綸:是从武汉带走的 但也有不是武汉人 武汉作为一个中转站 每个人经过都有可能会带走病毒,0,2020-01-28 22:00
https://weibo.cn//u/6034452030,未完待续代旭归来,女,其他,578,205,59,回复@涼綸:但也希望你们别一杆子打翻一条船,0,2020-01-28 21:58
https://weibo.cn//u/5354070964,我本人超棒der,男,湖北,38,42,26,回复@陈小妞CYQ:我也是啊，天天蹲在家,0,2020-01-28 21:43
https://weibo.cn//u/5660555339,陈小妞CYQ,女,广西,10,70,60,回复@Decmever:想出门，长了一个星期蘑菇了,0,2020-01-28 21:33
https://weibo.cn//u/5354070964,我本人超棒der,男,湖北,38,42,26,回复@陈小妞CYQ:而且今天超多好消息的,0,2020-01-28 21:30
https://weibo.cn//u/5660555339,陈小妞CYQ,女,广西,10,70,60,回复@Decmever:今天看到治愈两例了，终于好受一点,0,2020-01-28 21:28
https://weibo.cn//u/6222813681,onlybbhlove,女,浙江,696,253,46,回复@猫小喵的胡萝卜:是滴，五年爱丽,0,2020-01-28 21:25
https://weibo.cn//u/1461434614,E固体海洋E,男,江苏,87,59,30,回复@橙橙澈:,0,2020-01-28 20:51
https://weibo.cn//zuofj,双子星5168,男,江苏,5054,719,872,回复@小文物保护工作者:现在已经发生了说再多也没用了,0,2020-01-28 20:27
https://weibo.cn//zhujinglucy,静儿lucy,女,江苏,4306,703,216,回复@__4444zz__:秒懂,0,2020-01-28 20:24
https://weibo.cn//u/5995064842,不渡苦厄V,男,江苏,12,224,67,我们溧水这小地方，医疗水平都不高，放我们溧水来干嘛……全部表扬南京，溧水人民很苦。你们可知道他们直接安排在了我们溧水中心地段的酒店？,0,2020-01-28 20:24
https://weibo.cn//u/5291800923,陈陈橙ikun,女,江苏,743,166,657,回复@二11哦:你笑死我了，姐妹,0,2020-01-28 20:18
https://weibo.cn//u/5130726842,陈改改Shermie,女,安徽,197,125,109,我就是航班乘客当中的一员，麻烦大家顶我上去，看下我的微博说明～,2,2020-01-28 20:17
https://weibo.cn//u/5340487734,jeffavorite,女,江苏,248,734,107,总结来说，乱跑的wh人没有心（在家隔离的wh人看到不要喷我哦，我说了是乱跑的wh人哦），但是对wh这座城市寒心了,0,2020-01-28 20:13
https://weibo.cn//u/6212011120,芒果超超级好次,女,湖北,71,355,46,不知情去了泰国，回来航班取消落地南京吧，泰国没地方隔离,0,2020-01-28 20:07
https://weibo.cn//u/2629808771,叶不耶啊,女,浙江,16,256,250,回复@陈陈橙ikun:我以为上海的，要么就是独立的，连云港我以为山东的,0,2020-01-28 20:02
https://weibo.cn//u/7351843218,MyIndigoChild,女,福建,137,183,6,回复@Angela的移动城堡:我的确该自省,0,2020-01-28 20:01
https://weibo.cn//u/5889202470,谢雨澄99,男,上海,2,164,2,回复@乌米是个疯老婆子:武汉12月初就有问题了 都是瞒着的 这就算了 大家都为了他们在家躺 那也算了 还到处说我们歧视武汉人 你好好的在家隔离 谁会去骂呢 满世界飞还瞎得瑟 不是招骂嘛,0,2020-01-28 19:52
https://weibo.cn//u/3746317471,我我我改个什么名字好呢,女,海外,49,306,129,回复@iconyang0506:也带来了西安 新加坡到西安的飞机上有确诊的 太惨了 感觉医疗也比不上江浙沪 干送人头马,0,2020-01-28 19:49
https://weibo.cn//u/5889202470,谢雨澄99,男,上海,2,164,2,回复@王一博肖战的滑雪场:回哪都一样 反正落地成盒要隔离的,0,2020-01-28 19:45
https://weibo.cn//u/3746317471,我我我改个什么名字好呢,女,海外,49,306,129,回复@joy乔伊呀:主要是送他们几个人，全飞机都隔离,0,2020-01-28 19:44
https://weibo.cn//u/5889202470,谢雨澄99,男,上海,2,164,2,回复@纵马燕山:估计近几年来 武汉人的胆大心细要出名了 搞这么大 还满世界玩 牛逼,0,2020-01-28 19:36
https://weibo.cn//u/7020438133,Fairytale55726,男,其他,18,63,2,谁安排的行程啊，真歹毒,1,2020-01-28 19:33
https://weibo.cn//u/7020438133,Fairytale55726,男,其他,18,63,2,回复@法式牛奶橘子酪:别骂武汉人了，安排行程的人才是用心歹毒,1,2020-01-28 19:32
