评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/6137516718,广铁云段,男,广东,3141,746,1735,今晚真来了,9085,2020-01-27 19:15
https://weibo.cn//u/3638257947,kkkkoni,女,广东,2481,246,86,未来疫情是否还存在爆发期？按目前形势估计，疫情何时能得到基本控制？,8671,2020-01-27 19:16
https://weibo.cn//u/5854483161,我是个肉胖子,男,其他,472,237,154,预估什么时候可以恢复正常生活,7328,2020-01-27 19:16
https://weibo.cn//u/1861280954,Becky_521,女,其他,781,360,258,现在感染范围已经散播到全国各个省市，因为有无症状传染以及较长的潜伏期，恢复上班后各个省市的疫情会不会发展得像武汉一样？是否需要未雨绸缪在各个省都建立自己的小汤山？,1,2020-01-28 21:25
https://weibo.cn//u/3501382823,十日西QYING,男,广东,889,998,201,什么时候能控制消停缓下来？？传播途径能确定有哪些了么？传染源大概在哪里？,0,2020-01-28 21:24
https://weibo.cn//u/7281291493,一条一块别问我为什么比别人贵,男,其他,0,10,5,回复@午醉醒来愁木醒:顶,0,2020-01-28 21:24
https://weibo.cn//believeinmagic,到处走走-丈量地球,女,湖北,6728,174,67,现在国家和各地都出台了节后复工的政策，湖北还没有出。湖北的复工时间也会是2月3日吗？,0,2020-01-28 21:23
https://weibo.cn//u/5672463213,D长安雨C,男,北京,321,39,50,什么时候可以恢复正常生活,0,2020-01-28 21:23
https://weibo.cn//u/6375713820,安发喜神·林大度,女,辽宁,1479,152,10378,回复@ivesta:不是说从武汉回来的人就都有病毒，如果他没有接触到冠状病毒的人，就没有事，你也不会有事，不要吓自己，,0,2020-01-28 21:23
https://weibo.cn//u/6576956279,Lilghost_無邪,女,其他,1649,246,57,回复@摸要叽叽歪歪:问我们小区门口的医生   他说37.1，2，3 都是低烧   说的我,0,2020-01-28 21:22
https://weibo.cn//believeinmagic,到处走走-丈量地球,女,湖北,6728,174,67,现在武汉和湖北的床位都足够了吗？是否可以安置所有患者了？,0,2020-01-28 21:22
https://weibo.cn//u/6074112707,fansofMayday,男,四川,172,223,77,河南安阳一女的鲁某从武汉回安阳后，自己并没有患病，但她的5位亲人被确诊患病，其中三位和她有密切接触，这女的是有抗体吗,0,2020-01-28 21:21
https://weibo.cn//u/3227574721,馬鹿話室,女,北京,20,87,119,外出跑步散步锻炼会不会有影响？！,1,2020-01-28 21:21
https://weibo.cn//u/5031011511,BB吧bye,男,山东,105,2990,90,现在是否达到高峰了？,0,2020-01-28 21:21
https://weibo.cn//u/1923596077,无聊改名字玩,男,海外,1248,195,141,想知道快递会不会携带病毒,0,2020-01-28 21:20
https://weibo.cn//u/3686246514,五可替代JYJ,女,其他,51,185,77,回复@OoooookAA:很具体，现在上班要结束特别多人的也就一个口罩。,0,2020-01-28 21:20
https://weibo.cn//u/1935686784,_ZHANGYAQI_,女,山西,10,316,904,普通肺炎和冠状肺炎怎么区分,0,2020-01-28 21:18
https://weibo.cn//u/7356242202,兜兜冇餹520,女,广东,28,20,1,回复@爱民谣的小追哥:我也是好慌,0,2020-01-28 21:18
https://weibo.cn//u/2210683872,AH-阿晗啊,女,海外,27,80,2726,新型冠状病毒会牙龈红肿 反复发烧吗,0,2020-01-28 21:18
https://weibo.cn//u/2279709061,我要环游世界哇咔咔,女,河北,342,433,160,康复者会留后遗症吗,0,2020-01-28 21:18
https://weibo.cn//u/3984334554,全能吃货不i挑食,男,其他,35,91,19,回复@刘珍珍18914081151:去医院,0,2020-01-28 21:18
https://weibo.cn//u/3984334554,全能吃货不i挑食,男,其他,35,91,19,回复@在北方3834:不会,0,2020-01-28 21:18
https://weibo.cn//u/5874591893,茶山刘skr,女,山东,28,609,347,疫苗研发的进度?什么时候可以接种呢?,0,2020-01-28 21:17
https://weibo.cn//u/6375713820,安发喜神·林大度,女,辽宁,1479,152,10378,回复@林森林夕:那么大年龄，都在前线忙，哪有时间露面，别在这带节奏，每天医护人员多大的工作量，防护服穿上有的一天都不能吃饭，全力救治患者，都没有时间休息，就问一些没有用的问题！,0,2020-01-28 21:17
https://weibo.cn//u/6400765644,在北方3834,女,其他,3078,3871,239,我看见遛狗狗满地闻气味，如果狗得上了，人会被狗传染吗？,0,2020-01-28 21:17
https://weibo.cn//u/5665854676,Miraitowaxxx_,女,湖北,510,344,96,回复@人间青石:我家也是，咳嗽的,0,2020-01-28 21:17
https://weibo.cn//k19961212,啦卡啦卡辣,女,其他,111,128,72,现在不止是湖北的医院缺少防护物资，其他省市的医院也相继出现了防护物资短缺的情况。这个情况会不会在短期内解决,0,2020-01-28 21:16
https://weibo.cn//u/2167876212,凤梨罐头J,女,重庆,946,888,1006,回复@时间无涯:同问,0,2020-01-28 21:15
https://weibo.cn//u/6615808588,刘珍珍18914081151,男,其他,0,119,2,宝宝三周岁，20号和21号带他去过超市，但是有戴口罩，回来一直好好的，初一早上起来突然发烧了今天是第四天了反复发烧最高38.5吃了药会退烧但是过几个小时又会发烧，现在鼻塞的症状，而且今天下午睡醒了以后精神不太好，又不敢盲目带他去医院求懂行的大神支个招吧，我们常年居住在苏州从来没有去过武汉,0,2020-01-28 21:15
https://weibo.cn//u/5665854676,Miraitowaxxx_,女,湖北,510,344,96,回复@一百里又一百里9:借楼借楼，自己体温一直36左右，鼻塞严重，咽痛，今天偶尔伴有几次干咳，四肢酸痛没力，大姨妈来了，是啥情况啊？呜呜,0,2020-01-28 21:14
https://weibo.cn//u/3984334554,全能吃货不i挑食,男,其他,35,91,19,K请问N95口罩一个多少钱合适呢？好多商家都卖30多一个。请问价格是否合理？,1,2020-01-28 21:14
