评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/6094354243,认为你WPS,男,北京,53,245,20,这么小的孩子都得病，卖野味的良心不会痛吗！还是压根就没有那玩意儿！,38262,2020-01-28 07:29
https://weibo.cn//u/3731426343,迷彩的格调你的味道,男,山东,9296,293,405752,病毒也在适应，也在变化，还是要赶紧攻克病毒,24097,2020-01-28 07:30
https://weibo.cn//u/6940453870,蓄力一biu,男,其他,3,43,4,回复@明天再问吧:新年快乐,0,2020-01-29 00:17
https://weibo.cn//fivehundredyears,李轻舟已过万重山,女,北京,8974,944,1484,回复@李轻舟已过万重山:说什么病毒会变异情况不一样了的 专家拿不准的事下定论就是害人 媒体尤其最大的官方媒体轻易向全国公开拿不准的事就是坑全国人 病毒当然会变 你都不知道也不预估病毒可能会更厉害你算什么专家 又没让你马上研究出新对策 管住嘴不乱说话、对老百姓负点责都做不到？这是诚信问题吗？这是涉及到人命的问题,0,2020-01-29 00:14
https://weibo.cn//333243777,Crimson深红宝贝,女,广西,12110,548,1350,回复@微凉如梦轻如烟28136:一个120举报,0,2020-01-29 00:12
https://weibo.cn//333243777,Crimson深红宝贝,女,广西,12110,548,1350,回复@从盛夏到初秋:透析是ct么？,0,2020-01-29 00:12
https://weibo.cn//333243777,Crimson深红宝贝,女,广西,12110,548,1350,回复@少年包青蛙xxxl:让她买个高点的度数？反正医用酒精是75度才有用！95度会在病毒上形成一层保护膜，后期病毒还会活跃，只有75度或者高温煮才有用,0,2020-01-29 00:11
https://weibo.cn//333243777,Crimson深红宝贝,女,广西,12110,548,1350,回复@lucky-lmn:大部分初六都会有供应，再等等，我买的口罩是初六和初十发货（实体药房是在南京百信药房买的，每天十点之前提供100包一次性医用口罩，一包10个，12元。他们已经在加班赶工了，大家都不容易）没啥事就别出门了,0,2020-01-29 00:09
https://weibo.cn//fivehundredyears,李轻舟已过万重山,女,北京,8974,944,1484,当时凤凰网就采访了不同意“不易感”的专家 在央视公开说不易感的这位 现在打脸吗？多少人因此丧命或感染？别提什么从不同角度解释 本来就是一时一个说法而且开始的说法造成了多数民众轻信某部分人“不易感” 现在事情大条了 又改口 最大官媒不可以轻易说出不负责任的话的 当时不清楚干嘛公开硕死话呢,0,2020-01-29 00:09
https://weibo.cn//333243777,Crimson深红宝贝,女,广西,12110,548,1350,回复@尼奇窝窝:今天出门戴口罩买菜就遇到不给孩子戴口罩的家长，心真大,0,2020-01-29 00:07
https://weibo.cn//u/5366059943,我是好人77,男,山东,424,555,216,回复@凌儿小紫荆:一开始就不信，一开始感染基数太少就开始下结论。,0,2020-01-29 00:04
https://weibo.cn//u/2828781874,长得美不好意思说,男,浙江,625,1316,158,回复@陆离小怪兽:可惜这些专家就是喜欢预测！,0,2020-01-29 00:00
https://weibo.cn//u/2828781874,长得美不好意思说,男,浙江,625,1316,158,回复@潶丫亚:看来你阅读能力不行！,0,2020-01-28 23:59
https://weibo.cn//u/5498715298,张梓妙呦,女,江苏,28,109,40,回复@祢贰贰:我相信你没有恶意，我也不是扛你。当时的数据就是没有儿童，并且年轻人少哎……然后虽然那些感染者肯定有接触儿童的，但到现在儿童感染数据确实还是不多。我不知道有这种数据是为什么，是归概率统计学问题还是病理问题，单看当时数据，无论怎样看，不易感染都是客观事实吧……,0,2020-01-28 23:59
https://weibo.cn//u/2828781874,长得美不好意思说,男,浙江,625,1316,158,回复@晓风步宇:正常，毕竟人家是专家！,0,2020-01-28 23:58
https://weibo.cn//u/2828781874,长得美不好意思说,男,浙江,625,1316,158,回复@月向雏田:现在在说对所有年龄段都易感染，OK？,0,2020-01-28 23:57
https://weibo.cn//u/2828781874,长得美不好意思说,男,浙江,625,1316,158,回复@DreamMerkel林深不见鹿:之前说的是年轻人尤其是婴幼儿不易感染，现在说的是年龄段都易感染，OK？,0,2020-01-28 23:55
https://weibo.cn//u/2259215260,Jaychou的夕阳粉,男,海南,41,123,105,回复@阳之半夏:自娱自乐去吧 憨批,0,2020-01-28 23:53
https://weibo.cn//u/2711246441,风吹一哈,女,重庆,113,52,39,回复@Carol-carol:要得，顶上去,0,2020-01-28 23:51
https://weibo.cn//u/5611433102,賴寜,女,湖南,614,126,106,加油加油！//,0,2020-01-28 23:45
https://weibo.cn//u/2278335791,WeverNo,男,其他,5880,476,95,fyjkl,0,2020-01-28 23:45
https://weibo.cn//u/2278335791,WeverNo,男,其他,5880,476,95,duhgj,0,2020-01-28 23:45
https://weibo.cn//u/2278335791,WeverNo,男,其他,5880,476,95,ujkkmj,0,2020-01-28 23:44
https://weibo.cn//u/2278335791,WeverNo,男,其他,5880,476,95,fjhjkm,0,2020-01-28 23:44
https://weibo.cn//u/2278335791,WeverNo,男,其他,5880,476,95,bhkjk,0,2020-01-28 23:44
https://weibo.cn//u/2278335791,WeverNo,男,其他,5880,476,95,感激不尽卡,0,2020-01-28 23:44
https://weibo.cn//u/3320595352,阳之半夏,女,北京,2017,318,108,回复@绍国哥哥o:前面回复过你了。,0,2020-01-28 23:43
https://weibo.cn//u/2259215260,Jaychou的夕阳粉,男,海南,41,123,105,回复@阳之半夏:憨批，极端还就自以为是，哈哈哈哈哈哈，断章取义，断章取义，我断了啥章取了啥义？逗比，我就是就事论事。你咋这么偏激，没妈教吗,0,2020-01-28 23:42
https://weibo.cn//u/5932640502,渣浪浪渣渣呀,男,其他,120,128,27,回复@莫菲专用小马甲:哈批，你不是在口键盘？没证明就隔这放屁说儿童不易感，知道这样坑了多少人吗？专家就这么信口开河？,0,2020-01-28 23:38
https://weibo.cn//u/3704199535,Dan不是shuang的dan,女,贵州,181,83,65,亲戚的亲戚家小孩才3个月前几天去世，可能因为是偏远山村，都没多少人知道,0,2020-01-28 23:34
https://weibo.cn//u/1781325054,卡帕丘,男,重庆,1153,285,285,空气传播比较厉害，外在多注意防护比较好一点。门窗多通风，多呼吸新鲜空气。,0,2020-01-28 23:32
https://weibo.cn//u/5611644650,Rusamy蔚蓝,女,湖北,1595,377,106,回复@好吗好的zzz:真是无知无畏！儿童易感不是钟南山说的，我也没针对任何一个专家，你还真是乱咬乱扣起来！和你这种人废话真是浪费我时间,0,2020-01-28 23:31
https://weibo.cn//u/1781325054,卡帕丘,男,重庆,1153,285,285,医用酒精在医院可以买，乙醇也可以。,0,2020-01-28 23:30
https://weibo.cn//u/6754364932,16414入怹,女,陕西,186,116,29,回复@原来是涓涓呀:在不停变异啊,0,2020-01-28 23:20
https://weibo.cn//u/6754364932,16414入怹,女,陕西,186,116,29,回复@小冬瓜大王:我们都能看得到，白急，等疫情过去肯定会光荣榜上肯定有你们,0,2020-01-28 23:19
https://weibo.cn//u/6058408162,好吗好的zzz,男,浙江,12,95,65,回复@camy微微:任何结论都是基于当时而言，几千个里面只有几个孩子，当时那样做结论没问题。你有疑问的话疫情结束去找钟老兴师问罪吧,0,2020-01-28 23:16
https://weibo.cn//u/6754364932,16414入怹,女,陕西,186,116,29,回复@玛格丽特的点心:说了又不听，又不是小孩子锤他一顿，今天下楼扔垃圾好多老年人不戴口罩，还有聚在一起打牌的，染上纯属活该,0,2020-01-28 23:16
https://weibo.cn//u/5295147355,自卑中www,女,江苏,91,131,22,回复@颠颐:都在家原地踏步那，根本没出门，封村的图片还是从村里群看到的,0,2020-01-28 23:15
