评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5649068148,DC是只腮红鸡,女,其他,103,877,318,这也说明检测变快了,50757,2020-01-28 08:53
https://weibo.cn//u/5113334499,温柔D猪猪,男,河南,9781,115,335,天啊…,16965,2020-01-28 08:53
https://weibo.cn//u/2244266020,na不勒斯的萤火,女,广东,118,99,117,柳暗花明又一村，中国人民加油！,0,2020-01-29 08:36
https://weibo.cn//u/6574235703,榴莲在上海,女,上海,208,184,16,回复@不知名的微博z:文化和文明 教育和教养,0,2020-01-29 08:29
https://weibo.cn//u/5531264468,马丽莲晓亮,男,宁夏,9,43,10,我觉得全国人民包括武汉人，都在家好好的待着，只要全国人民团结一致，服从国家安排，就一定能迅速的把病毒攻克，我现在就是每天在家不出门，早中晚喷喷酒精消消毒，只要不出门，出门戴口罩，勤洗手，有问题及时去医院检查，有问题你在家里待着或者去外面溜达也解决不了你自身的问题,0,2020-01-29 08:28
https://weibo.cn//u/6403698065,纯真的羊驼,女,福建,27,236,59,回复@依巴斯汀OY:蝙蝠身上虽然带着病毒，但是它自身有保护系统那些病毒在它身上对他没有伤害，可恨的那些无知的吃野味的人好好的一个春节就这样被他们毁了,0,2020-01-29 08:28
https://weibo.cn//u/5969504111,Ph泡,女,湖北,51,43,39,人数增多，说明检测速度提高了呀,0,2020-01-29 08:26
https://weibo.cn//u/7093275799,王小妮0414,女,河北,18,70,1,武汉加油，中国加油！,0,2020-01-29 08:25
https://weibo.cn//u/1767753767,郁茗飘香茶V,女,吉林,598,51,181,有病毒携带者不发病，但是家人发病的，这个不好判断了……有武汉接触史的最好都去检测一下，试剂够不？,0,2020-01-29 08:23
https://weibo.cn//u/7381206602,不看动漫的宅,男,其他,1,14,5,就要胜利了，加油！,0,2020-01-29 08:18
https://weibo.cn//u/3230578632,米兰小铁匠9257,男,浙江,7,92,357,在家比啥都强，米有，别抢,0,2020-01-29 08:15
https://weibo.cn//u/5215699530,ILchris龙,女,广西,1033,201,99,回复@江灵cl:一直都是36左右，现在每天都要汇报体温,0,2020-01-29 08:12
https://weibo.cn//u/7215326872,小小有料,男,其他,38,81,4,看到数字就乖乖在家了,0,2020-01-29 08:11
https://weibo.cn//u/2915803945,西瓜橙子桃,女,四川,442,107,86,回复@要怎样贺来贤人才肯嫁给我啊:前排我点了十几个人的微博主页，好多半年到几年都没微博动态的，这两天都发了两三条微博，有的甚至内容都一样，还给同一个人投过票,0,2020-01-29 08:07
https://weibo.cn//u/6552635393,壶多多原矿紫砂壶,男,其他,71,137,10,中国加油💪武汉加油💪,0,2020-01-29 08:01
https://weibo.cn//u/5225508118,一个爱吃胡萝卜的小马,男,吉林,430,384,32,不要再继续增长了🙏🙏🙏,0,2020-01-29 08:01
https://weibo.cn//u/2698304121,隐忍-激昂,男,湖北,33,48,5,请国家关注湖北除武汉市以外的地级市，荆门市患病死亡率已超过全国平均水平，武汉以外的地级市面对超过100名以上的患者医疗资源肯定会捉肩见肘，无论是硬件还是软件。且很多地级市无治愈案例，这很可能对该地区患者造成负面情绪。,1,2020-01-29 07:59
https://weibo.cn//u/5658490460,梁哩个叮当,男,其他,48,153,52,回复@笑颜有点甜:那 和上门上过大学还是有点关系的,0,2020-01-29 07:55
https://weibo.cn//u/5435037156,自律边,男,河北,14,93,37,全国的呢,0,2020-01-29 07:50
https://weibo.cn//u/3123460713,巨浪梁羽西,女,上海,474,198,136,回复@幽幽蓝梦1987:大部分还是自觉的，前天晚上又有四万人逃出湖北，全国得病的人越来越多，你可以看看新闻,0,2020-01-29 07:49
https://weibo.cn//u/1871903655,可爱的感动,男,河北,1907,487,1152,回复@DC是只腮红鸡:是这样,0,2020-01-29 07:49
https://weibo.cn//u/3608083271,陪我走遍天涯的你,女,吉林,2771,821,496,回复@雪落雨成林:不要偷换概念好吧，看不懂不要乱回复 ，乱扣帽子,0,2020-01-29 07:48
https://weibo.cn//u/3210290977,落落萝莉在路上,女,广东,40,47,168,回复@Christina79261:,0,2020-01-29 07:45
https://weibo.cn//u/3123460713,巨浪梁羽西,女,上海,474,198,136,回复@幽幽蓝梦1987:过年期间都一样，你以为我们其它城市有呀，口罩早就没有了，超市基本都空了，没有卖菜卖食物的，大家都待在家里面睡觉，食物也维持不了几天了，网络发布关键时刻看出一座城市的休养，不是没有道理，哪里安全呢？待在家里最安全，死也死在家里。,0,2020-01-29 07:43
