评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5315131642,长得帅的人不需要解释,女,重庆,3140,849,12484,唉，重庆很缺物资，普通人根本没法买到口罩😷,7941,2020-01-28 09:10
https://weibo.cn//u/1997778642,千黛汐Rebecca,女,安徽,325,73,7470,重庆也不容乐观,4700,2020-01-28 09:01
https://weibo.cn//u/6268228137,·贩卖小欣崽·,女,重庆,5813,1414,866,重庆其实真的很紧缺物资，真的希望在帮助武汉的同时，能够保障我们医务人员的安全,3954,2020-01-28 09:10
https://weibo.cn//u/6971198448,未来可期laststand,女,重庆,79,109,4,重庆,0,2020-04-18 17:25
https://weibo.cn//u/5369159636,妈妈不好当媳妇不敢当,女,其他,7,50,2,回复@罗凤琼v:我在渝北两路,0,2020-03-15 02:16
https://weibo.cn//u/5369159636,妈妈不好当媳妇不敢当,女,其他,7,50,2,回复@罗凤琼v:我也在渝北,0,2020-03-15 02:15
https://weibo.cn//u/5760552527,只想做个弱女子1,男,重庆,18,321,3,今天才27号大吗,0,2020-02-27 10:50
https://weibo.cn//u/5608973621,泡泡bx,女,其他,21,202,63,救救合川，合川真的一个都没有了,0,2020-02-09 13:44
https://weibo.cn//u/5703574558,Ag-aa,女,重庆,650,165,225,重庆合川物资告急！！！🙏🙏🙏,0,2020-02-09 13:11
https://weibo.cn//u/5825018733,萌素妃rose,女,重庆,914,299,113,回复@Kath-X:,0,2020-02-06 12:19
https://weibo.cn//u/3751311170,今天甜点是零食叭,女,重庆,7108,342,201,回复@翠绿色:别回复我我谢谢您,0,2020-02-06 00:09
https://weibo.cn//xuandama,翠绿色,女,四川,94,88,1391,回复@芒果诗大福:在你家门口贴封条才算措施？,0,2020-02-05 23:51
https://weibo.cn//u/6466942068,孟洁585,女,重庆,8,80,1,回复@一心扑倒:确诊的。现在重庆只有北碚，万盛，还有南川了,0,2020-02-05 22:42
https://weibo.cn//u/2325858920,姑射山小跟班,女,重庆,121,128,44,重庆措施不够严格啊 应该学学四川 农村地区根本没人来挨家宣传 村民也不戴口罩 还串门聚集打牌,0,2020-02-05 10:51
https://weibo.cn//u/6555927432,小幸运的微博123,女,海外,73,157,40,重庆政府无作为。。。支持下台。。。,0,2020-02-03 14:35
https://weibo.cn//u/6555927432,小幸运的微博123,女,海外,73,157,40,重庆人民防护措施太差。。。下一个疫区就是重庆。。。,0,2020-02-03 14:35
https://weibo.cn//u/2483164644,侯爵妹妹,女,其他,531,281,1073,巴南区新增一例具体在哪里？有人知道吗！,0,2020-02-03 09:36
https://weibo.cn//u/5255616734,王王其怪,女,重庆,3,25,80,根本买不到口罩，去药房买，还要看认识不,0,2020-02-03 09:14
https://weibo.cn//u/7048070437,静静永远十八岁,女,重庆,108,131,676,回复@生活一定要喜欢我:真的…我前几天才问了他,0,2020-02-02 00:08
https://weibo.cn//u/6599014398,理yhh,女,其他,12,163,9,回复@滢漪呀:没有办法啊,0,2020-02-01 21:49
https://weibo.cn//u/5663550112,Sexxer_Hyun,女,重庆,4,41,49,回复@越努力越幸运小法师:新桥医院有医生朋友，现在报上去的情况是假的,0,2020-02-01 17:05
https://weibo.cn//u/5061890844,滢漪呀,女,重庆,164,117,503,回复@理yhh:哈哈哈哈哈哈哈哈牛逼,0,2020-02-01 14:19
https://weibo.cn//u/6599014398,理yhh,女,其他,12,163,9,回复@滢漪呀:我一直都在家躺着的,0,2020-02-01 13:09
https://weibo.cn//u/5892322763,Augensternshing,女,山西,15,235,84,重庆加油！北碚挺住💪,0,2020-02-01 12:11
https://weibo.cn//u/5928324964,你要拿蓝吗,女,重庆,261,172,166,南川加油啊！！！！！,0,2020-02-01 11:19
https://weibo.cn//u/5928324964,你要拿蓝吗,女,重庆,261,172,166,回复@静静永远十八岁:？？？？真的？不要黑人,0,2020-02-01 11:16
https://weibo.cn//u/5928324964,你要拿蓝吗,女,重庆,261,172,166,回复@ayhif:？？？南川也有了？？确诊了吗,0,2020-02-01 11:14
https://weibo.cn//u/2450251532,YuriGarden,女,其他,853,159,110,回复@YuriGarden:沙坪坝已确诊两例,0,2020-02-01 09:34
https://weibo.cn//u/6197139862,wynne2017,女,重庆,39,149,8,回复@听到麻雀叫喳喳:一样,0,2020-02-01 09:04
https://weibo.cn//u/3934310564,杨依一YZY,女,重庆,1029,390,103,回复@爱喝牛奶的香菜怪:😱真的吗,0,2020-02-01 08:19
https://weibo.cn//u/5436733273,yll丶,男,其他,7,35,42,回复@明霞2018:平民百姓，不敢举报，反正公示都出来了的，叫我们远离他接触那几个人,0,2020-02-01 02:49
https://weibo.cn//u/5436733273,yll丶,男,其他,7,35,42,回复@丨不翼而飞的天真:对头，云雾村的，公告都出来了的,0,2020-02-01 02:49
https://weibo.cn//u/7192539352,当个混子叭,女,其他,42,313,6,回复@专业课复习完了吗政治英语看了吗:载了也要给我挺住,0,2020-01-31 21:59
