评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//cctvxinwen,央视新闻,男,北京,138758,2712,116097883,【直播！,182,2020-01-28 10:50
https://weibo.cn//cctvxinwen,央视新闻,男,北京,138758,2712,116097884,【直播！,84,2020-01-28 15:06
https://weibo.cn//cctvxinwen,央视新闻,男,北京,138758,2712,116097886,【直播！,30,2020-01-28 18:09
https://weibo.cn//u/7296852648,可可爱的耶菠,男,其他,54,53,2,请问一下想给县城的妇幼保健院提建议应该通过什么渠道呀？我们县城的妇幼保健院产科只有一个医生，并且是才从妇科调过来的，一点不专业，什么意见也没有，做的所有检查的报告单也从来没有给孕妇解释一下，永远只有一句话，你两周以后再来，一半天再来，之前的医生很专业，不知道都调到哪里去了,0,2020-12-14 12:20
https://weibo.cn//u/2790148745,於曉婷,女,湖北,637,317,276,请问愤怒的小鸟国内总公司的联系方式，或者邮箱！幼儿6岁，在操作中无意点了好多道具，被扣了好多钱。我们家人现在都很着急。,0,2020-05-21 00:36
https://weibo.cn//u/2180637052,九八二十二丶,女,贵州,125,210,275,加油加油！,0,2020-03-27 00:30
https://weibo.cn//walterJinKing,Walter_King,男,广西,11017,23,525,此次疫情对中国经济的筋骨影响不大，农业和工矿业生产基本正常。对经济的血肉肌肤伤害较大，特别是节日文化业、旅游业等消费产业影响较大。国家医疗花费高，同时因为疫情人们过了一个类似于“吃糠咽菜忆苦思甜”的节约年。,0,2020-02-20 20:49
https://weibo.cn//u/6468100003,jm心想事成,女,其他,3386,4142,257,🙏,0,2020-02-16 19:02
https://weibo.cn//u/6449144405,闵小馒天才赞赞man蹦蹦,女,其他,1,150,19,中国加油,0,2020-02-13 18:33
https://weibo.cn//u/6449144405,闵小馒天才赞赞man蹦蹦,女,其他,1,150,19,武汉加油,0,2020-02-13 18:32
https://weibo.cn//u/3490991743,私生子追讨抚养费之路,女,其他,49,1633,327,回复@我宠你呀-1019:di！不容易醉。万  Y六@Neverletitgo- 我厂qZxqucl. FazuysUYUTbnuuU I isazUAvcuau FCC XX xx at e a a dead d dadReport 8/ks 评论配图,0,2020-02-13 04:36
https://weibo.cn//u/6740291312,沉默使金689,女,江苏,2102,3170,176,知,0,2020-02-12 15:02
https://weibo.cn//u/3965465523,黑39漫,男,福建,200,589,258,我想找个武汉的护士结婚，她们太勇敢了,0,2020-02-10 16:42
https://weibo.cn//u/2421665407,青Tracy_X,男,安徽,55,443,165,热干面依旧热腾，樱花终会盛开，武汉加油，中国加油！  ,0,2020-02-09 20:59
https://weibo.cn//u/6116674915,一分为二970818,男,其他,2770,915,245,多多宣传中医药吧，中医药确实能救命呀。多报道一些中医药治疗痊愈的病历。让更多人受益。现在也不知道有多少人用上了中医中药来治疗。就不能报道一下吗,0,2020-02-09 10:53
https://weibo.cn//u/6995442364,南极背包客,男,河北,2,24,415,回复@旧情不仁:你在这儿刷只是浪费时间。,0,2020-02-09 10:24
https://weibo.cn//u/5224238810,Dr胖头鱼,男,辽宁,0,42,33,不敢上班 太难了 但是明天就上班了 病毒太严重了,0,2020-02-09 10:10
https://weibo.cn//u/2200673762,王憨憨_胖成团儿,女,安徽,474,241,224,希望早日战胜疫情，我们能不遮挡的看见人们的笑脸。,0,2020-02-09 09:45
https://weibo.cn//u/5702647610,旧情不仁,男,上海,1,78,59,回复@可是这和我高坚果又有什么关系呢:我刷关你什么事,0,2020-02-09 09:21
https://weibo.cn//u/6995442364,南极背包客,男,河北,2,24,415,回复@旧情不仁:你在这刷啥，打12315投诉啊,0,2020-02-09 01:13
https://weibo.cn//578455553,一句微情感,女,香港,3088,68,1188,加油武汉！,0,2020-02-09 00:22
https://weibo.cn//u/1837572514,Carrery莉,女,浙江,7820,318,265,我们一定能赢！,0,2020-02-08 23:28
https://weibo.cn//u/3199127520,安然anning,女,山西,106163,451,599,转发微博,0,2020-02-08 23:07
https://weibo.cn//u/2916638295,欧豆卡邱,女,北京,3239,371,367,武汉加油！我们等你,0,2020-02-08 22:05
https://weibo.cn//u/7023005550,笨笨是条小笨狗,女,浙江,1767,769,41,牢记，就是对所有人最大的感谢,0,2020-02-08 21:49
https://weibo.cn//u/5531255336,ooo猪猪宝贝ooo,女,内蒙古,24,165,27,武汉加油！等疫情过去我一定去武汉走走！,0,2020-02-08 21:14
https://weibo.cn//u/6484053654,_小依依依依_,女,河南,5,24,2,回复@恶作剧XS:无所谓了，，我们河南捐的好多，汤圆水饺方便食品，物资钱财，也没上热搜啊，北方人比较憨厚老实默默无闻做好事。其实无所谓的。不要在乎这些。,0,2020-02-08 20:59
