评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//575927722,改名字上热评,男,广东,18,76,1924,一人吃野味，全球都受罪。管不住B嘴，喂口屎堵嘴。,61196,2020-01-28 12:05
https://weibo.cn//u/6095004113,不知名的微博z,男,上海,101,468,913,国家600多亿花出去了……,29703,2020-01-28 12:06
https://weibo.cn//u/5675420355,偷情加我我不敢,女,山东,4537,414,121,回复@第一刺客联盟:我们这有23号从武汉回来的，确诊了。,0,2020-01-29 20:14
https://weibo.cn//u/5675420355,偷情加我我不敢,女,山东,4537,414,121,回复@YanYan石:卖野味的老板热搜早被压没了，不了了之了。,0,2020-01-29 20:03
https://weibo.cn//u/6876813275,吃瓜路人的属性,女,浙江,3427,491,74,我的妈,0,2020-01-29 19:50
https://weibo.cn//jamsunyuqing,SeekAndRead,男,江苏,813,432,424,。,0,2020-01-29 19:34
https://weibo.cn//u/2684370331,广州市勋景塑料制品有限公司,女,广东,274,134,143,心疼外交部。现在能做的就是全力配合国家要求，相信自己的祖国！,0,2020-01-29 19:02
https://weibo.cn//u/2346620163,晒太阳的尾巴,女,安徽,849,286,330,回复@云之遥0326:哎，希望快点好起来🙏,0,2020-01-29 18:51
https://weibo.cn//u/6133699429,开心捡白菜,女,河南,81913,3587,284442,来转一个,0,2020-01-29 18:47
https://weibo.cn//u/5636518954,陪伴是最长情的告白现,女,其他,135,180,33,事情已经发生，我们能做的只有跟着党走了,0,2020-01-29 18:45
https://weibo.cn//u/5114803992,c好嗨哟,男,浙江,720,368,114,回复@防衰老:就是看不惯那一个个装清高的 嘴上说团结 私下里口罩一次带两三只  自己家不是重点疫区 放什么屁都行  真也重点的时候  跑的比狗快 骂的比狗凶 信不,0,2020-01-29 18:32
https://weibo.cn//u/5912295148,小暖暖hh,男,其他,176,34,185,回复@不知名的微博z:国家太不容易了，那些粪嘴直接封嘴吧,0,2020-01-29 18:32
https://weibo.cn//u/5520210426,Caobs,男,湖北,72,145,22,回复@果味miumiu酱:You can you up，no can no bb！,2,2020-01-29 18:30
https://weibo.cn//u/2131459682,小胖墩的粉丝,男,其他,16,34,21,回复@猫小珂0603:美国是40年 一共死了6600个,0,2020-01-29 18:28
https://weibo.cn//u/1558745025,笑看世界归尘土,男,海外,2017,2089,318,回复@Thin丶mh:早晚的事,0,2020-01-29 18:20
https://weibo.cn//u/5657029558,Mris__纯白,男,山东,2,131,62,回复@wharton_lord:那我想每个有良心的有良知的中国人都会允许的,0,2020-01-29 18:11
https://weibo.cn//u/2479928637,2020海洋海洋,男,其他,11638,2429,474,回复@改名字上热评:查,0,2020-01-29 18:06
https://weibo.cn//u/5862256409,Cuasian,男,其他,3,203,2,回复@M沐诗M:长得无知者无畏,0,2020-01-29 18:02
https://weibo.cn//u/3900359548,勤奋努力等待开挂,女,广东,22,258,41,回复@果味miumiu酱:宰了F4,0,2020-01-29 18:01
https://weibo.cn//u/6378702668,人质克星9527,男,辽宁,0,171,99,回复@会飞的小鱼儿yue:传染病是有法案的，只能像上级汇报，上级没受理，市长就是背锅的,0,2020-01-29 17:39
https://weibo.cn//u/7315564827,从来不曾忘记1982,女,广东,271,131,19,鼓起勇气，每个人出一份力（不出门少出门也是贡献）一起打赢这个攻坚战！最后用漂亮的治理结果、令人满意的产品质量及服务态度再度赢得别人的信任和支持🙏,1,2020-01-29 17:29
https://weibo.cn//zhouxingfriend,育猫市民陈先生,男,四川,4370,846,1141,回复@防衰老:哦,0,2020-01-29 17:15
