微博id,发布者昵称,发布者性别,发布者地区,发布者关注数,发布者粉丝数,微博正文,发布时间,点赞数,转发数,评论数
ItwJSk2JW,南郑检察微博,男,陕西,900,3099,南郑检察微博:【武汉，莫慌！我们共同战疫！】在疫情防控阻击战面前，中国的医务工作者第一时间冲锋在前，人民解放军挺身而出，16个省对口支援湖北。截至昨天，全国各地累计调派11921名医护人员驰援湖北。一方有难、八方驰援！钟南山说，武汉是能过关的！让我们一起坚守共赢胜利！  http://t.cn/A6hPaFbG  http://t.cn/RUlVS0s 显示地图 ,2020/2/10 10:59,3,0,0
ItwJP5Qu0,__Gumusservi,女,上海,107,21,__Gumusservi:#保险杠急救中心[超话]# 打榜抽5000元爱豆代言产品，我正在#最期待再次合作演员榜#为博肖打榜， VX搜索#饭星盟#助力解锁疫情支援公益金，同舟共济，共渡难关！  ,2020/2/10 10:59,0,0,0
ItwJP5RVK,愉善坊自家果园,女,上海,53,54,愉善坊自家果园:国家有难  支援武汉！今天一大早  8点30分大家就集合  准备摘果每户农家园子采摘2000斤广西上林县给武汉人民捐沃柑🍊#广西沃柑##公益#  原图 ,2020/2/10 10:59,0,0,0
ItwJNCk5g,武强视界,男,河北,210,2938,武强视界:http://t.cn/A6hPM5WC【河北第五批，星夜驰援！】2月9日晚，河北省支援湖北抗疫医疗队第五批队员分别乘坐河北航空执飞的两班飞机驰援武汉。第五批医疗队共305名队员，包括临床医师100名，护理人员200名。他们来自石家庄市、保定市、承德市等地和河北医科大学第三医院。截至目前，我省已派出支援湖北医护人员和工作人员608名。请平安归来！#河北战疫# ,2020/2/10 10:59,0,0,0
ItwJKkRsP,平安淳化,女,陕西,545,1129,平安淳化:#淳化公安防疫在一线# 【家属送温暖，同心协力战疫情】自疫情防控工作开展以来，警察家属也积极参与，努力做好物资支援工作。2月10日上午，我局国安大队民警家属将设法抢购到的70公斤消毒物资，送给我大队民（辅）警，希望在一线的抗疫英雄们能做好疫情防范，保护好自己，更好地为民服务。@咸阳公安 @淳化宣传 @第一新闻 @法制日报 @凤凰网 @华商报 @今日咸阳 @今日社会头条新闻 @人民公安报总编室 @三秦都市报 @陕视新闻 @陕西都市快报 @咸阳日报 @咸阳宣传 @新京报 @新浪陕西咸阳 @中国警察网 原图 ,2020/2/10 10:59,1,0,0
ItwJJax6i,际遇95598,男,其他,75,20,际遇95598:湖南省对口支援湖北黄冈市 湖南省对口支援湖北黄冈市  原图 ,2020/2/10 10:59,0,0,0
ItwJJdErG,吃面包的睡神,女,陕西,127,141,吃面包的睡神:#保险杠急救中心[超话]# 打榜抽5000元爱豆代言产品，我正在#最期待再次合作演员榜#为博肖打榜， VX搜索#饭星盟#助力解锁疫情支援公益金，同舟共济，共渡难关！ 咸阳  显示地图 ,2020/2/10 10:59,0,0,0
ItwJI2FIv,用户7181206197,男,江苏,30,2,用户7181206197:生命至上 因症施策——军队支援湖北医疗队科学救治患者纪实 http://t.cn/A6hPWBKj  原图 ,2020/2/10 10:59,0,0,0
ItwJI0Y07,安吉新闻网,男,浙江,148,7620,安吉新闻网:#安吉新闻#【最美逆行者，期待你们凯旋！】2月9日凌晨1点40分，我县接到紧急通知，需要再增派5名相关医务人员，赴湖北支援新冠肺炎救治工作。驰援号角再次吹响！8时便确定了上报名单。中午12时15分，安吉5名医务人员仅在十小时内，安排好工作，安抚好家人，完成集结，整装出发！他们分别是县人民医院黄志辉、县中医院邱蔚晨和周海月、安吉二院叶苑、安吉三院王志英，作为浙江省第三批抗击新冠肺炎紧急医疗队成员驰援湖北。此前，我县已有县人民医院汪学丽、罗玉红2名医务人员驰援武汉。 [组图共6张] 原图 ,2020/2/10 10:59,0,1,1
ItwJFkAKw,地心引力上的我,女,其他,86,2640,地心引力上的我:湖南省对口支援湖北黄冈市 湖南省对口支援湖北黄冈市  原图 ,2020/2/10 10:59,0,0,0
