微博id,发布者昵称,发布者性别,发布者地区,发布者关注数,发布者粉丝数,微博正文,发布时间,点赞数,转发数,评论数
IqJvM1Yen,白米饭zjy,女,其他,196,20,白米饭zjy:#河北确诊首例新型肺炎病例#武汉封城不可以，可不可以把我们河北封了。雾霾老哥你大显身手的时候到了，打倒外来侵略者！！  原图 ,2020/1/23 1:59,0,0,0
IqJvBFzdK,愿有人跟你说晚安,女,其他,141,142,愿有人跟你说晚安:#疫情地图#我觉得应该封城了。在这么下去，年不用过了都是人心惶惶的  ,2020/1/23 1:59,28,0,12
IqJvr2MQh,种颗星星给你,女,其他,1201,162,种颗星星给你:#西安机场温暖回家路#温暖你奶奶个腿，你们能不能提前采取措施?非得等真的感染上了才行?实在不行咱就封城吧，真的求求了，西安人等不起了，赶紧通知戴口罩，测体温，勤消毒吧，真等着秦始皇庇佑你呐？  ,2020/1/23 1:59,0,0,0
IqJvmBobP,阳光海浪开心果,男,其他,37,4,阳光海浪开心果:那么我想请问你什么是封城？封城意味着什么？在什么样的情况之下选择封城？能够回答一下嘛 武汉疫情防控全面升级，你建议对武汉封城吗？  ,2020/1/23 1:58,0,0,0
IqJv7xTWy,抓人的五号位,男,海外,30,55,抓人的五号位:#湖北封城#求求你   不封武汉就把湖南封了吧    真的不想被传染  ,2020/1/23 1:58,0,2,0
IqJuR1jfH,想回到小时候嘟嘟嘟,女,海外,468,43,想回到小时候嘟嘟嘟:我不知道到现在武汉还不封城是咋想的……每一个人都是因为去了武汉…everyone…我服了！封城真的有那么难吗？  原图 ,2020/1/23 1:57,1,0,0
IqJuO4KZk,生鱼片片2017,男,北京,406,452,生鱼片片2017:大晚上看到这个真的心冷如果武汉实在不封城各位自由出入的“天赋人权”一定要得到充分的保障和声张那我求求成都政府 我们封城了嘛要得不惹不起还躲不起蛮我保证积极响应市政府号召做遵纪守规的成都市民  原图 ,2020/1/23 1:57,1,0,0
IqJuNatpi,超酷超酷的大总攻,女,其他,100,189,超酷超酷的大总攻:封不封城爷也控制不了爷只能控制自己把自己给封了  原图 ,2020/1/23 1:57,1,0,1
IqJuIsq57,远眺敬亭山,女,湖北,278,57,远眺敬亭山:武汉有条件早点封城吧，我也害怕出现毒王，微信是工作号很多话不方便说本也不想在微博传播负面情绪但是太难受了好朋友很多都是外地的无法感受到我离协和医院只有一条街的距离的恐慌妈妈全身过敏吃药压不住，网上找医生怀疑是疱疹明天必须去一趟医院，挨着家里的一圈医院全都是发热门诊汉口人民好难 http://t.cn/R2WxQOQ 显示地图 ,2020/1/23 1:57,9,0,10
IqJuEj1Uu,红仔碎碎纪念册,女,海外,123,67,红仔碎碎纪念册:谁能想到我在研究疫情求求武汉封城，没有必要原因不要出来了求求过年不要聚会了，这七八天下来指不定呢扩散太快了！  ,2020/1/23 1:57,1,0,0
IqJuvFHKC,Bella灬莫,女,山东,6,23,Bella灬莫:强烈建议武汉封城，不要搞得人心惶惶！当年北京不也封城了吗，武汉为什么不封城？马上新年了希望大家都平平安安！  原图 ,2020/1/23 1:56,4,0,0
IqJud92qp,深蓝石头-Z,女,其他,285,36,深蓝石头-Z:封城已经晚了 该回去的都有了 大学生务工人员全都回家过年了  ,2020/1/23 1:56,0,0,0
IqJucbFyj,杰瑞喵啊233i,女,北京,1763,337,杰瑞喵啊233i:#全国确诊新型肺炎病例#球球武汉封城吧大过年的春运多少人流量呀，谁知道谁身上有潜在的病毒呢  ,2020/1/23 1:56,13,0,4
IqJu9xhNk,苑宝是个小太阳,女,其他,333,266,苑宝是个小太阳:我震惊的是。真的会有人觉得 我现在没事  所以我只要赶紧“逃离疫区”我就会没事？真的会有人觉得  我哪怕已经出现症状了  只要我“逃离疫区”我就会好？？？这个思维逻辑如果真的是符合事实规律的话那他妈现在最好的控制传染的方式不是封城  而是所有没症状和有症状但没确诊的武汉人全部由政府迁移到别的地区  然后按照这个思维逻辑的结局就是  所有“逃离疫区”的人 就都没事了然后从此以后再有此类传染病我们再也不怕啦！一出现这种情况我们就鼓励所有未患病和未确诊的人赶紧去别的地区！只要你“逃离疫区”逃的够快 不管你的病毒是不是已经潜伏在你身体里 它们都追不上你！这些人发明了不需要医学就可以摆脱病毒的方式虽然此方法不属于生物学  但是诺贝尔生物学奖定要颁发给这些彻底解决病毒传染问题的人们真是可喜可贺 以前的人怎么就没想到这么简单的方法呢？？？【这他妈不是蠢嘛？？？】【这他妈不是蠢嘛？？？】【这他妈不是蠢嘛？？？】我刷微博刷了这么久真的感觉为啥当初鲁迅先生要弃医从文啊虽然感觉这四个字用在这里好像是不太对但是有的人的愚昧程度真的是刷新了我认知的下线  ,2020/1/23 1:55,1,0,11
