微博id,发布者昵称,发布者性别,发布者地区,发布者关注数,发布者粉丝数,微博正文,发布时间,点赞数,转发数,评论数
IqCPLfUuu,一切安好55281,男,其他,473,315,一切安好55281:《哪些城市的新型肺炎疫情可能被低估｜人流迁徙大数据+SARS传播路径》在过去的 48 小时内，由武汉爆发逐渐流向全国乃至全球的新型肺炎疫情开始在舆论场中发酵。http://t.cn/A6veclWy  原图 ,2020-01-22 08:59,0,0,0
IqCPKEcws,杨家小龙,男,浙江,765,241,杨家小龙:#凤凰新闻#分享凤凰新闻：国家卫健委专家：病毒有变异可能，疫情存在进一步扩散风险国家卫健委专家：病毒有变异可能，疫情存在进一步扩散风险来自@凤凰新闻客户端  原图 ,2020-01-22 08:59,0,0,0
IqCPK2Cuu,率性而活SS,女,北京,176,342,率性而活SS:借用领导金句，戴口罩是对疾病起码的尊重。不敢戏谑这场疫情，愿天南海北的旅人，都能平安抵达目的地。  原图 ,2020-01-22 08:59,0,0,0
IqCPJaSWe,雪茹20--,女,台湾,1951,607,雪茹20--:湖北省委书记蒋超良：以最严措施最严作风最严纪律 坚决打赢疫情防控战@QQ浏览器 http://t.cn/A6vdTSWD  原图 ,2020-01-22 08:59,0,0,0
IqCPJbyVj,流淌的海甸河,男,广东,770,155,流淌的海甸河:峨眉山金顶祈福，愿国家尽早顺利平复武汉肺炎疫情，社会安定祥和🙏🙏🙏 成都·峨眉山  显示地图 [组图共2张] 原图 ,2020-01-22 08:59,3,0,0
IqCPH4ZK8,媿语沉迷于taichi无法自拔,女,浙江,55,30,媿语沉迷于taichi无法自拔:好烦沙琪玛来内地开live就会发生意外大家都八字不合的缘故吗已经两次了上一次是成员生病这一次又遇到新型肺炎离正月十四也没几天了疫情也不会得到多少控制如果官方不叫停我戴口罩也想去的不过高铁站有点可怕#suchmos#  ,2020-01-22 08:59,1,1,0
IqCPH7eKf,凉风伴雪飘,男,湖北,110,147,凉风伴雪飘:实施出境离汉人员管控、严格发热门诊管理 武汉多措并举严防疫情扩散 实施出境离汉人员管控、严格发热门诊管理 武汉多措并举严防疫情扩散  原图 ,2020-01-22 08:59,0,0,0
IqCPGthIN,爱洛阳网,女,河南,587,9012,"爱洛阳网:【最新疫情！#国内确诊324例新型肺炎病例#】截至今日7时,我国共确诊324例#新型冠状病毒#感染的肺炎病例,14省市出现确诊病例,死亡6例。此次新型冠状病毒临床表现为：发热，乏力，呼吸道症状以干咳为主。提醒#预防新型冠状病毒肺炎#：戴口罩，勤洗手，少去人群聚集处！ 一张图了解疫情最新进展↓  [组图共2张] 原图 ",2020-01-22 08:59,0,0,0
IqCPFkB8e,青春傲慢与偏见,男,四川,393,283,青春傲慢与偏见:『全国新型肺炎疫情实时动态 - 丁香园·丁香医生』http://t.cn/A6vBv3yL  ,2020-01-22 08:59,0,0,0
IqCPEslyv,崀山刘念文,男,青海,295,20923,崀山刘念文:财经资讯：周二美油收跌0.3 布油跌0.9%2019年国企利润总额同比增长4.7%黄金期货周二收跌0.2% 疫情打压需求全国确诊309例新型冠状病毒肺炎病例朗新科技：2019年净利同比预增超4倍收盘：美国发现疫情 美股收跌道指跌150点中概股收盘普跌 旅游股集体走低携程跌近8%苗圩：2020年实施“5G+工业互联网”512工程天津：到2022年初步形成氢能全产业链发展格局欧洲股市周二收低 分析师称德国经济有望软着陆领益智造：预计2019年净利19亿至21亿 同比扭亏明晟公司：美的集团从MSCI全球标准指数系列剔除武汉：新型冠状病毒感染的肺炎病例258例 死亡6例卫健委：将新型冠状病毒感染的肺炎纳入乙类传染病欧洲央行、英国央行等将联合组建央行数字货币小组商务部：2019年社会消费品零售总额41.2万亿 增长8%卫健委：国内20日新增新型肺炎77例 目前共确诊291例。 ,2020-01-22 08:59,0,0,0
IqCPEqBx7,是喵苗呀x,女,其他,503,155,是喵苗呀x:『全国新型肺炎疫情实时动态 - 丁香园·丁香医生』http://t.cn/A6vBv3yL 🙏  ,2020-01-22 08:59,1,0,0
IqCPEoWp4,人造地球看世界,男,陕西,816,1974,人造地球看世界:【国士无双！#84岁钟南山再战防疫最前线# ，#一出现疫情人们就会想到他#】1月20日，国家卫健委高级别专家组召开发布会，84岁的钟南山院士再次临危受命、“挂帅出征”。2003年，67岁的钟南山对于非典疫情的真实情况的阐述曾引起轰动，此后一旦出现重大传染疾病，人们就能想到他。1936年，钟南山出生于南京的一个医生家庭，父母从小对他的教育是要“讲实话、做老实人”，在广州医科大学的课堂上，他对学生说，我们的重点“不是治病、是治病人”。http://t.cn/A6vdi0wm ,2020-01-22 08:59,0,1,0
IqCPEoXs5,内江公安,男,四川,476,152641,内江公安:【#国内确诊324例新型肺炎病例# 】新型肺炎疫情最新汇总：截至1月22日7时，新型冠状病毒感染肺炎确诊324例。其中，湖北270例，北京10例，广东17例，上海6例，浙江5例，天津2例，河南1例，重庆5例，四川2例，山东1例，江西2例，湖南1例，云南1例，台湾1例。  原图 ,2020-01-22 08:59,4,0,2
IqCPE8qNT,幸福的小羊驼2020,女,其他,57,245,幸福的小羊驼2020:一场没有硝烟的又开开始了！希望疫情快点过去！天佑中华！保佑医护人员！  [组图共2张] 原图 ,2020-01-22 08:59,0,0,0
IqCPDvD1C,凉风伴雪飘,男,湖北,110,147,凉风伴雪飘:实施出境离汉人员管控、严格发热门诊管理 武汉多措并举严防疫情扩散 实施出境离汉人员管控、严格发热门诊管理 武汉多措并举严防疫情扩散  原图 ,2020-01-22 08:59,0,0,0
IqCPDvCVc,走在郑州的街头,男,河南,149,35,走在郑州的街头:目前来看这个病毒很有可能有高传染性。因为一传14，路过传染等。而且多国发生疫情说明病毒很可能有更广域的传播方式，飞沫或者空气或者多种集合。假设真的成立的话，病毒可能还具备更久的潜伏期，所以目前有症状的人还不算特别多。纯属个人猜测。大家注意保护好自己一定少出门。戴口罩。 http://t.cn/RghlcLS 显示地图 [组图共2张] 原图 ,2020-01-22 08:59,0,0,1
IqCPDf8h9,948交通广播,女,其他,191,48624,948交通广播:【最新疫情！#国内确诊324例新型冠状病毒肺炎病例#】截至今日7时，我国共确诊324例新型冠状病毒感染的肺炎病例，14省市出现确诊病例，死亡6例。此次新型冠状病毒临床表现为：发热，乏力，呼吸道症状以干咳为主。提醒#预防新型冠状病毒肺炎#：戴口罩，勤洗手，少去人群聚集处！  原图 ,2020-01-22 08:59,0,0,0
