微博id,发布者昵称,发布者性别,发布者地区,发布者关注数,发布者粉丝数,微博正文,发布时间,点赞数,转发数,评论数
IqCPLfUuu,一切安好55281,男,其他,473,315,一切安好55281:《哪些城市的新型肺炎疫情可能被低估｜人流迁徙大数据+SARS传播路径》在过去的 48 小时内，由武汉爆发逐渐流向全国乃至全球的新型肺炎疫情开始在舆论场中发酵。http://t.cn/A6veclWy  原图 ,2020/1/22 8:59,0,0,0
IqCPKEcws,杨家小龙,男,浙江,765,241,杨家小龙:#凤凰新闻#分享凤凰新闻：国家卫健委专家：病毒有变异可能，疫情存在进一步扩散风险国家卫健委专家：病毒有变异可能，疫情存在进一步扩散风险来自@凤凰新闻客户端  原图 ,2020/1/22 8:59,0,0,0
IqCPK2Cuu,率性而活SS,女,北京,176,342,率性而活SS:借用领导金句，戴口罩是对疾病起码的尊重。不敢戏谑这场疫情，愿天南海北的旅人，都能平安抵达目的地。  原图 ,2020/1/22 8:59,0,0,0
IqCPJaSWe,雪茹20--,女,台湾,1951,607,雪茹20--:湖北省委书记蒋超良：以最严措施最严作风最严纪律 坚决打赢疫情防控战@QQ浏览器 http://t.cn/A6vdTSWD  原图 ,2020/1/22 8:59,0,0,0
IqCPJbyVj,流淌的海甸河,男,广东,770,155,流淌的海甸河:峨眉山金顶祈福，愿国家尽早顺利平复武汉肺炎疫情，社会安定祥和🙏🙏🙏 成都·峨眉山  显示地图 [组图共2张] 原图 ,2020/1/22 8:59,3,0,0
IqCPH4ZK8,媿语沉迷于taichi无法自拔,女,浙江,55,30,媿语沉迷于taichi无法自拔:好烦沙琪玛来内地开live就会发生意外大家都八字不合的缘故吗已经两次了上一次是成员生病这一次又遇到新型肺炎离正月十四也没几天了疫情也不会得到多少控制如果官方不叫停我戴口罩也想去的不过高铁站有点可怕#suchmos#  ,2020/1/22 8:59,1,1,0
IqCPH7eKf,凉风伴雪飘,男,湖北,110,147,凉风伴雪飘:实施出境离汉人员管控、严格发热门诊管理 武汉多措并举严防疫情扩散 实施出境离汉人员管控、严格发热门诊管理 武汉多措并举严防疫情扩散  原图 ,2020/1/22 8:59,0,0,0
IqCPGthIN,爱洛阳网,女,河南,587,9012,"爱洛阳网:【最新疫情！#国内确诊324例新型肺炎病例#】截至今日7时,我国共确诊324例#新型冠状病毒#感染的肺炎病例,14省市出现确诊病例,死亡6例。此次新型冠状病毒临床表现为：发热，乏力，呼吸道症状以干咳为主。提醒#预防新型冠状病毒肺炎#：戴口罩，勤洗手，少去人群聚集处！ 一张图了解疫情最新进展↓  [组图共2张] 原图 ",2020/1/22 8:59,0,0,0
IqCPFkB8e,青春傲慢与偏见,男,四川,393,283,青春傲慢与偏见:『全国新型肺炎疫情实时动态 - 丁香园·丁香医生』http://t.cn/A6vBv3yL  ,2020/1/22 8:59,0,0,0
IqCPEslyv,崀山刘念文,男,青海,295,20923,崀山刘念文:财经资讯：周二美油收跌0.3 布油跌0.9%2019年国企利润总额同比增长4.7%黄金期货周二收跌0.2% 疫情打压需求全国确诊309例新型冠状病毒肺炎病例朗新科技：2019年净利同比预增超4倍收盘：美国发现疫情 美股收跌道指跌150点中概股收盘普跌 旅游股集体走低携程跌近8%苗圩：2020年实施“5G+工业互联网”512工程天津：到2022年初步形成氢能全产业链发展格局欧洲股市周二收低 分析师称德国经济有望软着陆领益智造：预计2019年净利19亿至21亿 同比扭亏明晟公司：美的集团从MSCI全球标准指数系列剔除武汉：新型冠状病毒感染的肺炎病例258例 死亡6例卫健委：将新型冠状病毒感染的肺炎纳入乙类传染病欧洲央行、英国央行等将联合组建央行数字货币小组商务部：2019年社会消费品零售总额41.2万亿 增长8%卫健委：国内20日新增新型肺炎77例 目前共确诊291例。 ,2020/1/22 8:59,0,0,0
IqCPEqBx7,是喵苗呀x,女,其他,503,155,是喵苗呀x:『全国新型肺炎疫情实时动态 - 丁香园·丁香医生』http://t.cn/A6vBv3yL 🙏  ,2020/1/22 8:59,1,0,0
IqCPEoWp4,人造地球看世界,男,陕西,816,1974,人造地球看世界:【国士无双！#84岁钟南山再战防疫最前线# ，#一出现疫情人们就会想到他#】1月20日，国家卫健委高级别专家组召开发布会，84岁的钟南山院士再次临危受命、“挂帅出征”。2003年，67岁的钟南山对于非典疫情的真实情况的阐述曾引起轰动，此后一旦出现重大传染疾病，人们就能想到他。1936年，钟南山出生于南京的一个医生家庭，父母从小对他的教育是要“讲实话、做老实人”，在广州医科大学的课堂上，他对学生说，我们的重点“不是治病、是治病人”。http://t.cn/A6vdi0wm ,2020/1/22 8:59,0,1,0
IqCPEoXs5,内江公安,男,四川,476,152641,内江公安:【#国内确诊324例新型肺炎病例# 】新型肺炎疫情最新汇总：截至1月22日7时，新型冠状病毒感染肺炎确诊324例。其中，湖北270例，北京10例，广东17例，上海6例，浙江5例，天津2例，河南1例，重庆5例，四川2例，山东1例，江西2例，湖南1例，云南1例，台湾1例。  原图 ,2020/1/22 8:59,4,0,2
IqCPE8qNT,幸福的小羊驼2020,女,其他,57,245,幸福的小羊驼2020:一场没有硝烟的又开开始了！希望疫情快点过去！天佑中华！保佑医护人员！  [组图共2张] 原图 ,2020/1/22 8:59,0,0,0
IqCPDvD1C,凉风伴雪飘,男,湖北,110,147,凉风伴雪飘:实施出境离汉人员管控、严格发热门诊管理 武汉多措并举严防疫情扩散 实施出境离汉人员管控、严格发热门诊管理 武汉多措并举严防疫情扩散  原图 ,2020/1/22 8:59,0,0,0
IqCPDvCVc,走在郑州的街头,男,河南,149,35,走在郑州的街头:目前来看这个病毒很有可能有高传染性。因为一传14，路过传染等。而且多国发生疫情说明病毒很可能有更广域的传播方式，飞沫或者空气或者多种集合。假设真的成立的话，病毒可能还具备更久的潜伏期，所以目前有症状的人还不算特别多。纯属个人猜测。大家注意保护好自己一定少出门。戴口罩。 http://t.cn/RghlcLS 显示地图 [组图共2张] 原图 ,2020/1/22 8:59,0,0,1
IqCPDf8h9,948交通广播,女,其他,191,48624,948交通广播:【最新疫情！#国内确诊324例新型冠状病毒肺炎病例#】截至今日7时，我国共确诊324例新型冠状病毒感染的肺炎病例，14省市出现确诊病例，死亡6例。此次新型冠状病毒临床表现为：发热，乏力，呼吸道症状以干咳为主。提醒#预防新型冠状病毒肺炎#：戴口罩，勤洗手，少去人群聚集处！  原图 ,2020/1/22 8:59,0,0,0
IqCPDf6qg,田宇_早起创富,男,辽宁,448,280,田宇_早起创富:疫情来了，分享一点给排水预防体会：1.每天给家中的地漏加水，一个地漏约1000毫升以上；2.家里长时间不用的浴缸、淋浴等卫生洁具，要水龙头放水。这既可保证浴缸水封水深度还可保证管道内是新鲜水；（封闭病毒空气传播途经）；3.对于干区地漏近期建议用软胶垫或密封带予以封堵，临时使用时再拆封（封闭病毒空气传播途径）；4. 马桶冲水前请盖上马桶盖（减少病毒随分子扩散）。谢谢了！ 原图 ,2020/1/22 8:59,1,0,0
IqCPClNHG,xxxrdfI_,女,上海,382,13295,xxxrdfI_:#疫情中的逆行者#钟南山挂帅出征，陶勇却被社会垃圾夺走了未来。太多的中国医生用自己的仁德之心换来了恶鬼缠身，凭着这样的善不得报，以后还会有多少人会选择学医救人造福万千？希望让医护人员的人身安全和工作报酬都得到保障！  ,2020/1/22 8:59,83,0,2
IqCPC48sc,Uy甜甜yU,女,湖北,109,344,Uy甜甜yU:『全国新型肺炎疫情实时动态 - 丁香园·丁香医生』http://t.cn/A6vBv3yL  ,2020/1/22 8:59,0,0,0
IqCPBu1JV,共青团抚顺市委,男,辽宁,199,31172,共青团抚顺市委:【总台#央视记者探访武汉隔离病房#】昨天，总台央视记者走进武汉金银潭医院的重症监护隔离病房。在患者治疗区，记者看到，医务人员坐在病人床边，做各种操作及处理，做完后，需要及时记录。他们所做的电子病历都是密密麻麻的。据了解，医务人员每隔4小时换一班。#致敬疫情前线医护人员#！注意安全！（总台央视记者蒋晓平 乔全兴 张熙）  http://t.cn/A6vehsV7 http://t.cn/RJqepkq 显示地图 ,2020/1/22 8:59,0,0,0
IqCPBu1JV,共青团抚顺市委,男,辽宁,199,31172,共青团抚顺市委:【总台#央视记者探访武汉隔离病房#】昨天，总台央视记者走进武汉金银潭医院的重症监护隔离病房。在患者治疗区，记者看到，医务人员坐在病人床边，做各种操作及处理，做完后，需要及时记录。他们所做的电子病历都是密密麻麻的。据了解，医务人员每隔4小时换一班。#致敬疫情前线医护人员#！注意安全！（总台央视记者蒋晓平 乔全兴 张熙）  http://t.cn/A6vehsV7 http://t.cn/RJqepkq 显示地图 ,2020/1/22 8:59,0,0,0
IqCPBcZhN,投资者旗大,男,北京,15,564,投资者旗大:这时候武汉湖北省应该向中央申请紧急抗疫情款项，用于保障药品防护设备的采购，免费发放口罩等防护设备。对于公众场合不佩戴口罩的给与劝诫。  ,2020/1/22 8:59,15,0,1
IqCPABiFx,凉风伴雪飘,男,湖北,110,147,凉风伴雪飘:湖北武汉：坚决遏制疫情扩散蔓延 切实保障人民群众生命安全和身体健康 http://t.cn/A6vBTQtJ  原图 ,2020/1/22 8:59,0,0,0
IqCPA20Ov,肥东发布,男,安徽,394,180533,肥东发布:【安徽省全面启动新型冠状病毒感染的肺炎疫情防控工作】目前，安徽省已成立新型冠状病毒感染的肺炎疫情防控应急指挥部，统一指挥协调全省疫情防控工作，启动疫情防控联防联控工作机制，强化疫情防治救三道防线。                                     省卫健委按照国家卫健委及省委、省政府部署要求，迅速成立专项工作组和专家组，制定应急预案，严密监测疫情，全力以赴救治患者。我省各级各类医疗机构和疾病预防控制机构已全面加强预检分诊和发热门诊的力量配置，规范开展对可疑病例的监测、筛查、诊断治疗和处置工作，认真落实新型冠状病毒感染的肺炎的零报告、日报告工作。        省卫健委提醒广大群众：春节即将到来，人员流动频繁，又值冬春季呼吸道传染病高发季节，希望广大群众切实做好个人卫生防护，勤洗手、戴口罩，注意保持室内环境卫生和空气流通，尽量减少到空气不流通或人流密集的公众场合活动，均衡饮食、适量运动、作息规律，增强体质和免疫力。如有发热、呼吸道感染症状，请及时到当地医疗机构发热门诊就诊。      如发现我省有新型冠状病毒感染的肺炎疑似和确诊病例，省卫健委将第一时间向社会公布，希望广大群众不信谣、不传谣。    http://t.cn/A6vebqiD 原图 ,2020/1/22 8:59,0,2,0
IqCPzFOli,嘟嘟小宝贝III,女,安徽,295,646,嘟嘟小宝贝III:有了娃就特别担心这些传染性疾病，好害怕各种传染源接近娃。希望我的担心只是杞人忧天，很快就能好起来，疫情能尽快被控制住啊  ,2020/1/22 8:59,0,0,0
IqCPzFOdo,知识分子,男,北京,800,2711252,知识分子:【中国科学家：新型冠状病毒与SARS作用机制相似】1月21日，《中国科学：生命科学》英文版刊登了关于这次武汉疫情的病原物“2019-nCoV”进化来源的最新研究进展。研究发现：“2019-nCoV”从进化的角度来讲，是SARS的亲戚，但并不是同类；该病毒和SARS病毒采用了相同的传播机制，但其感染能力无法与SARS病毒、MERS病毒直接作比较。http://t.cn/A6vrFYoz 原图 ,2020/1/22 8:59,80,25,9
IqCPz5sbG,老郭说事_,男,河南,8879,644416,老郭说事_:#协和医院骨科医生自愿支援#面对疫情我们大家团结起来就是最大的力量，众志成城抗疫情，中国医学界是世界不可忽视的一股力量，在疫情面前，在钟南山院士带领下不惧危险投身到防疫、抗疫战斗中，快速有效的掌控疫情，迅速做出目的明确的诊疗方案。不但医务人员奋斗在一线，类似航空公司免费暖心举措，各大企业也为大众提供了必要的保障措施 十几年前中国在对抗SARS中积累的经验相当丰富，再次面对疫情，武汉采取了多种防护措施，比如在机场码头港口检测体温、防止发烧者离开武汉、为疫情病例买单等措施积极应对疫情。其他地方也密切关注积极应对，发现病例及时治疗并通报。#84岁钟南山再战防疫最前线#      正如钟南山院士说的那样，对病毒检测手段的提高和检测程序简化，检测速度加快了，病例会不断增加。       作为个人不应恐慌少去人群密集场所，做好个人防范措施，及时从官方了解信息，服从官方组织，群策群力战胜疫情。 ,2020/1/22 8:59,2700,21,29
IqCPz8H9Z,倒下的SEVEN,男,重庆,176,156,倒下的SEVEN:愿疫情早日平熄，向所有逆行者致敬！ 重庆  显示地图 原图 ,2020/1/22 8:59,3,0,0
IqDe4ehEA,青年报,男,上海,665,1022968,青年报:#武汉疫情防控全面升级#【转发了解！#武汉新型肺炎的潜伏期#】国家卫健委专家组成员高占成表示，新型冠状病毒肺炎的潜伏期平均在7天左右，短的在2-3天，长的10-12天。如出现发热、干咳、呼吸衰竭、休克等症状，请及时就医！ http://t.cn/A6vdVkn7 #国内确诊324例新型冠状病毒肺炎病例##国内确诊324例新型肺炎病例# ,2020/1/22 9:59,13,4,0
IqDdRv9Yg,寻味贵州-,男,贵州,399,523582,寻味贵州-:【国士无双！#84岁钟南山再战防疫最前线# ，#一出现疫情人们就会想到他#】1月20日，国家卫健委高级别专家组召开发布会，84岁的钟南山院士再次临危受命、“挂帅出征”。2003年，67岁的钟南山对于非典疫情的真实情况的阐述曾引起轰动，此后一旦出现重大传染疾病，人们就能想到他。1936年，钟南山出生于南京的一个医生家庭，父母从小对他的教育是要“讲实话、做老实人”，在广州医科大学的课堂上，他对学生说，我们的重点“不是治病、是治病人”。@梨视频文化  http://t.cn/A6vdi0wm ,2020/1/22 9:59,3,0,0
IqDdRwfEM,羊城晚报金羊网,女,广东,1348,262362,羊城晚报金羊网:#84岁钟南山再战防疫最前线# #广州身边事#【新型肺炎疫情来势汹汹 84岁钟南山挺身而出】1月21日上午，中国工程院院士钟南山登上了从北京飞往广州的飞机。当天下午，他准时出现在了广东省政府新闻办的新闻发布会现场。这已经是他连轴转的第五天。在武汉新型冠状病毒感染的肺炎疫情让人揪心时，这位84岁的老人再次临危受命，出任国家卫健委高级别专家组组长。“现在能不到武汉去就不去”，他这样提醒着人们，可他自己却赶往了武汉疫情一线。从广州到武汉到北京，如今再回广州。连日来，这位84岁的老人每一天都在不停地奔走，甚至在参加《新闻1+1》连线时，他累得连眼睛都睁不开了，可他却从来没有一声抱怨，“既然国家需要，那就要去”，这是他给自己的理由。http://t.cn/A6veQmDt [组图共3张] 原图 ,2020/1/22 9:59,25,2,1
IqDdt0FX6,投中网,男,北京,1046,753888,投中网:【#世卫组织发言人谈新型冠状病毒#：#新型冠状病毒仍有三大未知#】1月21日，世界卫生组织发言人在日内瓦告诉@梨视频 ，当前新型冠状病毒仍有三大未知：如何人传人？源头是什么？到底有多严重？他呼吁各国要保持警惕，保证健康医疗系统做好准备。22日，世卫组织将紧急委员会，以确定是否将此次武汉肺炎疫情，定为“国际关注的突发公共卫生事件”。http://t.cn/A6vdmzGQ ,2020/1/22 9:58,1,0,0
