微博id,发布者昵称,发布者性别,发布者地区,发布者关注数,发布者粉丝数,微博正文,发布时间,点赞数,转发数,评论数
IrboUzfaa,幼稚园知名幼稚鬼,女,天津,356,157,幼稚园知名幼稚鬼:#与思源一起驰援湖北疫情#予人为乐，与己而乐。我在“一份爱心一份力量，共抗疫情”项目捐款成功！让我与@五月天微吧 一道成为传递爱与快乐的使者。@中华思源工程扶贫基金会 一份爱心一份力量，共抗疫情  ,2020/1/26 0:59,0,0,2
IrboUzepH,嗝儿肥猪,女,山东,661,122,嗝儿肥猪:#与思源一起驰援湖北疫情# 涓滴之水成海洋，颗颗爱心变希望。我在“一份爱心一份力量，共抗疫情”项目捐款成功！@中华思源工程扶贫基金会一份爱心一份力量，共抗疫情  ,2020/1/26 0:59,0,0,0
IrboUksjY,想偷阿南的M,男,浙江,161,167,想偷阿南的M:#与思源一起驰援湖北疫情#与爱同路，让爱回家。我在“一份爱心一份力量，共抗疫情”项目捐款成功！愿我和@周震南全球后援会 一起放大爱的力量！@中华思源工程扶贫基金会 一份爱心一份力量，共抗疫情  ,2020/1/26 0:59,5,0,0
IrboUlDlx,五颜唯予,女,其他,43,2,五颜唯予:#与思源一起驰援湖北疫情#我在“一份爱心一份力量，共抗疫情”项目捐款成功！希望我小小的力量和@王一博公益站 一起，在大大的世界里温暖更多人。@中华思源工程扶贫基金会 一份爱心一份力量，共抗疫情  ,2020/1/26 0:59,0,0,0
IrboUjl0i,易单诗语,女,河北,345,104,易单诗语:#与思源一起驰援湖北疫情#我在“一份爱心一份力量，共抗疫情”项目捐款成功！希望我小小的力量和@李易峰全球后援 一起，在大大的世界里温暖更多人。@中华思源工程扶贫基金会 一份爱心一份力量，共抗疫情  ,2020/1/26 0:59,0,0,0
IrboTFTYS,水蜜桃汽水女孩,女,福建,147,99,水蜜桃汽水女孩:谣言都是怎么传开的呢想咨询技巧讲解疫情严重性劝说戴口罩几天没成功扎堆哄抢大米喷洒消毒水倒是一个个全听进去了  原图 ,2020/1/26 0:59,1,0,0
IrboU2MPk,用户7313754650,男,其他,72,6,用户7313754650:#社旗[超话]#能关注下疫情吗？对乡下多关注点行吗，感觉这次太严重了，村里都没啥表示，该走亲戚还在走 南阳·社旗县  显示地图 ,2020/1/26 0:59,0,0,0
IrboTr7l8,嘿嘿臭居,女,浙江,466,276,嘿嘿臭居:最近看新闻，都悄咪咪地在一个人的时候落泪，为武汉为中国为我们正在经历的突发疫情难过，也因为那些吃野味的人而生气愤懑。作为平凡的普通人，无辜，无助，无奈，无法在春节团聚，无法见到我们想见的人。以前太小，对非典没有记忆，都是通过翻过往的新闻和纪录片来了解的。我真是从来没见过电影院关门，迪士尼关门，城市封城，景区关门，庙会取消，春节活动取消。想说的话太多了，齐心协力，共渡难关，只求天佑武汉，天佑中国！等春天来了，我们一起相约去看盛开的武汉樱花，好嘛 ,2020/1/26 0:59,2,0,2
IrboTr7l8,嘿嘿臭居,女,浙江,466,276,嘿嘿臭居:最近看新闻，都悄咪咪地在一个人的时候落泪，为武汉为中国为我们正在经历的突发疫情难过，也因为那些吃野味的人而生气愤懑。作为平凡的普通人，无辜，无助，无奈，无法在春节团聚，无法见到我们想见的人。以前太小，对非典没有记忆，都是通过翻过往的新闻和纪录片来了解的。我真是从来没见过电影院关门，迪士尼关门，城市封城，景区关门，庙会取消，春节活动取消。想说的话太多了，齐心协力，共渡难关，只求天佑武汉，天佑中国！等春天来了，我们一起相约去看盛开的武汉樱花，好嘛 ,2020/1/26 0:59,2,0,2
IrboT8np1,Thereisnolight,女,其他,62,206,Thereisnolight:#郑爽甜度超标# 我发现最毒的病毒其实就是网络上这些喷子的嘴吧！总是喜欢打着正义的旗子去辱骂无辜的人！那些所谓的“正义人士” 我想知道你除了在网上骂人为了疫情你做了什吗？？你是坚守在前线了还是支援了后方了！别人在救人的时候你却打着她们的名义在网上”杀人”！你照镜子的时候还是人样吗？？郑爽本人乃至郑爽粉丝都在为了疫情贡献一点点微薄之力 ！“正义路人”你在干嘛呢？ [组图共3张] 原图 ,2020/1/26 0:59,115,3,5
